Caltex Aust,$1,CTX,3.615,13.39,-25,13.39,13.42,8026,13.70,13.38,13.70,13.38,-25,-1.83,14.49,8.76,45.00,f,,,3.36,-264.30,,,
Campbell Brothers,,CPB,3.662,54.25,+26,54.24,54.31,2840,56.03,53.80,56.03,53.80,+26,+.48,69.92,38.24,225.00,p,1.46,2.41,4.15,329.48,16.5,,
carsales.com,,CRZ,1.355,5.80,+2,5.80,5.82,2880,5.85,5.72,5.85,5.72,+2,+.35,5.87,3.79,21.80,f,1.25,.14,3.76,27.30,21.2,,
Centro Retail Aust stp,,CRF,2.681,2.00,+1,2.00,2.01,226934,2.03,1.99,2.03,1.99,+1,+.50,2.06,1.655,,,,2.35,,-.19,,,
CFS Retail stp  d,,CFXDA,5.430,1.915,+2.5,1.90,1.915,108626,1.925,1.89,1.925,1.89,+2.5,+1.32,1.945,1.86,,,,2.06,,13.47,14.2,,
Challenger,,CGF,1.721,3.15,,3.15,3.17,21487,3.21,3.09,3.21,3.09,,Stdy,5.07,3.05,17.00,,1.99,2.05,5.40,33.80,9.3,,
Charter Hall Grp forus,,CHC,.686,2.31,+1,2.30,2.31,7264,2.32,2.26,2.32,2.26,+1,+.43,2.55,1.575,17.60,,.48,2.19,7.62,8.49,27.2,,
Charter Hall Ret REIT unt,,CQR,1.007,3.36,+1,3.36,3.39,8825,3.39,3.33,3.39,3.33,+1,+.30,3.44,2.73,25.80,,.44,3.43,7.68,11.28,29.8,,
Coalspur Mines,20c,CPL,.602,.97,,.97,.975,14999,1.03,.965,1.03,.965,,Stdy,2.00,.96,,,,,,-3.39,,,
Coca-Cola Amatil,,CCL,10.156,13.34,-6,13.32,13.34,25467,13.44,13.28,13.44,13.28,-6,-.45,13.60,10.04,52.50,f,1.49,1.88,3.94,78.10,17.1,,
Cochlear,10c,COH,3.680,64.64,-52,64.61,64.64,2217,65.77,64.04,65.77,64.04,-52,-.80,77.50,45.11,240.00,p,.53,,3.71,128.00,50.5,,
C'wlth Prop Office ord unt,20c,CPA,2.312,.985,-.5,.985,.99,85653,.995,.982,.995,.982,-.5,-.51,1.07,.84,5.64,,1.49,1.13,5.73,8.43,11.7,,
C'wlth Bank  of Aust,,CBA,80.913,50.82,+35,50.80,50.83,28568,50.98,50.54,50.98,50.54,+35,+.69,53.09,42.30,325.00,f,1.32,,6.40,429.40,11.8,,
Computershare,,CPU,4.245,7.64,-7,7.64,7.66,17687,7.83,7.64,7.83,7.64,-7,-.91,9.42,6.55,28.00,p,1.51,-2.37,3.66,42.28,18.1,,
Crown,,CWN,6.053,8.31,+18,8.30,8.31,14701,8.31,8.13,8.31,8.13,+18,+2.21,9.29,7.45,37.00,p,1.64,3.22,4.45,60.66,13.7,,
CSL,,CSL,20.323,39.82,+58,39.81,39.82,17822,40.00,39.10,40.00,39.10,+58,+1.48,40.00,26.12,81.00,,2.16,5.29,2.03,174.79,22.8,,
CSR,,CSR,.777,1.535,-.5,1.53,1.535,23062,1.545,1.51,1.545,1.51,-.5,-.32,2.97,1.51,13.00,f,1.16,2.32,8.47,15.10,10.2,,
CuDECO,,CDU,.569,3.01,-4,3.01,3.04,1375,3.08,3.00,3.08,3.00,-4,-1.31,4.33,2.72,,,,,,-.81,,,
Dart Energy,,DTE,.154,.20,+1.5,.195,.20,157021,.205,.185,.205,.185,+1.5,+8.11,.725,.155,,,,,,-11.27,,,
David Jones,30c,DJS,1.179,2.23,+9,2.22,2.23,21701,2.23,2.12,2.23,2.12,+9,+4.21,4.14,2.10,25.50,f,1.12,1.37,11.43,28.60,7.8,,
Decmil Grp,,DCG,.433,2.60,+5,2.60,2.62,3372,2.63,2.58,2.63,2.58,+5,+1.96,3.17,1.707,8.50,f,2.08,.93,3.27,17.67,14.7,,
DEXUS Prop Grp stp,,DXS,4.476,.925,-.5,.92,.925,296520,.94,.92,.94,.92,-.5,-.54,.97,.735,5.26,,1.59,1.01,5.69,8.36,11.1,,
Discovery Metals,,DML,.610,1.38,-1.5,1.38,1.385,16319,1.395,1.36,1.395,1.36,-1.5,-1.08,1.815,1.05,,,,,,-3.62,,,
Downer EDI,50c,DOW,1.356,3.16,+6,3.16,3.17,12352,3.20,3.10,3.20,3.10,+6,+1.94,4.11,2.71,,,,2.07,,44.19,7.2,,
DUET Grp forus,,DUE,2.192,1.975,+3.5,1.965,1.975,36881,1.98,1.92,1.98,1.92,+3.5,+1.80,1.98,1.48,18.00,,.76,1.50,9.11,13.62,14.5,,
DuluxGroup,,DLX,1.095,2.98,+2,2.98,2.99,6306,3.00,2.92,3.00,2.92,+2,+.68,3.19,2.26,15.00,f,1.70,.19,5.03,25.50,11.7,,
Echo Entertainment,,EGP,3.089,4.49,,4.78,3.92,5,,,,,,Stdy,4.62,3.42,4.00,f,2.55,.83,.89,10.20,44.0,,
Emeco Hldgs,,EHL,.584,.925,+1.5,.92,.93,10584,.93,.905,.93,.905,+1.5,+1.65,1.197,.83,5.50,f,1.61,.70,5.95,8.88,10.4,,
Energy Res,20c,ERA,.634,1.225,-3,1.225,1.235,10838,1.275,1.22,1.275,1.22,-3,-2.39,3.224,1.135,,,,,,-29.67,,,
Energy World Corp,,EWC,.624,.36,+4,.36,.365,17982,.37,.33,.37,.33,+4,+12.50,.86,.315,,,,.24,,.58,62.1,,
Envestra,,ENV,1.274,.81,,.805,.81,15027,.81,.80,.81,.80,,Stdy,.835,.555,5.80,,.59,-.02,7.16,3.40,23.8,,
Evolution Min,,EVN,1.184,1.675,+4.5,1.66,1.675,9241,1.70,1.625,1.70,1.625,+4.5,+2.76,2.07,1.216,,,,1.58,,-7.74,,,
Fairfax Media,50c,FXJ,1.411,.60,,.595,.60,233819,.61,.59,.61,.59,,Stdy,1.015,.565,3.50,f,,-.19,5.83,-19.93,,,
FKP Prop Grp stp,,FKP,.557,.46,-.5,.455,.46,38807,.465,.452,.465,.452,-.5,-1.08,.73,.43,3.00,p,1.14,1.22,6.52,3.41,13.5,,
Fleetwood Corp,,FWD,.702,11.85,+5,11.84,11.85,1241,12.155,11.80,12.155,11.80,+5,+.42,13.46,9.53,74.00,f,1.25,2.52,6.24,92.80,12.8,,
Fletcher Bldg,20c,FBU,3.332,4.88,+7,4.88,4.89,14580,4.93,4.86,4.93,4.86,+7,+1.46,6.73,4.39,24.95,f,1.21,2.07,5.11,30.14,16.2,,
Flight Centre,,FLT,1.893,18.92,+52,18.86,18.92,3525,19.04,18.33,19.04,18.33,+52,+2.83,22.50,16.01,89.00,f,1.70,4.23,4.70,151.00,12.5,,
Fortescue Metals Grp,,FMG,14.168,4.55,-4,4.54,4.55,102872,4.65,4.535,4.65,4.535,-4,-.87,6.74,3.95,8.00,f,5.74,.51,1.76,45.92,9.9,,
Gindalbie Metals,20c,GBG,.524,.42,,.42,.425,28924,.425,.415,.425,.415,,Stdy,.891,.41,,,,,,.30,140.0,,
Gloucester Coal,20c,GCL,1.428,7.04,-7,7.04,7.06,2762,7.18,7.04,7.18,7.04,-7,-.98,9.61,6.17,,,,6.23,,-.90,,,
Goodman Fielder,,GFF,1.115,.57,-2,.57,.575,94413,.575,.555,.575,.555,-2,-3.39,1.005,.372,2.50,,,-.02,4.39,-17.40,,,
Goodman Grp forus,,GMG,5.206,3.36,-7,3.36,3.38,79729,3.47,3.36,3.47,3.36,-7,-2.04,3.75,2.60,19.00,,1.32,2.50,5.65,25.05,13.4,,
GPT Grp stp,,GPT,5.739,3.22,-1,3.22,3.23,60560,3.27,3.19,3.27,3.19,-1,-.31,3.33,2.58,18.20,,.90,3.59,5.65,16.29,19.8,,
GrainCorp,,GNC,1.860,9.38,+2,9.38,9.42,8908,9.545,9.38,9.545,9.38,+2,+.21,9.65,6.559,30.00,f,3.67,5.42,3.20,109.97,8.5,,
Gryphon Minerals,,GRY,.256,.735,,.73,.74,8068,.75,.715,.75,.715,,Stdy,2.05,.585,,,,,,,,,
GUD Hldgs,,GUD,.599,8.46,+1,8.46,8.48,1317,8.50,8.42,8.50,8.42,+1,+.12,9.28,6.84,65.00,f,.87,1.18,7.68,56.80,14.9,,
GWA Grp,28c,GWA,.616,2.04,+11,2.03,2.04,5708,2.05,1.93,2.05,1.93,+11,+5.70,2.87,1.84,18.00,f,.80,.14,8.82,14.42,14.1,,
Harvey Norman,10c,HVN,2.018,1.90,+3.5,1.89,1.90,21198,1.912,1.845,1.912,1.845,+3.5,+1.88,2.55,1.765,11.00,f,2.14,2.21,5.79,23.50,8.1,,
Hastings Divers stp,,HDF,1.267,2.39,+1,2.39,2.40,7306,2.40,2.38,2.40,2.38,+1,+.42,2.41,1.30,10.00,,,,4.18,-5.66,,,
Henderson Grp cdi,,HGG,1.049,1.495,+1.5,1.495,1.50,25528,1.52,1.485,1.52,1.485,+1.5,+1.01,2.49,1.45,10.88,,.50,.03,7.28,5.46,27.4,,
Iluka Res,50c,ILU,5.209,12.44,+14,12.44,12.46,47068,12.65,12.20,12.65,12.20,+14,+1.14,19.46,11.82,75.00,f,1.73,3.65,6.03,130.10,9.6,,
Imdex,20c,IMD,.390,1.875,-1,1.87,1.875,9327,1.91,1.855,1.91,1.855,-1,-.53,3.28,1.50,6.00,f,3.28,.40,3.20,19.66,9.5,,
Incitec Pivot,,IPL,4.463,2.74,+7,2.73,2.74,65862,2.75,2.64,2.75,2.64,+7,+2.62,4.13,2.62,11.50,p,1.65,.54,4.20,19.00,14.4,,
Independence Grp,,IGO,.843,3.62,+6,3.62,3.63,6554,3.71,3.61,3.71,3.61,+6,+1.69,6.25,3.23,5.00,f,,3.38,1.38,-85.77,,,
Industrea,20c,IDL,.467,1.26,+.5,1.255,1.26,18721,1.26,1.255,1.26,1.255,+.5,+.40,1.425,.80,4.00,f,3.15,.34,3.17,12.59,10.0,,
Insurance Aust Grp,,IAG,6.902,3.32,+2,3.32,3.33,98891,3.34,3.29,3.34,3.29,+2,+.61,3.59,2.74,12.00,f,.94,1.19,3.61,11.24,29.5,,
Integra Min,20c,IGR,.355,.42,+.5,.415,.42,29005,.425,.41,.425,.41,+.5,+1.20,.64,.375,,,,,,3.12,13.5,,
Intrepid Mines,20c,IAU,.292,.555,-2,.55,.56,16151,.575,.545,.575,.545,-2,-3.48,1.95,.515,,,,,,-5.71,,,
Investa Office Fd stp,20c,IOF,1.646,2.68,-1,2.68,2.69,59250,2.69,2.66,2.69,2.66,-1,-.37,2.81,2.10,15.60,,1.93,3.16,5.82,30.16,8.9,,
InvoCare,,IVC,.906,8.23,+2,8.22,8.25,1139,8.34,8.16,8.34,8.16,+2,+.24,8.60,6.25,29.75,f,.86,,3.61,25.60,32.1,,
IOOF Hldgs,,IFL,1.314,5.72,+4,5.72,5.74,3152,5.75,5.68,5.75,5.68,+4,+.70,6.90,4.95,41.00,f,1.05,.16,7.17,42.90,13.3,,
IRESS,,IRE,.791,6.23,-4,6.23,6.24,2808,6.36,6.23,6.36,6.23,-4,-.64,9.41,5.93,38.00,p,.86,,6.10,32.64,19.1,,
James Hardie Ind cdi,,JHX,3.319,7.58,+18,7.56,7.59,28905,7.65,7.30,7.65,7.30,+18,+2.43,7.99,4.66,4.01,,33.32,.28,.53,133.63,5.7,,
JB Hi-Fi,,JBH,.864,8.74,+10,8.72,8.74,2107,8.77,8.65,8.77,8.65,+10,+1.16,17.34,8.45,78.00,f,1.30,1.12,8.92,101.79,8.6,,
Karoon Gas Aust,,KAR,.908,4.10,-15,4.10,4.13,4354,4.29,4.09,4.29,4.09,-15,-3.53,6.85,2.60,,,,,,-2.75,,,
Kingsgate Cons,25c,KCN,.853,5.64,+3,5.64,5.66,4388,5.81,5.605,5.81,5.605,+3,+.53,9.50,4.92,15.00,,2.12,4.83,2.66,31.80,17.7,,
Leighton Hldgs,,LEI,5.704,16.92,+1,16.92,16.98,5206,17.24,16.92,17.24,16.92,+1,+.06,26.65,16.57,60.00,,,6.43,3.55,-133.10,,,
Lend Lease Grp stp,,LLC,4.067,7.10,+9,7.10,7.11,25021,7.15,7.08,7.15,7.08,+9,+1.28,9.26,6.70,31.00,,2.90,4.07,4.37,89.80,7.9,,
Linc Energy,,LNC,.373,.74,+3.5,.74,.745,39975,.76,.705,.76,.705,+3.5,+4.96,3.15,.59,,,,,,-15.63,,,
Lynas Corp,,LYC,1.672,.975,+1,.97,.975,112665,.99,.96,.99,.96,+1,+1.04,2.24,.857,,,,,,-4.58,,,
Macmahon Hldgs,,MAH,.439,.595,+.5,.595,.60,11069,.60,.59,.60,.59,+.5,+.85,.895,.445,1.50,f,3.47,.42,2.52,5.21,11.4,,
Macq Atlas Roads stp,,MQA,.673,1.45,,1.45,1.455,3749,1.465,1.435,1.465,1.435,,Stdy,1.84,1.215,,,,-1.85,,-63.40,,,
Macquarie Grp,,MQG,9.173,26.31,+1,26.31,26.36,11040,26.77,26.23,26.77,26.23,+1,+.04,32.58,19.94,140.00,,1.50,28.12,5.32,210.10,12.5,,
Medusa Min,,MML,.975,5.16,-30,5.16,5.17,10643,5.44,5.12,5.44,5.12,-30,-5.49,8.41,4.31,10.00,,3.67,1.51,1.94,36.66,14.1,,
Mermaid Marine,,MRM,.614,2.80,,2.80,2.81,3359,2.84,2.79,2.84,2.79,,Stdy,3.44,2.62,10.00,f,2.34,1.30,3.57,23.38,12.0,,
Mesoblast,,MSB,1.806,6.35,,6.34,6.35,3336,6.445,6.27,6.445,6.27,,Stdy,10.04,6.09,,,,.47,,-31.65,,,
Metcash,,MTS,3.124,4.05,+6,4.03,4.05,29877,4.05,3.99,4.05,3.99,+6,+1.50,4.37,3.62,27.50,f,1.07,-.04,6.79,29.34,13.8,,
Mineral Deposits,25c,MDL,.411,4.92,-17,4.92,4.95,1409,5.18,4.86,5.18,4.86,-17,-3.34,6.867,3.85,,,,4.05,,394.36,1.2,,
Mineral Res,,MIN,1.738,9.40,+7,9.38,9.41,6410,9.49,9.30,9.49,9.30,+7,+.75,13.33,8.68,43.00,f,2.27,3.85,4.57,97.70,9.6,,
Mirabela Nickel,,MBN,.247,.305,+.5,.305,.31,10812,.31,.30,.31,.30,+.5,+1.67,2.025,.239,,,,1.05,,-10.16,,,
Mirvac Grp stp,,MGR,4.204,1.23,-1,1.23,1.235,135977,1.255,1.23,1.255,1.23,-1,-.81,1.33,.965,8.20,,1.33,1.63,6.67,10.94,11.2,,
Monadelphous Grp,,MND,1.890,21.31,+53,21.31,21.33,3528,21.46,20.92,21.46,20.92,+53,+2.55,24.37,15.30,105.00,f,1.16,2.34,4.93,121.94,17.5,,
Mount Gibson Iron,20c,MGX,.950,.875,-1,.87,.875,34823,.89,.86,.89,.86,-1,-1.13,2.00,.86,6.00,f,3.43,.46,6.86,20.58,4.3,,
Myer Hldgs,,MYR,1.079,1.85,-2.5,1.845,1.85,44197,1.90,1.827,1.90,1.827,-2.5,-1.33,2.87,1.79,21.50,f,1.12,-.17,11.62,24.00,7.7,,
National Aust Bank,,NAB,49.758,22.22,+6,22.22,22.23,64906,22.38,22.16,22.38,22.16,+6,+.27,26.56,19.64,178.00,f,1.20,13.68,8.01,213.60,10.4,,
Navitas,,NVT,1.524,4.06,,4.05,4.08,4026,4.10,4.01,4.10,4.01,,Stdy,4.39,2.83,21.40,f,1.01,-.57,5.27,21.63,18.8,,
Newcrest Min,,NCM,18.857,24.65,+8,24.64,24.65,22384,24.75,24.42,24.75,24.42,+8,+.33,41.268,23.56,32.00,,4.60,14.26,1.30,147.20,16.7,,
News Corp b voting,,NWS,15.699,19.66,+3,19.66,19.67,8816,19.73,19.63,19.73,19.63,+3,+.15,20.58,13.32,14.86,,7.58,1.84,.76,112.63,17.5,,
NRW Hldgs,,NWH,.823,2.95,-1,2.95,2.97,12707,3.00,2.94,3.00,2.94,-1,-.34,4.36,2.06,13.00,f,1.86,.98,4.41,24.20,12.2,,
Nufarm,20c,NUF,1.250,4.77,+2,4.77,4.78,4738,4.81,4.74,4.81,4.74,+2,+.42,5.24,3.08,3.00,f,,2.91,.63,-21.00,,,
OceanaGold Corp cdi,,OGC,.536,2.04,-1,2.02,2.04,3386,2.07,1.995,2.07,1.995,-1,-.49,2.94,1.705,,,,1.79,,16.74,12.2,,
Oil Search,10c,OSH,8.907,6.69,+9,6.69,6.70,22809,6.77,6.63,6.77,6.63,+9,+1.36,7.58,5.43,3.86,,3.91,,.58,15.11,44.3,,
OneSteel,,OST,1.238,.92,+2,.92,.925,123916,.935,.895,.935,.895,+2,+2.22,2.09,.63,7.00,,.44,1.13,7.61,3.09,29.8,,
Orica,,ORI,8.924,24.45,+47,24.40,24.45,19212,24.59,24.16,24.59,24.16,+47,+1.96,28.27,21.34,91.00,p,1.87,2.05,3.72,170.30,14.4,,
Origin Energy,,ORG,13.990,12.84,+17,12.84,12.85,34523,12.97,12.66,12.97,12.66,+17,+1.34,15.88,12.00,50.00,f,2.18,7.10,3.89,108.80,11.8,,
OZ Minerals,40c,OZL,2.618,8.48,-1,8.47,8.49,7398,8.67,8.39,8.67,8.39,-1,-.12,14.45,7.99,60.00,,1.43,8.08,7.08,85.60,9.9,,
Pacific Brands,,PBG,.511,.56,+.5,.55,.56,21905,.56,.545,.56,.545,+.5,+.90,.76,.50,5.10,f,,.11,9.11,-35.60,,,
Paladin Energy,20c,PDN,.990,1.185,-3,1.185,1.19,71737,1.21,1.175,1.21,1.175,-3,-2.47,2.79,1.11,,,,1.44,,-20.98,,,
PanAust,,PNA,1.626,2.69,-6,2.69,2.70,20285,2.76,2.68,2.76,2.68,-6,-2.18,4.32,2.24,,,,1.46,,22.12,12.2,,
Panoramic Res,,PAN,.151,.665,-1,.66,.665,5889,.68,.655,.68,.655,-1,-1.48,1.96,.655,4.00,f,.10,1.46,6.02,.40,166.3,,
Perpetual,,PPT,.922,21.97,-2,21.91,21.97,679,22.25,21.74,22.25,21.74,-2,-.09,27.74,19.03,140.00,f,.88,,6.37,123.40,17.8,,
Perseus Min,,PRU,1.250,2.73,+4,2.70,2.73,22080,2.77,2.70,2.77,2.70,+4,+1.49,4.05,2.12,,,,,,1.72,158.7,,
Platinum Asset,,PTM,2.206,3.93,+8,3.93,3.94,2781,3.97,3.87,3.97,3.87,+8,+2.08,4.43,3.32,23.00,f,1.07,,5.85,24.72,15.9,,
Primary Health Care,,PRY,1.405,2.80,+3,2.79,2.80,9986,2.84,2.77,2.84,2.77,+3,+1.08,3.57,2.56,10.00,f,2.10,,3.57,20.99,13.3,,
Qantas Airways,,QAN,2.435,1.075,+10.5,1.075,1.08,444654,1.125,1.015,1.125,1.015,+10.5,+10.82,2.03,.96,,,,2.46,,2.30,46.7,,
QBE Insurance Grp,,QBE,14.759,12.49,+9,12.49,12.50,82649,12.59,12.43,12.59,12.43,+9,+.73,17.75,9.88,87.00,p,.73,.04,6.97,63.90,19.5,,
QR National,,QRN,8.223,3.37,-3,3.37,3.39,38701,3.47,3.36,3.47,3.36,-3,-.88,4.03,2.85,7.40,,1.53,.29,2.20,11.33,29.7,,
Qube Logistics,,QUB,1.391,1.53,+2,1.525,1.535,3525,1.54,1.515,1.54,1.515,+2,+1.32,1.79,1.205,3.90,f,1.36,.57,2.55,5.31,28.8,,
Ramelius Res,,RMS,.190,.565,-2,.56,.58,15671,.59,.555,.59,.555,-2,-3.42,1.735,.405,,,,.65,,15.70,3.6,,
Ramsay Health Care,,RHC,4.426,21.90,-19,21.88,21.92,3734,22.16,21.81,22.16,21.81,-19,-.86,22.26,16.00,55.00,f,2.00,2.14,2.51,110.10,19.9,,
Regis Res,25c,RRL,1.871,4.14,+6,4.12,4.14,8648,4.16,4.06,4.16,4.06,+6,+1.47,4.43,2.30,,,,,,14.11,29.3,,
ResMed Inc cdi,,RMD,4.949,3.18,-1,3.18,3.20,64369,3.22,3.18,3.22,3.18,-1,-.31,3.44,2.36,,,,,,13.87,22.9,,
Resolute Min,20c,RSG,.984,1.53,-5,1.52,1.53,19011,1.58,1.505,1.58,1.505,-5,-3.16,2.21,.985,,,,,,19.91,7.7,,
Rio Tinto,,RIO,23.814,54.65,-94,54.64,54.65,55429,55.29,54.40,55.29,54.40,-94,-1.69,84.53,52.83,134.01,f,2.23,19.14,2.45,298.35,18.3,,
Sandfire Res,,SFR,1.028,6.80,-16,6.80,6.82,3835,7.09,6.80,7.09,6.80,-16,-2.30,8.62,5.52,,,,,,-5.88,,,
