100 Leading Industrial Stocks,,,,,,,,,,,,
,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.33,2.25,Charter Hall Office unt,3.3,,3.18,3.31,17.75,,0.04,3.96,5.38,423.1
12.74,10.67,Coca-Cola Amatil,11.45,5,11.43,11.51,48.5,f,1.36,1.64,4.24,17.3
83.2,66.49,Cochlear Ltd,77.87,-62,77.1,77.88,210,p,1.41,4.98,2.7,26.3
60,47.05,Commonwealth Bank,50.65,33,50.6,50.7,302,f,1.16,,5.96,14.4
1.002,0.81,Commonwealth Prop ord unt,0.845,1,0.84,0.845,5.65,,1.76,1.1,6.69,8.5
12.9,8.7,Computershare Ltd,9.2,7,9.18,9.24,28,p,1.74,-1.27,3.04,18.8
0.48,0.355,Connecteast Grp stp,0.435,-0.5,0.435,0.44,2,,-,,4.6,
3.43,2.88,Consolidated Media,2.9,,2.9,2.92,16.5,,1.01,0.59,5.69,17.4
8.94,7.41,Crown Ltd,8.03,-2,8.01,8.13,37,p,1.18,3.18,4.61,18.4
38.07,30.45,CSL Ltd,33.92,7,33.86,33.97,80,,2.14,5.54,2.36,19.9
3.895,3.12,CSR Ltd,3.26,-4,3.25,3.28,9,f,0.9,1,2.76,40.2
5.29,4.1,David Jones Ltd,4.51,-4,4.5,4.52,30,f,1.13,1.27,6.65,13.3
0.905,0.715,Dexus Prop Grp stp,0.835,0.5,0.83,0.835,5.04,,1.79,0.98,6.04,9.3
7.388,3.216,Downer Edi Ltd,3.62,4,3.6,3.64,16,,-,1.5,4.42,
1.845,1.455,Duet Grp forus,1.565,4.5,1.555,1.58,20,p,0.56,,12.78,13.8
1.855,1.17,Fairfax Media Ltd,1.25,0.5,1.24,1.265,2.9,f,4.29,-0.22,2.32,10.1
25.12,15.33,Flight Centre,20.68,-33,20.5,20.73,80,f,2,3.28,3.87,13
6.44,5.11,Foster's Grp,5.53,8,5.53,5.55,27.25,f,-,0.54,4.93,
1.665,1.06,Goodman Fielder,1.175,2.5,1.165,1.175,10.75,p,1.09,-0.16,9.15,10
0.75,0.56,Goodman Grp forus,0.715,3.5,0.71,0.715,3.4,,1.03,0.48,4.76,20.4
3.19,0.525,GPT Grp stp,2.99,2,2.96,3,13.5,,2.82,3.6,4.52,7.8
8.2,5.063,Graincorp Ltd,7.32,-9,7.3,7.42,25,f,1.6,4.54,3.42,18.3
3.95,2.75,Harvey Norman,2.88,-4,2.87,2.9,13,f,1.48,2.14,4.51,15
2.73,1.92,Henderson Grp cdi,2.6,5,2.57,2.62,10.22,,1.47,0.02,3.93,17.3
4.72,2.54,Incitec Pivot,4.18,-6,4.18,4.19,7.8,,3.24,0.37,1.87,16.5
0.545,0.345,ING Industrial Fund unt,0.535,,0.535,0.54,3.21,p,-,0.56,6,
0.64,0.525,ING Office Fund stp,0.575,,0.57,0.575,3.9,,1.92,0.74,6.78,7.7
4.03,3.22,Insurance Aust,3.41,5,3.36,3.42,13.5,f,-,1.28,3.96,
8.14,5.75,Ioof Hldgs Ltd,7.11,-4,7.07,7.11,39,f,0.86,0.6,5.49,21.1
8.05,5.05,James Hardie Indust cdi,6.22,3,5.86,6.3,,,-,-1.02,,
22.46,17.32,JB Hi-Fi Ltd,18.25,-5,18.16,18.35,81,f,1.48,2.34,4.44,15.2
39.48,27.61,Leighton Hldgs,28.9,47,28.82,28.9,145,f,1.24,7.6,5.02,16.1
9.28,6.7,Lend Lease Grp stp,8.66,6,8.51,8.7,32,p,2.11,5.03,3.7,12.8
3.05,0.897,Linc Energy Ltd,2.81,3,2.78,2.84,,f,-,,,4
51.97,33.01,Macq Grp Ltd,35.24,6,35.23,35.33,186,,1.55,25.21,5.28,12.2
3.17,2.447,MAP Grp forus,2.96,-3,2.95,2.98,21,,0.26,,7.09,54.6
7,1.71,Mesoblast Ltd,6.88,1,6.8,6.9,,,-,0.15,,13.2
4.57,3.84,Metcash Ltd,4,2,3.99,4.02,26,f,1.15,0.14,6.5,13.4
18.95,15.35,Milton Corp,15.86,-14,15.85,16.01,73,f,1.12,17.83,4.6,19.3
13.63,6.11,Mineral Res,11.25,-1,11.23,11.3,28.6,f,2.92,3.13,2.54,13.5
1.51,1.16,Mirvac Grp stp,1.22,-1.5,1.215,1.22,8,,0.74,1.59,6.56,20.7
22.4,11.77,Monadelphous Grp,21,7,20.79,21,88,f,1.16,1.96,4.19,20.6
4.02,2.86,Myer Hldgs Ltd,3.34,-1,3.31,3.34,22.5,f,1.18,-0.09,6.74,12.6
29.03,22.23,National Aust Bank,24.72,24,24.7,24.73,152,f,1.26,12.63,6.15,12.9
5.4,3.37,Navitas Ltd,4.09,-21,4.08,4.2,19.4,f,1.04,0.06,4.74,20.2
20.18,15.4,News Corp b voting,17.39,-1,17.26,17.45,13.42,,9.82,,0.77,13.2
8.498,3.2,Nufarm Ltd,5.14,,5.11,5.15,,,-,3.45,,
4.15,2.26,Onesteel Ltd,2.43,2,2.43,2.45,12,,1.62,1.34,4.94,12.5
26.93,22.836,Orica Ltd,25.04,-8,25.02,25.1,95,f,3.9,1.44,3.79,6.7
16.81,13.458,Origin Energy,15.54,14,15.52,15.55,50,f,0.24,7.97,3.22,129.5
39.39,27.11,Perpetual Ltd,29.72,23,29.55,29.9,200,f,0.95,,6.73,15.7
5.59,4.43,Platinum Asset,4.69,23,4.59,4.69,24,f,1.08,,5.12,18.1
4.56,2.72,Primary Health Care,2.85,-2,2.81,2.86,13,f,1.18,-1.33,4.56,18.5
3.02,2.05,Qantas Airways,2.1,1,2.1,2.12,,,-,2.42,,16.3
22.24,16.09,QBE Insurance Grp,16.82,-4,16.8,16.86,128,p,0.95,,7.61,13.8
3.31,2.53,QR National Ltd,3.25,-5,3.24,3.26,,,-,,,28.6
18.97,13.01,Ramsay Health Care,17.29,79,17.24,17.4,47.5,f,1.66,,2.75,21.9
12.73,9.5,REA Grp,12.23,14,12.05,12.23,26,f,1.77,0.81,2.13,26.6
26.35,20.5,Reece Aust Ltd,23,,22.01,23,59,f,1.98,6.19,2.57,19.7
3.985,2.95,Resmed Inc cdi,3,-3,2.99,3,,,-,8.7,,12.5
8.57,6.06,Seek Ltd,6.19,-10,6.16,6.2,13.5,f,2.21,0.78,2.18,20.8
9.44,5.41,Seven Grp Hldgs,7.95,-8,7.9,8.21,36,f,1.12,5.58,4.53,19.6
23.43,15.23,Sims Metal Mgmt,16.57,-15,16.51,16.61,35,p,1.93,8.51,2.11,24.5
14.6,9.53,Sonic Healthcare,10.71,14,10.69,10.8,59,p,1.19,-2.21,5.51,15.2
15.235,11.669,Soul Pattinson (W H),12.13,-9,12.13,12.3,33.86,f,2.68,11.33,2.79,13.4
0.975,0.76,SP Ausnet stp,0.855,0.5,0.85,0.86,8,p,1.09,0.91,9.36,9.8
1.283,1.035,Spark Infrastructure stp,1.075,-2.5,1.07,1.08,13.54,,0.55,1.68,12.6,14.5
4.15,3.44,Stockland stp,3.66,2,3.6,3.67,22.8,,1.27,3.63,6.23,12.6
9.76,7.56,Suncorp Grp Ltd,8.03,8,8.01,8.04,35,f,1.44,0.01,4.36,15.9
7.7,6.106,Tabcorp Hldgs Ltd,7.38,10,7.37,7.4,49,f,1.56,,6.64,9.7
2.6,2.108,Tatts Grp Ltd,2.23,1,2.22,2.25,10.5,f,0.91,-1.15,4.71,23.2
3.46,2.55,Telstra Corp,2.64,,2.64,2.65,28,f,0.93,0.36,10.61,10.2
7.54,5.34,Toll Hldgs Ltd,5.65,,5.64,5.65,25,f,1.91,1.34,4.42,11.8
3.95,1.955,Tower Aust,3.88,,3.88,3.89,5.75,f,3.97,1.33,1.48,17
4.091,2.795,Transfield Services,3.08,2,3.04,3.09,14,f,0.8,0.08,4.55,27.5
5.45,4.13,Transurban Grp stp,5.14,7,5.11,5.14,25,,0.24,2.73,4.86,87.1
15.93,12.72,UGL Ltd,15.15,1,15.13,15.35,67,f,1.4,0.18,4.42,16.2
35.26,27.09,Wesfarmers Ltd,31.07,-23,31.05,31.1,135,f,1.19,,4.35,19.3
10.508,8.91,Westfield Grp stp,9.4,-2,9.37,9.42,63.56,,0.76,7.18,6.76,19.5
2.75,2.49,Westfield Retail Tst stp,2.57,2,2.55,2.58,,,-,,,
28.43,20.56,Westpac Banking,22.78,15,22.76,22.79,139,f,1.54,8.96,6.1,10.6
30.18,25.52,Woolworths Ltd,25.95,-45,25.95,25.96,119,f,1.43,1.87,4.59,15.3
31.67,19.95,Worleyparsons Ltd,29.7,-39,29.48,29.71,76,f,1.5,0.39,2.56,26
