Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-14T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,Q3,0.0901,-,0.2401,-,4,-,-,-,25 Mar,31 Mar,20 Jun,0,,
Clime Capital,7.5% non-cum. pref,CAMPA,F,4.75,-,19.0,100,-,-,14.25,4.75,30 Jun,2 Jul,21 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,214.43,-,214.43,100,-,-,650.99,205.68,22 Jul,24 Jul,31 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,F,113.71,-,451.42,100,-,-,197.8,122.26,4 Jun,6 Jun,16 Jun,0,,
CSR,ordinary,CSR,F,5.0,-,10.0,-,3,-,3.0,2.1,3 Jun,5 Jun,8 Jul,0,,
DuluxGroup,ordinary,DLX,I,10.0,-,10.0,100,3,-,8.0,-,28 May,30 May,20 Jun,0,,
E & A,ordinary,EAL,I,2.75,-,2.75,100,3,-,2.5,-,29 May,2 Jun,16 Jun,0,,
Eumundi Grp,ordinary,EBG,I,0.5,-,0.5,100,3,-,-,-,16 Jun,18 Jun,27 Jun,0,,
Federation Cntres,ord/unit stapled sec,FDC,F,7.8,-,15.3,-,-,-,-,7.5,26 Jun,30 Jun,29 Aug,1,,
Fisher & Paykel Health,ordinary,FPH,F,-,-,4.9075,-,3,-,4.2617,5.8558,18 Jun,20 Jun,4 Jul,0,,
GrainCorp,a class ordinary,GNC,I,15.0,-,15.0,100,-,-,25.0,-,2 Jul,4 Jul,18 Jul,0,,
HGL,ordinary,HNG,I,2.0,-,2.0,100,3,-,2.0,-,23 Jun,25 Jun,11 Jul,0,,
Incitec Pivot,ordinary,IPL,I,3.5,-,3.5,75.00,3,-,3.4,-,20 May,22 May,1 Jul,0,,
Infratil,ordinary,IFZ,F,6.3903,-,9.7169,-,4,-,2.5522,5.0008,27 May,29 May,16 Jun,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,239.42,-,239.42,100,-,-,241.43,-,22 Oct,24 Oct,3 Nov,0,,
Ironbark Capital,ordinary,IBC,F,1.0,-,2.25,100,4,-,2.0,2.0,11 Jun,13 Jun,27 Jun,0,,
James Hardie Ind,chess depositary int,JHX,F,55.4424,-,86.318,-,-,-,4.7465,39.9452,10 Jun,12 Jun,8 Aug,0,,
Joyce Corp,ordinary,JYC,I,1.5,-,1.5,-,4,-,1.0,-,10 Jul,14 Jul,31 Jul,0,,
Kathmandu Hldgs,ordinary,KMD,I,2.3205,-,2.3205,100,-,-,2.5086,-,4 Jun,6 Jun,17 Jun,0,,
Korvest,ordinary,KOV,I,100.0,-,100.0,100,3,-,26.0,-,6 Jun,11 Jun,27 Jun,0,,
Macquarie Grp,ordinary,MQG,F,160.0,-,260.0,40.00,3,-,75.0,125.0,14 May,16 May,2 Jul,0,,
National Aust Bank,ordinary,NAB,I,99.0,-,99.0,100,3,3,93.0,-,14 May,16 May,8 Jul,0,,
National Aust Bank,pref share,NABPA,F,103.3,-,409.97,100,-,-,-,110.24,2 Jun,4 Jun,20 Jun,0,,
National Aust Bank,cps ii,NABPB,F,104.01,-,204.81,100,-,-,-,-,28 May,30 May,17 Jun,0,,
Newhaven Hotels,ordinary,NHH,F,4.0,-,6.0,100,-,-,2.0,2.0,19 Jun,23 Jun,30 Jun,1,,
Orica,ordinary,ORI,I,40.0,-,40.0,40.00,3,-,39.0,-,29 May,2 Jun,1 Jul,0,,
OzForex Grp,ordinary,OFX,F,2.375,-,2.375,100,-,-,-,-,11 Jun,13 Jun,27 Jun,0,,
Preferred Capital,perls iii,PCAPA,F,130.6,-,520.64,100,-,-,456.83,143.75,26 Jun,30 Jun,7 Jul,0,,
Programmed Maint,ordinary,PRG,F,11.0,-,17.0,100,4,-,5.0,10.0,2 Jul,4 Jul,25 Jul,0,,
ResMed Inc,cdi  10:1,RMD,F,2.705,-,7.3187,-,-,-,1.4739,-,16 May,20 May,17 Jun,0,,
RFM Poultry,nsx - ordinary,RFP,F,3.31,-,3.31,-,3,-,-,-,26 Jun,30 Jun,16 Jul,0,,
Rural Funds Grp,ordinary units,RFF,F,2.1296,-,4.2592,-,3,-,-,-,26 Jun,30 Jun,16 Jul,0,,
Ruralco Hldgs,ordinary,RHL,I,8.0,-,8.0,100,4,-,10.0,-,4 Jun,6 Jun,27 Jun,0,,
Singapore Tel,chess depositary int,SGT,F,-,-,6.0644,-,-,-,5.3181,8.7462,1 Aug,6 Aug,22 Aug,1,,
SP AusNet,stapled securities,SPN,F,4.18,-,8.36,33.33,3,-,4.1,4.1,26 May,28 May,27 Jun,0,,
SPDR 200 Financials,etf units,OZF,F,-,-,67.2413,-,3,-,52.5715,19.6444,26 Jun,30 Jun,9 Jul,1,,
SPDR 200 Fund,etf units,STW,F,-,-,124.9232,-,3,-,115.3055,77.3056,26 Jun,30 Jun,9 Jul,1,,
SPDR 200 Resources,etf units,OZR,F,-,-,12.1227,-,3,-,9.8043,12.2377,26 Jun,30 Jun,9 Jul,1,,
SPDR 50 Fund,etf units,SFY,F,-,-,127.0464,-,3,-,134.6658,68.9497,26 Jun,30 Jun,9 Jul,1,,
Spdr Aust Bond,etf units,BOND,F,-,-,56.1509,-,3,-,47.7023,18.4787,26 Jun,30 Jun,9 Jul,1,,
Spdr Dj Global Reit,etf units,DJRE,F,-,-,-,-,3,-,-,-,26 Jun,30 Jun,9 Jul,1,,
Spdr Emerging Mkts,etf units,WEMG,F,-,-,-,-,3,-,-,-,26 Jun,30 Jun,9 Jul,1,,
Spdr Global Dividend,etf units,WDIV,F,-,-,-,-,3,-,-,-,26 Jun,30 Jun,9 Jul,1,,
Spdr Govt Bond,etf units,GOVT,F,-,-,54.8563,-,3,-,41.5484,17.4961,26 Jun,30 Jun,9 Jul,1,,
SPDR Prop Fund,etf units,SLF,F,-,-,25.7897,-,4,-,37.4214,10.5176,26 Jun,30 Jun,29 Aug,1,,
SPDR Small Ords,etf units,SSO,F,-,-,13.9177,-,3,-,13.5735,15.1164,26 Jun,30 Jun,9 Jul,1,,
SPDRWorld ex Aust,etf units,WXOZ,F,-,-,-,-,3,-,-,9.5571,26 Jun,30 Jun,9 Jul,1,,
SPDRWrldexAuHdgd,etf units,WXHG,F,-,-,-,-,3,-,-,-,26 Jun,30 Jun,9 Jul,1,,
SPDR MSCI Aus Sel HDY,etf units,SYI,F,-,-,106.2595,-,3,-,89.2155,17.374,26 Jun,30 Jun,9 Jul,1,,
Stockland,units/ord stapled,SGP,F,-,12.0,12.0,-,3,-,12.0,12.0,26 Jun,30 Jun,29 Aug,1,,
Suncorp Grp,conv pref share cps2,SUNPC,F,128.71,-,510.9,100,-,-,195.18,135.5,5 Jun,10 Jun,17 Jun,0,,
Suncorp Grp,sub.note 22-nov-23,SUNPD,Q1,140.02,-,140.02,-,-,-,420.19,130.54,12 Aug,14 Aug,22 Aug,0,,
Suncorp Grp,conv pref cps3,SUNPE,F,46.67,-,46.67,100,-,-,-,-,29 May,2 Jun,17 Jun,0,,
Sydney Airport,stapled us prohibit.,SYD,I,11.5,-,11.5,-,3,-,11.0,-,26 Jun,30 Jun,15 Aug,0,,
Technology One,ordinary,TNE,I,1.95,-,1.95,100,-,-,1.77,-,4 Jun,6 Jun,16 Jun,0,,
Thorn Grp,ordinary,TGA,F,6.5,-,11.0,100,3,-,4.5,6.0,17 Jun,19 Jun,17 Jul,0,,
Tower,ordinary,TWR,I,5.0278,-,5.0278,-,4,-,3.5517,-,11 Jun,13 Jun,30 Jun,0,,
Transurban Grp,triple stapled sec.,TCL,F,18.0,-,35.0,19.45,3,-,15.5,15.5,26 Jun,30 Jun,14 Aug,0,,
Village Roadshow,ordinary,VRL,I,15.0,-,15.0,100,-,-,13.0,-,24 Jun,26 Jun,17 Jul,0,,
Waterco,ordinary,WAT,I,3.0,-,3.0,100,3,-,3.0,-,7 May,9 May,16 Jun,0,,
WDS,ordinary,WDS,F,2.0,-,5.0,100,4,-,1.5,-,4 Jun,6 Jun,25 Jun,0,,
Westpac Banking,ordinary,WBC,I,90.0,-,90.0,100,3,-,96.0,-,14 May,16 May,2 Jul,0,,
Westpac Banking,preferred ii,WBCPB,F,-,112.62,-,100,-,-,-,-,18 Jun,20 Jun,30 Jun,0,,
Westpac Banking,conv pref shs,WBCPC,F,-,208.94,-,100,-,-,-,-,18 Sep,22 Sep,30 Sep,0,,
Westpac Banking,conv perpetual note,WBCPD,Q1,-,103.72,-,100,-,-,-,-,27 Aug,29 Aug,8 Sep,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,F,-,63.76,67.18,100,-,-,225.12,70.68,11 Jun,13 Jun,30 Jun,0,,
,
