Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-17T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles,ordinary,ONT,F,8.5,-,18.5,100,-,-,8.6,9.2,30 Sep,4 Oct,9 Oct,1,,
Aurora Prop,ordinary units,AUP,F,10.9,-,32.1,-,3,-,30.0,10.2,24 Jun,28 Jun,13 Sep,0,,
Aust Foundation,ordinary,AFI,F,14.0,-,22.0,100,3,-,8.0,13.0,9 Aug,15 Aug,30 Aug,0,,
Aust United Invest,ordinary,AUI,F,16.0,-,29.5,100,3,-,13.0,15.0,23 Aug,29 Aug,25 Sep,1,,
Automotive Hldgs,ordinary,AHE,F,12.0,-,20.0,100,-,-,7.0,11.0,10 Sep,16 Sep,2 Oct,1,,
Bendigo & Adelaide Bk,reset preference,BENPB,Q1,74.71,-,74.71,100,-,-,256.98,83.45,20 Aug,26 Aug,16 Sep,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,I,81.0,-,81.0,100,-,-,327.0,94.0,18 Sep,24 Sep,10 Oct,0,,
Bendigo & Adelaide Bk,conv pref share,BENPD,I,273.62,-,273.62,100,-,-,65.49,-,22 Nov,28 Nov,13 Dec,0,,
BetaSharesHighIntCash,etf units,AAA,I,15.37,-,15.37,-,-,-,18.679,-,1 Aug,8 Aug,19 Aug,0,,
BKI Invest,ordinary,BKI,F,3.4,-,7.15,100,3,-,3.2,3.2,13 Aug,19 Aug,29 Aug,0,,
Bradken,ordinary,BKN,F,18.0,-,38.0,100,4,-,19.5,21.5,19 Aug,23 Aug,13 Sep,1,,
BWP Trust,ordinary units,BWP,F,7.14,-,14.14,-,3,-,6.63,8.04,24 Jun,28 Jun,28 Aug,0,,
Cadence Capital,ordinary,CDM,F,5.0,-,11.0,100,3,-,4.5,8.0,16 Sep,20 Sep,30 Sep,0,,
Calibre Grp Ltd,ordinary,CGH,F,1.8,-,7.6,100,3,-,-,-,2 Sep,6 Sep,27 Sep,1,,
Capilano Honey,ordinary,CZZ,F,15.0,-,15.0,100,-,-,-,-,24 Jul,30 Jul,19 Aug,0,,
Capitol Health,ordinary,CAJ,F,0.3,-,0.55,100,3,-,0.2,0.2,23 Sep,27 Sep,25 Oct,0,,
Carindale Prop,unit,CDP,F,-,14.8,13.9,-,-,-,13.9,13.9,24 Jun,28 Jun,30 Aug,0,,
Carlton Invest,ordinary,CIN,F,58.0,-,92.0,100,4,4,32.0,52.0,28 Aug,3 Sep,18 Sep,1,,
Carlton Invest,7% cum.pref.,CINPA,F,7.0,-,14.0,100,4,4,7.0,7.0,28 Aug,3 Sep,18 Sep,1,,
carsales.com,ordinary,CRZ,F,15.6,-,28.3,100,-,-,11.3,19.2,5 Sep,11 Sep,25 Sep,1,,
CFS Retail Prop,stapled securities,CFX,F,-,6.8,6.8,-,3,-,6.5,6.6,24 Jun,28 Jun,28 Aug,0,,
Challenger Div Pro,stapled units,CDI,F,9.2,-,17.8,-,4,-,2.05,2.15,24 Jun,28 Jun,30 Aug,0,,
Chandler Macleod,ordinary,CMG,F,1.8,-,3.2,100,3,-,1.2,1.6,4 Sep,10 Sep,1 Oct,1,,
Charter Hall Grp,stapled us prohibit.,CHC,F,10.4,-,20.2,-,3,-,9.1,9.1,24 Jun,28 Jun,28 Aug,0,,
Charter Hall Ret REIT,units,CQR,F,13.5,-,26.8,-,3,-,13.0,13.1,24 Jun,28 Jun,21 Aug,0,,
Cochlear,ordinary,COH,F,127.0,-,252.0,30.00,-,-,120.0,125.0,23 Aug,29 Aug,19 Sep,0,,
Colorpak,ordinary,CKL,F,1.75,-,3.5,100,-,-,1.5,1.75,30 Aug,5 Sep,1 Oct,0,,
C'wlth Bank  of Aust,ordinary,CBA,F,200.0,-,364.0,100,3,-,137.0,197.0,19 Aug,23 Aug,3 Oct,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,I,214.2,-,214.2,100,-,-,816.15,246.31,18 Oct,24 Oct,31 Oct,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,Q1,116.11,-,116.11,100,-,-,197.8,122.26,2 Sep,6 Sep,16 Sep,0,,
C'wlth Prop Office,ordinary units,CPA,F,-,3.35,3.2,-,-,-,2.89,3.2,24 Jun,28 Jun,28 Aug,0,,
Computershare,ordinary,CPU,F,14.0,-,28.0,20.00,3,-,14.0,14.0,20 Aug,26 Aug,17 Sep,1,,
Contango Microcap,ordinary,CTN,F,4.0,-,7.8,50.00,3,-,3.8,4.7,26 Aug,30 Aug,24 Sep,1,,
Corum Grp,ordinary,COO,F,0.7,-,1.3,-,-,-,-,-,2 Aug,9 Aug,20 Aug,0,,
Credit Corp Grp,ordinary,CCP,F,17.0,-,37.0,100,4,-,13.0,16.0,23 Sep,27 Sep,4 Oct,0,,
CSL,ordinary,CSL,F,56.98,-,105.64,-,4,-,36.0,47.0,9 Sep,13 Sep,4 Oct,1,,
DEXUS Prop Grp,stapled units,DXS,F,3.11,-,6.0,-,4,-,2.67,2.68,24 Jun,28 Jun,30 Aug,0,,
Diversified United Inv,ordinary,DUI,F,7.5,-,13.5,100,3,-,6.0,7.0,23 Aug,29 Aug,25 Sep,1,,
Djerriwarrh Invest,ordinary,DJW,F,16.0,-,26.0,100,4,-,10.0,16.0,6 Aug,12 Aug,23 Aug,0,,
Domino's Pizza,ordinary,DMP,F,15.4,-,30.9,100,4,-,13.0,14.1,21 Aug,27 Aug,13 Sep,1,,
Downer EDI,ordinary,DOW,F,11.0,-,21.0,70.00,3,-,-,-,14 Aug,20 Aug,24 Sep,0,,
Emerging Markets MF,units,EMF,F,6.0,-,6.0,-,3,-,-,-,24 Jun,28 Jun,25 Sep,0,,
Ethane Pipeline,stapled securities,EPX,Q1,3.29,-,3.29,77.51,-,-,11.8465,3.5,24 Sep,30 Sep,15 Oct,1,,
Federation Cntres,ord/unit stapled sec,FDC,F,7.5,-,7.5,-,-,-,-,-,24 Jun,28 Jun,28 Aug,0,,
Finbar Grp,ordinary,FRI,F,6.0,-,9.5,100,3,-,3.5,5.5,29 Jul,2 Aug,11 Sep,0,,
FKP Prop Grp,stapled securities,FKP,F,-,1.0,-,-,4,-,1.4,1.4,24 Jun,28 Jun,30 Sep,0,,
FlexiGroup,ordinary,FXL,F,7.5,-,14.5,100,4,-,6.0,6.5,9 Sep,13 Sep,18 Oct,0,,
GUD Hldgs,ordinary,GUD,F,36.0,-,72.0,100,4,-,35.0,35.0,14 Aug,20 Aug,3 Sep,0,,
Generation Healthcare,units,GHC,F,3.67,-,7.34,-,3,-,3.34,3.34,24 Jun,28 Jun,30 Aug,0,,
Goodman Fielder,ordinary,GFF,F,3.0,-,3.0,-,4,-,-,-,23 Sep,27 Sep,1 Nov,1,,
Goodman Grp,stapled,GMG,F,9.7,-,19.4,53.34,4,-,1.8,9.0,24 Jun,28 Jun,26 Aug,0,,
GPT Grp,stapled sec.,GPT,Q1,5.0,-,5.0,-,4,-,14.7,5.1,15 Aug,21 Aug,13 Sep,1,,
Growthpoint Prop,ord/unit stapled sec,GOZ,F,9.3,-,18.3,-,3,-,8.7,8.9,24 Jun,28 Jun,30 Aug,0,,
Hastings High Yld,ordinary units,HHY,F,18.1,-,57.35,-,4,-,7.5,3.75,24 Jun,28 Jun,23 Aug,0,,
Henderson Grp,cdi 1:1,HGG,I,-,-,-,-,-,-,3.2237,-,26 Aug,30 Aug,20 Sep,0,,
HFA Hldgs,ordinary,HFA,F,3.287,-,6.25,100,-,-,1.9,2.9,21 Aug,27 Aug,6 Sep,1,,
ILH Group,ordinary,IAW,F,0.4,-,0.6,100,3,-,-,0.8,28 Oct,1 Nov,22 Nov,1,,
Insurance Aust Grp,conv pref shs,IAGPC,I,241.43,-,241.43,100,-,-,282.01,-,18 Oct,24 Oct,1 Nov,0,,
Integrated Research,ordinary,IRI,F,3.0,-,5.0,40.00,-,-,2.0,3.0,23 Aug,29 Aug,13 Sep,1,,
Investa Office Fd,stapled securities,IOF,F,9.0,-,17.75,-,4,-,-,0.975,24 Jun,28 Jun,30 Aug,0,,
IRESS,ordinary,IRE,I,13.5,-,13.5,90.00,-,-,13.5,-,13 Aug,19 Aug,27 Sep,0,,
ITL,ordinary,ITD,F,0.75,-,1.25,100,-,-,-,-,19 Aug,23 Aug,2 Sep,1,,
JB Hi-Fi,ordinary,JBH,F,22.0,-,72.0,100,-,-,49.0,16.0,19 Aug,23 Aug,6 Sep,1,,
K2 Asset Mgt,ordinary,KAM,F,4.0,-,5.0,100,-,-,1.0,-,20 Aug,26 Aug,29 Aug,1,,
Katana Capital,ordinary,KAT,Q1,1.0,-,1.0,100,3,-,2.5,1.5,2 Aug,9 Aug,30 Aug,0,,
Korvest,ordinary,KOV,F,20.0,-,46.0,100,4,-,23.0,30.0,19 Aug,23 Aug,6 Sep,0,,
Landmark White,ordinary,LMW,F,2.25,-,3.25,100,-,-,1.0,2.0,12 Sep,18 Sep,2 Oct,0,,
Leighton Hldgs,ordinary,LEI,I,45.0,-,45.0,50.00,-,-,20.0,-,10 Sep,16 Sep,3 Oct,1,,
Magellan Flagship,ordinary,MFF,F,1.0,-,2.0,-,3,-,-,1.0,14 Oct,18 Oct,15 Nov,0,,
Melbourne IT,ordinary,MLB,I,25.0,-,25.0,75.00,4,-,7.0,-,25 Jul,31 Jul,22 Aug,0,,
Merchant House,ordinary,MHI,F,0.5,-,1.5,-,-,-,0.5,0.5,12 Aug,16 Aug,22 Aug,0,,
Milton Corp,ordinary,MLT,F,45.5,-,84.5,100,-,-,38.0,40.0,15 Aug,21 Aug,4 Sep,0,,
Mincor Res,ordinary,MCR,F,2.0,-,4.0,100,-,-,2.0,2.0,22 Aug,28 Aug,25 Sep,1,,
Mineral Res,ordinary,MIN,F,32.0,-,48.0,100,3,-,16.0,30.0,16 Sep,20 Sep,25 Oct,1,,
Mirvac Industrial,units,MIX,F,0.5,-,0.5,-,4,-,-,-,24 Jun,28 Jun,29 Aug,0,,
National Aust Bank,pref share,NABPA,Q1,105.86,-,105.86,100,-,-,-,110.24,30 Aug,5 Sep,20 Sep,0,,
Navitas,ordinary,NVT,F,10.2,-,19.5,100,-,-,9.4,10.1,26 Aug,30 Aug,13 Sep,0,,
Nick Scali,ordinary,NCK,F,6.0,-,12.0,100,-,-,4.5,3.5,2 Oct,9 Oct,31 Oct,1,,
Northern Star Res,ordinary,NST,F,2.5,-,3.5,100,-,-,-,2.5,12 Aug,16 Aug,27 Sep,0,,
Nuplex Industries,ordinary,NPX,F,-,-,6.8882,-,4,-,6.6215,7.4177,23 Sep,27 Sep,11 Oct,1,,
OZ Minerals,ordinary,OZL,I,10.0,-,10.0,-,4,-,10.0,-,5 Sep,11 Sep,25 Sep,1,,
Platinum Asset,ordinary,PTM,F,14.0,-,22.0,100,-,-,8.0,13.0,20 Aug,26 Aug,23 Sep,1,,
Platinum Capital,ordinary,PMC,F,5.0,-,7.0,100,3,-,-,-,16 Aug,22 Aug,9 Sep,1,,
Preferred Capital,perls iii,PCAPA,Q1,137.27,-,137.27,100,-,-,456.83,143.75,25 Sep,1 Oct,8 Oct,0,,
Primary Health Care,ordinary,PRY,F,11.0,-,17.5,100,3,3,5.0,6.0,16 Sep,20 Sep,8 Oct,1,,
REA Grp,ordinary,REA,F,25.5,-,41.5,100,4,-,12.5,20.5,26 Aug,30 Aug,24 Sep,1,,
Reckon,ordinary,RKN,I,4.0,-,4.0,90.00,-,-,3.75,-,22 Aug,28 Aug,11 Sep,1,,
Reef Casino Tr,units,RCT,I,-,10.5,-,-,-,-,9.0,-,24 Jun,28 Jun,19 Sep,0,,
ResMed Inc,cdi  10:1,RMD,Q1,2.309,-,2.309,-,-,-,1.3906,1.3953,14 Aug,20 Aug,17 Sep,0,,
RHG,ordinary,RHG,F,3.0,-,12.0,100,-,-,4.5,10.0,31 Jul,7 Aug,22 Aug,0,,
Rio Tinto,ordinary,RIO,I,93.0,-,93.0,100,3,-,68.51,-,14 Aug,20 Aug,12 Sep,0,,
Royal Wolf Hldgs,ordinary,RWH,F,5.0,-,9.5,-,-,-,3.5,4.5,18 Sep,24 Sep,3 Oct,1,,
SAI Global,ordinary,SAI,F,8.2,-,15.0,100,3,-,6.8,8.2,20 Aug,26 Aug,20 Sep,1,,
Santos,ordinary,STO,I,15.0,-,15.0,100,3,-,15.0,-,22 Aug,28 Aug,30 Sep,1,,
SCA Property Grp,stapled securities,SCP,F,5.6,-,5.6,-,-,-,-,-,24 Jun,28 Jun,28 Aug,0,,
Singapore Tel,chess depositary int,SGT,F,8.7462,-,14.0643,-,-,-,5.2291,6.8738,31 Jul,7 Aug,23 Aug,0,,
Skilled Grp,ordinary,SKE,F,9.0,-,16.0,100,4,-,5.0,8.0,20 Sep,26 Sep,16 Oct,1,,
SkyCity Entertain,ordinary,SKC,F,-,-,7.3512,-,3,-,6.5714,5.7806,16 Sep,20 Sep,4 Oct,1,,
SPDR Prop Fund,etf units,SLF,F,10.5176,-,47.939,-,4,-,34.4427,13.094,24 Jun,28 Jun,27 Aug,0,,
Sthn Cross Media,ordinary,SXL,F,4.5,-,9.0,100,3,-,5.0,5.0,23 Sep,27 Sep,21 Oct,1,,
Stockland,units/ord stapled,SGP,F,12.0,-,24.0,-,4,-,12.0,12.0,24 Jun,28 Jun,30 Aug,0,,
STW Comms,ordinary,SGN,I,3.3,-,3.3,100,-,-,3.3,-,21 Aug,27 Aug,10 Sep,1,,
Suncorp Grp,conv pref share cps2,SUNPC,Q1,131.11,-,131.11,100,-,-,195.18,135.5,4 Sep,10 Sep,17 Sep,0,,
Suncorp Grp,sub.note 22-nov-23,SUNPD,Q1,142.85,-,142.85,-,-,-,-,-,8 Aug,14 Aug,22 Aug,0,,
Supply Net,ordinary,SNL,F,4.5,-,8.0,100,4,-,3.0,4.0,6 Sep,12 Sep,26 Sep,0,,
Tabcorp Hldgs,ordinary,TAH,F,8.0,-,19.0,100,3,-,13.0,11.0,14 Aug,20 Aug,24 Sep,0,,
Telstra Corp,ordinary,TLS,F,14.0,-,28.0,100,4,-,14.0,14.0,19 Aug,23 Aug,20 Sep,0,,
Titan Energy Service,ordinary,TTN,F,3.5,-,5.5,100,3,-,-,2.0,12 Aug,16 Aug,6 Sep,0,,
Tox Free Solutions,ordinary,TOX,F,5.0,-,5.0,100,-,-,-,4.0,19 Aug,23 Aug,30 Aug,1,,
Transpacific SPS Tr,non-cum setup pref.,TPAPA,F,-,-,323.0,100,-,-,369.0,360.0,24 Sep,30 Sep,16 Oct,0,,
21st Century Fox,b voting cdi,FOX,F,-,-,-,-,-,-,-,-,5 Sep,11 Sep,16 Oct,1,,
21st Century Fox,a non-voting cdi,FOXLV,F,-,-,-,-,-,-,-,-,5 Sep,11 Sep,16 Oct,1,,
UGL,ordinary,UGL,F,5.0,-,39.0,-,-,-,34.0,36.0,19 Aug,23 Aug,6 Sep,1,,
US Masters Res Prop Fd,ordinary units,URF,I,5.0,-,5.0,-,3,-,-,-,24 Jun,28 Jun,25 Sep,0,,
WAM Active,ordinary,WAA,F,4.75,-,9.5,100,3,-,4.5,4.5,23 Sep,27 Sep,4 Oct,1,,
WAM Capital,ordinary,WAM,F,6.0,-,12.0,100,3,-,5.5,5.5,4 Oct,11 Oct,18 Oct,0,,
Wesfarmers,ordinary,WES,F,103.0,-,180.0,100,3,-,70.0,95.0,20 Aug,26 Aug,27 Sep,1,,
Wesfarmers,partially protected,WESN,F,103.0,-,180.0,100,3,-,70.0,95.0,20 Aug,26 Aug,27 Sep,1,,
Westfield Grp,ord/unit stapled sec,WDC,I,-,25.5,-,-,4,-,24.75,-,9 Aug,15 Aug,30 Aug,0,,
Westfield Retail Tr,unit stapled,WRT,I,-,9.925,-,-,-,-,9.25,-,9 Aug,15 Aug,30 Aug,0,,
Westpac Banking,preferred,WBCPA,I,-,52.93,-,100,-,-,-,-,15 Aug,21 Aug,29 Aug,0,,
Westpac Banking,preferred ii,WBCPB,I,-,116.58,-,100,-,-,-,-,16 Sep,20 Sep,30 Sep,0,,
Westpac Banking,conv pref shs,WBCPC,F,-,222.77,-,100,-,-,-,282.05,16 Sep,20 Sep,30 Sep,0,,
Westpac Banking,conv perpetual note,WBCPD,Q1,-,105.35,-,-,-,-,-,109.74,26 Aug,30 Aug,9 Sep,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,Q1,-,67.18,-,100,-,-,225.12,70.68,9 Sep,13 Sep,30 Sep,0,,
WorleyParsons,ordinary,WOR,F,51.0,-,92.5,-,-,-,40.0,51.0,26 Aug,30 Aug,20 Sep,1,,
,
