Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-23T23:15:17+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Aditya Birla,ordinary,ABY,F,5.0,-,5.0,-,-,-,-,9.0,5 Jun,12 Jun,26 Jun,0,,
Centro Retail Aust,ord/unit stapled sec,CRF,F,6.5,-,6.5,-,-,-,-,-,25 Jun,29 Jun,28 Aug,1,,
CFS Retail Prop,stapled securities,CFX,F,-,6.6,6.5,-,4,-,6.3,6.4,25 Jun,29 Jun,28 Aug,1,,
Challenger Div Pro,stapled units,CDI,F,-,2.15,2.05,-,4,-,2.0,2.0,25 Jun,29 Jun,30 Aug,1,,
Challenger Infra,stapled units,CIF,F,-,5.0,5.0,-,-,-,7.0,7.0,25 Jun,29 Jun,30 Aug,1,,
Charter Hall Grp,stapled us prohibit.,CHC,F,9.1,-,18.2,-,4,-,8.0,8.5,25 Jun,29 Jun,28 Aug,1,,
Charter Hall Ret REIT,units,CQR,F,13.1,-,26.1,-,4,-,12.0,12.8,25 Jun,29 Jun,21 Aug,0,,
CI Res,ordinary,CII,I,1.0,-,1.0,100,-,-,1.0,-,15 Jun,21 Jun,28 Jun,0,,
Clime Capital,ordinary,CAM,Q1,1.0,-,1.0,100,3,-,3.0,1.0,3 Jul,9 Jul,30 Jul,1,,
Clime Capital,7.5% non-cum. pref,CAMPA,Q1,4.75,-,4.75,100,-,-,14.25,4.75,3 Jul,9 Jul,27 Jul,1,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,Q1,262.89,-,262.89,100,-,-,870.61,267.25,18 Jul,24 Jul,31 Jul,0,,
C'wlth Bank  of Aust,perp.exc.(perls iv),CBAPB,Q1,179.97,-,179.97,100,-,-,412.96,186.12,18 Jul,24 Jul,31 Jul,0,,
C'wlth Prop Office,ordinary units,CPA,F,-,3.2,2.89,-,-,-,2.75,2.75,25 Jun,29 Jun,28 Aug,1,,
Countplus,ordinary,CUP,Q1,3.0,-,3.0,100,-,-,5.0,3.0,23 Jul,27 Jul,15 Aug,1,,
Cromwell Property,stapled securities,CMW,F,1.75,-,7.0,-,3,-,5.25,1.75,25 Jun,29 Jun,16 Aug,1,,
CS GP100 Aust Tr,ordinary units,CSJ,F,-,0.5714,-,-,-,-,-,-,25 Jun,29 Jun,18 Jul,1,,
CS100 Emrg Mkt Infr,units fully paid,CSU,F,-,1.8414,-,-,-,-,-,-,25 Jun,29 Jun,18 Jul,1,,
CSR,ordinary,CSR,F,7.0,-,13.0,100,3,-,9.13,5.3,7 Jun,14 Jun,9 Jul,0,,
DEXUS Prop Grp,stapled units,DXS,F,2.68,-,5.35,-,4,-,2.59,2.59,25 Jun,29 Jun,31 Aug,1,,
DEXUS Rents Tr,rents,DXRPA,F,137.0,-,589.0,-,-,-,465.0,154.0,8 Jun,15 Jun,29 Jun,0,,
Dicker Data,ordinary,DDR,F,1.5,-,3.36,100,-,-,1.0,-,21 Jun,27 Jun,6 Jul,1,,
DUET Grp,stapled us prohibit.,DUE,F,8.0,-,16.0,-,3,-,10.0,10.0,25 Jun,29 Jun,14 Aug,0,,
E & A,ordinary,EAL,I,2.0,-,2.0,100,3,-,-,-,12 Jun,18 Jun,29 Jun,0,,
Ethane Pipeline,stapled securities,EPX,F,4.15,-,16.15,-,-,-,11.7,3.96,25 Jun,29 Jun,13 Jul,1,,
Fisher & Paykel Health,ordinary,FPH,F,5.4658,-,9.5911,-,3,-,4.1832,5.3358,18 Jun,22 Jun,6 Jul,0,,
FKP Prop Grp,stapled securities,FKP,F,-,1.4,1.4,-,3,-,1.4,1.6,25 Jun,29 Jun,28 Sep,1,,
G8 Education,ordinary,GEM,F,1.5,-,5.0,100,3,-,3.0,1.0,25 Jun,29 Jun,9 Jul,1,,
Generation Healthcare,units,GHC,F,3.34,-,6.68,-,3,-,-,-,25 Jun,29 Jun,31 Aug,1,,
Gloucester Coal,ordinary,GCL,I,47.0,-,47.0,100,-,-,-,-,18 Jun,22 Jun,25 Jun,0,,
Goodman Grp,stapled us prohibit.,GMG,F,-,9.0,1.8,-,4,-,1.5,2.0,25 Jun,29 Jun,27 Aug,1,,
GrainCorp,a class ordinary,GNC,I,30.0,-,30.0,100,-,-,20.0,-,2 Jul,6 Jul,20 Jul,0,,
Growthpoint Prop,ord/unit stapled sec,GOZ,F,8.9,-,17.6,-,3,-,8.4,8.7,25 Jun,29 Jun,31 Aug,1,,
Growthpoint Prop,stapled new,GOZNA,F,7.6,-,7.6,-,3,-,4.5,-,25 Jun,29 Jun,31 Aug,1,,
Hastings Divers,stapled security,HDF,F,2.5,-,10.0,-,-,-,5.5,2.5,25 Jun,29 Jun,6 Aug,1,,
Hastings High Yld,ordinary units,HHY,F,3.75,-,15.0,-,4,-,7.4,3.7,25 Jun,29 Jun,24 Aug,1,,
HGL,ordinary,HNG,I,4.0,-,4.0,100,3,-,6.0,-,25 Jun,29 Jun,13 Jul,0,,
Incitec Pivot,ordinary,IPL,I,3.3,-,3.3,50.00,4,-,3.3,-,18 May,24 May,3 Jul,0,,
ING Private Equity,ordinary,IPE,I,2.5,-,2.5,100,-,-,-,-,12 Jun,18 Jun,28 Jun,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,282.01,-,282.01,100,-,-,-,-,18 Oct,24 Oct,1 Nov,0,,
Investa Office Fd,stapled securities,IOF,F,9.7,-,10.675,-,4,-,1.95,0.975,25 Jun,29 Jun,31 Aug,1,,
Ironbark Capital,ordinary,IBC,F,1.0,-,1.0,100,4,-,1.5,-,15 Jun,21 Jun,29 Jun,0,,
iShares China 25,cdi 1:1,IZZ,I,71.3996,-,71.3996,-,-,-,54.3223,-,21 Jun,25 Jun,12 Jul,1,,
iShares Glb Cons,cdi 1:1,IXI,I,81.2187,-,81.2187,-,-,-,69.0281,-,21 Jun,25 Jun,12 Jul,1,,
iShares Glb Health,cdi 1:1,IXJ,I,79.3655,-,79.3655,-,-,-,63.0094,-,21 Jun,25 Jun,12 Jul,1,,
iShares Glb Telco,cdi 1:1,IXP,I,132.8593,-,132.8593,-,-,-,136.683,-,21 Jun,25 Jun,12 Jul,1,,
iShares Global 100,cdi 1:1,IOO,I,90.4987,-,90.4987,-,-,-,88.9025,-,21 Jun,25 Jun,12 Jul,1,,
iShares MSCI BRIC,cdi 1:1,IBK,F,54.767,-,77.4251,-,-,-,3.0131,43.1515,22 Jun,26 Jun,13 Jul,1,,
iShares MSCI EAFE,cdi 1:1,IVE,F,95.8516,-,143.1389,-,-,-,45.8566,90.4115,22 Jun,26 Jun,13 Jul,1,,
iShares MSCI Em Mkt,cdi 1:1,IEM,F,39.0681,-,67.8913,-,-,-,2.129,36.5227,22 Jun,26 Jun,13 Jul,1,,
iShares MSCI Hong Kong,cdi 1:1,IHK,F,30.9063,-,45.3296,-,-,-,14.6186,18.8091,22 Jun,26 Jun,13 Jul,1,,
iShares MSCI Japan,cdi 1:1,IJP,F,7.3335,-,16.1331,-,-,-,6.2206,6.9945,22 Jun,26 Jun,13 Jul,1,,
iShares MSCI Singapore,cdi 1:1,ISG,F,16.3547,-,39.3794,-,-,-,26.0578,14.9773,22 Jun,26 Jun,13 Jul,1,,
iShares S&P 500,cdi 1:1,IVV,F,53.6998,-,221.8227,-,-,-,154.2533,47.6261,20 Jun,22 Jun,11 Jul,1,,
iShares S&P Asia 50,cdi 1:1,IAA,I,35.836,-,35.836,-,-,-,35.6181,-,21 Jun,25 Jun,12 Jul,1,,
iShares S&P Europe 350,cdi 1:1,IEU,I,79.9803,-,79.9803,-,-,-,71.1453,-,21 Jun,25 Jun,12 Jul,1,,
iShares S&P Mcap 400,cdi 1:1,IJH,F,24.5804,-,99.9943,-,-,-,65.9976,18.8376,20 Jun,22 Jun,11 Jul,1,,
iShares S&P Mcap 600,cdi 1:1,IJR,F,22.7535,-,76.7874,-,-,-,51.3272,11.0355,20 Jun,22 Jun,11 Jul,1,,
James Hardie Ind,chess depositary int,JHX,F,37.3869,-,41.4001,-,-,-,-,-,25 Jun,29 Jun,23 Jul,0,,
Joyce Corp,ordinary,JYC,I,1.5,-,1.5,-,4,-,2.0,-,8 Jun,15 Jun,2 Jul,0,,
Kingsrose Min,ordinary,KRM,I,4.0,-,4.0,-,-,-,-,-,13 Jun,19 Jun,4 Jul,0,,
LinQ Res Fund,units,LRF,F,-,2.5,0.5,100,3,-,1.5,3.0,25 Jun,29 Jun,31 Aug,1,,
Macquarie CPS Tr,conv pref,MQCPA,F,553.23,-,1112.54,-,-,-,559.31,550.19,15 Jun,21 Jun,2 Jul,0,,
Macquarie Grp,ordinary,MQG,F,75.0,-,140.0,-,3,-,86.0,100.0,7 May,11 May,2 Jul,0,,
Macquarie Winton,ordinary units,MWG,F,-,0.55,-,-,-,-,-,1.5767,25 Jun,29 Jun,30 Jul,1,,
Mirvac Grp,stapled securities,MGR,F,-,2.4,2.0,-,4,-,4.0,-,25 Jun,29 Jun,27 Jul,1,,
Multiplex Sites,sites,MXUPA,F,-,203.0,-,-,-,-,-,-,25 Jun,29 Jun,16 Jul,1,,
National Aust Bank,ordinary,NAB,I,90.0,-,90.0,100,3,3,84.0,-,31 May,6 Jun,16 Jul,0,,
Norfolk Grp,ordinary,NFK,F,2.0,-,3.5,-,-,-,-,2.0,10 Jul,16 Jul,31 Jul,0,,
Orica,ordinary,ORI,I,38.0,-,38.0,36.85,3,-,37.0,-,28 May,1 Jun,2 Jul,0,,
Preferred Capital,perls iii,PCAPA,F,177.25,-,792.93,100,-,-,622.85,207.5,25 Jun,29 Jun,6 Jul,0,,
Programmed Maint,ordinary,PRG,F,8.0,-,13.0,100,-,-,3.0,6.0,2 Jul,6 Jul,27 Jul,0,,
Reef Casino Tr,units,RCT,I,-,9.0,-,-,-,-,9.0,-,25 Jun,29 Jun,20 Sep,1,,
Russell Aust Semi Bnd,etf units,RSM,F,-,38.4536,-,-,3,-,-,-,25 Jun,29 Jun,13 Jul,1,,
Russell Aust Sel Corp Bnd,etf units,RCB,F,-,28.93,-,-,3,-,-,-,25 Jun,29 Jun,13 Jul,1,,
Russell Aust Govt Bnd,etf units,RGB,F,-,29.1775,-,-,3,-,-,-,25 Jun,29 Jun,13 Jul,1,,
Russell  Aust Value,etf units,RVL,F,-,38.0674,54.7058,-,3,-,-,3.9834,25 Jun,29 Jun,13 Jul,1,,
Russell High Div,etf units,RDV,F,-,42.7121,92.572,-,3,-,57.0213,71.0672,25 Jun,29 Jun,13 Jul,1,,
Singapore Tel,chess depositary int,SGT,F,-,-,5.2291,-,-,-,5.2141,14.9357,1 Aug,8 Aug,24 Aug,0,,
SP AusNet,stapled securities,SPN,F,4.0,-,8.0,33.30,3,-,4.0,4.0,24 May,30 May,29 Jun,0,,
SPDR 200 Financials,etf units,OZF,F,-,11.0524,58.5034,-,3,-,-,-,25 Jun,29 Jun,9 Jul,0,,
SPDR 200 Fund,etf units,STW,F,-,67.2526,105.7899,-,3,-,78.1209,97.6375,25 Jun,29 Jun,9 Jul,0,,
SPDR 200 Resources,etf units,OZR,F,-,10.0712,7.6064,-,3,-,-,-,25 Jun,29 Jun,9 Jul,0,,
SPDR 50 Fund,etf units,SFY,F,-,63.549,121.0718,-,3,-,82.2733,87.8142,25 Jun,29 Jun,9 Jul,0,,
SPDR Prop Fund,etf units,SLF,F,-,12.7339,34.4427,-,4,-,28.6243,11.4888,25 Jun,29 Jun,28 Aug,0,,
SPDR Small Ords,etf units,SSO,F,-,20.4099,26.1698,-,3,-,-,3.7828,25 Jun,29 Jun,9 Jul,0,,
SPDR MSCI Aus Sel HDY,etf units,SYI,F,-,27.8056,118.5493,-,3,-,18.0572,27.268,25 Jun,29 Jun,9 Jul,0,,
Stockland,units/ord stapled,SGP,F,-,12.0,12.0,-,4,-,11.8,11.9,25 Jun,29 Jun,31 Aug,1,,
Suncorp-Metway,pref shares,SBKPB,Q1,119.1,-,119.1,100,-,-,420.05,135.5,27 Aug,31 Aug,14 Sep,0,,
Sydney Airport,stapled us prohibit.,SYD,I,11.0,-,11.0,-,4,-,-,-,25 Jun,29 Jun,16 Aug,0,,
Thorn Grp,ordinary,TGA,F,5.5,-,9.5,100,-,-,3.54,4.95,8 Jun,15 Jun,18 Jul,0,,
Tower,ordinary,TWR,I,3.2885,-,3.2885,-,3,-,3.052,-,8 Jun,15 Jun,2 Jul,0,,
Trafalgar Corp,stapled securities,TGP,I,13.0,-,13.0,-,4,-,20.0,-,18 Jun,22 Jun,28 Jun,0,,
Transmetro Corp,ordinary,TCO,F,5.0,-,5.0,100,-,-,15.0,5.0,7 Jun,14 Jun,29 Jun,0,,
Transpacific SPS Tr,non-cum setup pref.,TPAPA,F,-,-,369.0,-,-,-,300.0,297.0,24 Sep,28 Sep,15 Oct,0,,
Transurban Grp,triple stapled sec.,TCL,F,15.0,-,29.5,23.34,3,-,13.0,14.0,25 Jun,29 Jun,14 Aug,1,,
Trojan Equity,ordinary,TJN,F,13.5,-,13.5,100,4,-,12.27,-,27 Jun,3 Jul,10 Jul,1,,
TTA Hldgs,ordinary,TTA,F,0.4,-,0.4,100,-,-,-,0.4,9 Jul,13 Jul,27 Jul,0,,
Van Eyk Blueprint,ordinary units,VBP,F,-,53.0,1.0,-,3,-,1.0,63.6509,25 Jun,29 Jun,26 Jul,1,,
Viterra Inc,cdi 1:1,VTA,I,-,-,-,-,-,-,4.1225,-,2 Jul,6 Jul,26 Jul,0,,
Vngd US Total Market,cdi 1:1,VTS,F,-,-,80.765,-,-,-,77.8659,22.95,26 Jun,28 Jun,18 Jul,1,,
Westpac Banking,ordinary,WBC,I,82.0,-,82.0,100,3,-,76.0,-,14 May,18 May,2 Jul,0,,
Westpac Banking,preferred,WBCPA,F,-,116.23,-,-,-,-,-,-,18 Jun,22 Jun,2 Jul,0,,
Westpac Banking,preferred ii,WBCPB,F,-,140.66,-,-,-,-,-,-,18 Jun,22 Jun,2 Jul,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,F,-,91.8,300.99,100,-,-,103.75,102.76,8 Jun,15 Jun,2 Jul,0,,
,
