Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-06T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
AIMS Prop Sec Fund,units,APW,I,-,0.1088,-,-,4,-,-,-,26 Sep,30 Sep,19 Dec,0,,
Timpetra Res,ordinary,TPR,I,3.6,-,3.6,-,-,-,-,-,19 Dec,23 Dec,29 Dec,1,,
Tower,ordinary,TWR,F,6.2277,-,11.2555,-,4,-,3.5517,4.7297,20 Jan,22 Jan,3 Feb,1,,
Victor Grp Hldgs,ordinary,VIG,F,0.48,-,0.48,-,-,-,-,-,27 Nov,1 Dec,8 Dec,0,,
Waterco,ordinary,WAT,F,3.0,-,6.0,100,3,-,3.0,4.0,10 Nov,12 Nov,15 Dec,0,,
Westpac Banking,ordinary,WBC,F,92.0,-,182.0,100,3,-,96.0,98.0,10 Nov,12 Nov,19 Dec,0,,
Westpac Banking,conv pref shs,WBCPC,I,-,209.42,-,-,-,-,-,-,19 Mar,23 Mar,31 Mar,0,,
Westpac Banking,conv perpetual note,WBCPD,I,-,101.66,-,-,-,-,109.74,-,26 Nov,28 Nov,8 Dec,0,,
Westpac Banking,conv perptl note ii,WBCPE,I,-,100.14,-,-,-,-,-,-,11 Dec,15 Dec,23 Dec,0,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,I,-,65.25,-,-,-,-,207.07,-,10 Dec,12 Dec,31 Dec,0,,
Whitefield,ordinary,WHF,I,8.5,-,8.5,100,3,-,8.5,-,20 Nov,24 Nov,12 Dec,0,,
Whitefield,8.0% cumulative prf,WHFPA,I,4.0,-,4.0,100,-,-,4.0,-,20 Nov,24 Nov,12 Dec,0,,
Whitefield,cnv.reset.prf,WHFPB,I,350.0,-,350.0,100,-,-,350.0,-,20 Nov,24 Nov,12 Dec,0,,
,
