Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,,,,
Report at 12:48 Monday 26/4/2010|. Processed 12:50 Monday 26/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
KEY:  1 Reporting Period; 2 Dividend per share; 3 Estimated Trust Distribution; 4 Dividend Reinvestment Plan; 5 Bonus Share Plan.,,,,,,,,,,,,,,,,,,,,,,,
              DRP:  2 - Retail shareholder DRP only; 3 - Full DRP offering; 4 - DRP suspended; 5 - DRP subject to shareholder approval.,,,,,,,,,,,,,,,,,,,,,,,
              BSP: 2 - Retail shareholder BSP only; 3 - Full BSP offering; 4 - BSP suspended.,,,,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
Bendigo & Adelaide,reset preference,BENPB,F,104.63,-,374.95,100,-,-,-,152.98,18/5/10,24/5/10,15/6/10,,,,,,,,,
Bendigo & Adelaide,step up non-cum pref,BENPC,F,110,-,396,100,-,-,167,86,21/6/10,25/6/10,12/7/10,,,,,,,,,
Brickworks Ltd,ordinary,BKW,I,13,-,13,100,-,-,12.5,-,23/4/10,30/4/10,20/5/10,,,,,,,,,
Cabcharge Aust,ordinary,CAB,I,17,-,17,100,-,-,-,17,25/3/10,31/3/10,29/4/10,,,,,,,,,
Cedar Woods Prop,ordinary,CWP,I,5,-,5,100,3,-,-,10,12/4/10,16/4/10,30/4/10,,,,,,,,,
CIC Aust Ltd,ordinary,CNB,F,3,-,4,100,3,-,1,3,25/3/10,31/3/10,30/4/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls v),CBAPA,F,256.97,-,563.54,100,-,-,-,-,19/4/10,23/4/10,30/4/10,,,,,,,,,
Commonwealth Bank,perp.exc.(perls iv),CBAPB,F,177.65,-,649.28,100,-,-,312.12,247.22,19/4/10,23/4/10,30/4/10,,,,,,,,,
Count Financial,ordinary,COU,F,2,-,7,100,-,-,6,2,11/6/10,18/6/10,15/7/10,,,,,,,,,
Cromwell Grp,stapled securities,CMW,Q3,2,-,6,-,4,-,7.5,1.5,30/3/10,7/4/10,14/5/10,,,,,,,,,
CTI Logistics,ordinary,CLX,I,3,-,3,100,4,4,-,3,12/4/10,16/4/10,3/5/10,,,,,,,,,
David Jones Ltd,ordinary,DJS,I,12,-,12,100,3,-,11,-,29/3/10,6/4/10,3/5/10,,,,,,,,,
Diploma Grp Ltd,ordinary,DGX,I,1,-,1,100,3,-,-,2,12/3/10,18/3/10,30/4/10,,,,,,,,,
Empired Ltd,ordinary,EPD,I,0.25,-,0.25,100,-,-,-,0.5,25/3/10,31/3/10,30/4/10,,,,,,,,,
Envestra Ltd,ordinary,ENV,I,2.75,-,2.75,54.6,3,-,4.5,2.75,15/3/10,19/3/10,30/4/10,,,,,,,,,
FFI Hldgs,ordinary,FFI,I,10,-,10,100,3,-,-,11,15/4/10,21/4/10,28/4/10,,,,,,,,,
Fairfax Media Ltd,pref.stapled,FXJPB,F,290.1,-,519.56,-,-,-,481.38,335.8,16/4/10,22/4/10,30/4/10,,,,,,,,,
Guinness Peat Grp,chess depositary int,GPG,F,1.66,-,1.66,-,-,3,-,2.1,5/3/10,12/3/10,17/5/10,,,,,,,,,
Harvey Norman,ordinary,HVN,I,7,-,7,100,-,-,-,7,12/4/10,16/4/10,3/5/10,,,,,,,,,
Hastings Diversified,stapled security,HDF,Q3,3,-,9,-,3,-,17,3,25/3/10,31/3/10,30/4/10,,,,,,,,,
Hastings High Yield,ordinary units,HHY,Q3,3.7,-,10.9,-,3,-,14.2,4.1,25/3/10,31/3/10,10/5/10,,,,,,,,,
Henderson Grp,cdi 1:1,HGG,F,-,-,3.6025,-,-,-,-,8.5539,3/5/10,7/5/10,28/5/10,,,,,,,,,
IDT Aust Ltd,ordinary,IDT,I,1,-,1,100,-,-,-,6.5,12/4/10,16/4/10,30/4/10,,,,,,,,,
ING Industrial Fund,units,IIF,Q3,0.8025,-,0.8025,-,4,-,4.5,4.3,25/3/10,31/3/10,30/4/10,,,,,,,,,
ING Office Fund,stapled securities,IOF,Q3,0.975,-,2.925,-,4,-,5.4,2.125,25/3/10,31/3/10,30/4/10,,,,,,,,,
Kresta Hldgs,ordinary,KRS,I,2,-,2,100,-,-,-,1,27/4/10,3/5/10,14/5/10,,,,,,,,,
Ludowici Ltd,ordinary,LDW,F,6,-,12,-,3,-,6,-,20/4/10,27/4/10,7/5/10,,,,,,,,,
Matrix C & E Ltd,ordinary,MCE,I,2,-,2,100,-,-,-,-,8/4/10,14/4/10,28/4/10,,,,,,,,,
Mesbon China Nylon,ordinary,MES,F,0.5,-,0.5,-,3,-,2,-,30/3/10,7/4/10,12/5/10,,,,,,,,,
Mirvac Grp,stapled securities,MGR,Q3,2,-,6,-,4,-,13.225,0.2,25/3/10,31/3/10,30/4/10,,,,,,,,,
Money3 Corp,ordinary,MNY,I,1.6,-,1.6,100,3,-,1.5,-,22/3/10,26/3/10,30/4/10,,,,,,,,,
Multiplex European,units,MUE,Q3,-,0.625,-,-,-,-,-,-,25/3/10,31/3/10,30/4/10,,,,,,,,,
Myer Hldgs Ltd,ordinary,MYR,I,10.5,-,10.5,100,-,-,-,-,19/3/10,25/3/10,6/5/10,,,,,,,,,
NEW Hope Corp,ordinary,NHC,I,5,-,5,100,-,-,4.75,-,13/4/10,19/4/10,5/5/10,,,,,,,,,
Noni B Ltd,ordinary,NBL,I,6,-,6,100,-,-,-,10,8/4/10,14/4/10,28/4/10,,,,,,,,,
OM Hldgs Ltd,ordinary,OMH,F,2,-,2,-,-,-,3.5,-,23/4/10,30/4/10,28/5/10,,,,,,,,,
Orica Ltd,step up preference,ORIPB,I,288,-,288,-,-,-,-,470,10/5/10,14/5/10,31/5/10,,,,,,,,,
Preferred Capital,perls iii,PCAPA,F,-,-,487.82,-,-,-,310.88,145.32,23/6/10,29/6/10,6/7/10,,,,,,,,,
Prime Infr Grp,stapled securities,PIH,F,7.5,-,7.5,-,-,-,-,-,23/4/10,30/4/10,31/5/10,,,,,,,,,
Scott Corp,ordinary,SCC,I,2,-,2,100,3,-,-,1,1/4/10,9/4/10,30/4/10,,,,,,,,,
Slater & Gordon,ordinary,SGH,I,2,-,2,100,-,-,-,3,19/2/10,25/2/10,28/4/10,,,,,,,,,
Snowball Grp,ordinary,SNO,I,1.25,-,1.25,100,-,-,-,2.5,25/3/10,31/3/10,30/4/10,,,,,,,,,
Soul Pattinson (W H),ordinary,SOL,I,14,-,14,100,-,-,13,-,16/4/10,22/4/10,13/5/10,,,,,,,,,
SPDR S&P/ASX Prop Fd,etf units,SLF,Q3,22.1381,-,39.8844,-,4,-,47.6317,11.0063,31/3/10,8/4/10,7/6/10,,,,,,,,,
Spotless Grp Ltd,ordinary,SPT,I,5,-,5,60,3,-,-,10.5,22/3/10,26/3/10,30/4/10,,,,,,,,,
Steamships Trading,ordinary,SST,F,-,-,24.0568,-,-,-,25.682,36.7597,5/5/10,11/5/10,25/5/10,,,,,,,,,
STW Communications,ordinary,SGN,F,2,-,3.5,100,4,-,4.8,-,21/4/10,28/4/10,12/5/10,,,,,,,,,
Suncorp-Metway,pref shares,SUNPB,F,134.62,-,494.28,100,-,-,-,108.78,24/5/10,28/5/10,15/6/10,,,,,,,,,
Sylvastate Ltd,ordinary,SYL,I,10.5,-,10.5,100,3,-,10.5,-,9/4/10,13/4/10,28/4/10,,,,,,,,,
Tamawood Ltd,ordinary,TWD,I,8,-,8,100,4,-,8,-,14/4/10,20/4/10,18/5/10,,,,,,,,,
TFS Corp Ltd,ordinary,TFC,I,1.25,-,1.25,100,3,-,1.25,-,31/5/10,4/6/10,18/6/10,,,,,,,,,
TPG Telecom Ltd,ordinary,TPM,I,2,-,2,100,3,-,-,-,19/4/10,23/4/10,27/5/10,,,,,,,,,
Transpacific SPS,non-cum setup pref.,TPAPA,F,-,-,254,-,-,-,-,231,24/9/10,30/9/10,15/10/10,,,,,,,,,
United Overseas Aust,ordinary,UOS,F,1.5,-,2,-,3,-,0.2,1,3/5/10,7/5/10,31/5/10,,,,,,,,,
Vealls Ltd,income,VELIN,I,4.9,-,4.9,100,-,-,-,4.7,9/4/10,15/4/10,30/4/10,,,,,,,,,
Vealls Ltd,7.0% cum. preference,VELPA,I,0.35,-,0.35,100,-,-,-,0.35,9/4/10,15/4/10,30/4/10,,,,,,,,,
Waterco Ltd,ordinary,WAT,I,3,-,3,100,3,-,2,-,3/5/10,7/5/10,4/6/10,,,,,,,,,
Westpac Banking,preferred,WBCPA,F,-,118.99,-,-,-,-,165.15,-,17/6/10,23/6/10,30/6/10,,,,,,,,,
Westpac Banking,preferred ii,WBCPB,F,-,143.43,-,-,-,-,-,-,17/6/10,23/6/10,30/6/10,,,,,,,,,
Westpac Office Tr,units,WOT,Q3,1.6625,-,4.9875,-,-,-,-,-,25/3/10,31/3/10,17/5/10,,,,,,,,,
Westpac Office Tr,instalment receipts,WOTCA,Q3,0.85,-,2.55,-,-,-,1.85,0.85,25/3/10,31/3/10,17/5/10,,,,,,,,,
Westpac TPS Tr,float.rate.cvn.pref.,WCTPA,F,-,94.56,238.41,-,-,-,239.14,71.79,8/6/10,15/6/10,30/6/10,,,,,,,,,
WHK Grp Ltd,ordinary,WHG,I,2,-,2,100,3,-,1.5,-,26/3/10,1/4/10,5/5/10,,,,,,,,,
Wilson HTM Invest,ordinary,WIG,I,3,-,3,100,-,-,-,4,12/4/10,16/4/10,30/4/10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
