ASX Industrials Market - Weekly
"Trading data for the week ending Friday, September 18, 2015"
"XAO 5194.3 at 2015-09-18T17:03:05. Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:09 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ABVO,-,9.576,4.178,-,-,-,-,-,-,-,-,,  opt aug16,-,.003,-,.003,.004,.003,.003,-1.92,.005,.002,
ASW,10.000,1.085,.877,.029,.15,4.47,3.50,19.1,3.70,.95,5.52,f,Advanced Share Reg,-,.67,-1,.64,.67,.67,.64,-3.39,.75,.575,
AER,30.000,5.456,-,.003,-,-,-,-,-,-,-,,Aeeris,-,.15,-.5,.14,.155,.155,.15,-5.15,.25,.125,
AEI,10.500,19.896,2.020,.064,.04,10.50,-1.55,-,-,-,-,,Aeris Environmental,-,.42,-,.41,.44,.44,.42,-1.92,.60,.15,
AFJ,6440.17,281.428,90.517,.207,-.15,-,.49,182.7,-,-,-,,Affinity Education,-,.895,+4,.895,.90,.90,.855,+2.76,1.480,.49,
AFT,-,6.772,8.021,.009,-,-,-.02,-,-,-,-,,AFT Corp,-,.001,-,-,.001,.001,.001,-1.92,.001,.001,
AHA,3236.68,42.376,23.571,-,.01,.30,-.36,-,-,-,-,,AG Financial,-,.003,-.2,.003,.004,.005,.003,-41.92,.063,.003,
AGX,40.000,22.000,50.266,.002,.01,1.30,-.80,-,-,-,-,,Agenix,-,.013,-,.011,.014,.013,.013,-1.92,.022,.01,
AGL,7748.73,331.998,278.914,11.038,8.22,1.99,33.30,49.1,64.00,.52,3.91,f,AGL Energy,-,16.36,+26,16.19,16.47,16.50,15.83,-.31,17.25,12.55,
AGJ,-,1.760,2.011,.008,.10,.82,3.67,2.2,.52,7.06,6.34,,Agricultural Land,-,.082,-,.082,.10,.082,.082,-1.92,.10,.076,
AHL,369.601,44.198,41.177,.053,-,-,-.70,-,-,-,-,,Ahalife Hldgs,X,.38,-,.35,.41,.42,.38,-1.92,.49,.015,
APW,518.753,45.757,132.455,.057,.19,.66,3.11,4.0,.40,7.77,3.20,,AIMS Prop Sec Fund,-,.125,-,.125,.13,.125,.125,-1.92,.15,.11,
AGI,5667.91,146.860,92.706,.919,.78,3.65,22.00,13.0,10.00,2.20,3.51,f,Ainsworth Game Tech,-,2.85,+9,2.84,2.97,2.93,2.74,+1.34,3.29,2.03,
AIZ,41.541,5.104,12.152,2.479,1.47,1.50,25.85,8.5,14.80,1.75,6.70,,Air New Zealand,-,2.21,-1,2.00,2.22,2.22,2.09,-2.37,2.90,1.595,
AXP,257.738,15.194,-,.161,.14,5.54,-2.91,-,-,-,-,,"Airxpanders,",-,.775,+2.5,.77,.775,.775,.74,+1.41,.87,.48,
AJL,62.312,17.049,14.133,.088,.30,1.10,-16.90,-,-,-,-,,AJ Lucas Grp,-,.33,-1,.31,.345,.345,.33,-4.86,.875,.215,
ACL,367.904,209.262,72.868,.012,.03,1.20,-4.87,-,-,-,-,,Alchemia,-,.036,-.1,.036,.037,.036,.036,-4.63,.675,.03,
AAI,-,.396,.029,.136,-,-,-246.13,-,10.47,-,.81,,Alcoa Inc,-,13.00,-,13.05,14.16,13.00,13.00,-1.92,26.86,12.70,
LEP,182.715,18.220,14.941,.715,2.27,1.61,50.77,7.2,16.85,3.01,4.62,,ALE Prop Grp,-,3.65,+9,3.61,3.65,3.66,3.52,+.61,3.94,3.07,
AJX,6465.67,308.606,60.191,.273,.04,25.25,-5.78,-,-,-,-,,Alexium Int'l,-,1.01,+11.5,1.005,1.015,1.02,.885,+10.93,1.11,.14,
AEB,-,19.926,23.346,.010,.01,3.00,-.88,-,-,-,-,,Algae.Tec,-,.03,-,.036,.04,.03,.03,-1.92,.094,.03,
AMT,-,.537,.398,.016,.06,4.17,-1.49,-,-,-,-,,Allegra Orthopaedics,-,.25,-,.06,.235,.25,.25,-1.92,.325,.05,
AQZ,18.279,26.372,20.617,.053,.99,.51,-34.41,-,2.10,-,4.20,f,Alliance Aviation,-,.50,+2,.45,.485,.50,.48,+2.24,1.385,.36,
ALQ,6470.30,443.037,275.571,2.012,.05,98.80,-43.37,-,21.00,-,4.25,p,ALS,-,4.94,-6,4.80,5.08,5.10,4.86,-3.12,6.68,4.33,
AIQ,83.000,35.393,11.890,.014,.14,.79,1.59,6.9,-,-,-,,Alternative Invest,-,.11,+.5,.11,.115,.11,.105,+2.84,.125,.10,
ALU,4951.61,85.076,43.034,.568,.40,10.90,97.45,4.5,16.00,6.09,3.67,,Altium,-,4.36,-5,4.35,4.58,4.64,4.30,-3.06,5.31,2.62,
AMA,7129.09,118.045,78.109,.393,-,-,2.72,35.3,1.70,1.60,1.77,f,AMA Grp,-,.96,+23.7,.95,.96,.96,.805,+30.86,.96,.28,
AHD,1987.23,15.844,11.703,2.099,5.44,2.44,68.90,19.2,45.00,1.53,3.40,f,Amalgamated Hldgs,-,13.25,+64,12.60,13.25,13.31,12.33,+3.15,13.39,9.31,
AYS,970.721,35.475,-,.412,-,-,-,-,-,-,-,,Amaysim Au,-,2.34,+12,2.31,2.34,2.40,2.20,+3.48,2.40,1.75,
AMO,6.500,2.027,2.422,.003,.31,.35,-5.40,-,-,-,-,,Ambertech,-,.11,-2.5,.11,.18,.135,.11,-20.44,.20,.11,
AMB,50.000,3.718,5.196,.011,.19,.87,2.20,7.5,-,-,-,,Ambition Grp,-,.165,-,.165,.185,.165,.165,-1.92,.17,.10,
AKY,-,.007,.025,.015,19.35,.99,194.00,9.9,190.00,1.02,9.92,,AMCB Fund No 5,-,19.15,-,-,19.15,18.95,18.95,-1.92,24.959,18.258,
AMH,38.700,9.966,12.765,.208,.91,.93,2.93,28.8,4.00,.73,4.73,f,AMCIL,-,.845,+1.5,.84,.845,.845,.83,-.12,.955,.79,
AMC,13971.3,703.283,647.426,15.386,-.51,-,73.70,17.7,52.95,1.39,4.05,,Amcor,-,13.06,-11,13.05,13.30,13.24,12.82,-2.76,14.93,10.83,
AOW,104.321,14.932,9.585,.010,-,-,-1.23,-,-,-,-,,American Patriot Oil,-,.14,-.5,.12,.14,.14,.14,-5.37,.205,.11,
AOWO,8.792,1.709,-,-,-,-,-,-,-,-,-,,  opt oct16,-,.002,-.8,.002,-,.01,.002,-81.92,.06,.002,
AMP,43770.9,1401.38,1542.05,17.125,1.50,3.86,34.60,16.7,27.50,1.26,4.75,p,AMP,-,5.79,+4,5.78,5.80,5.86,5.65,-1.23,6.83,5.02,
AGF,6727.22,216.529,73.235,.462,1.76,.68,112.82,1.1,2.92,38.64,2.44,,AMP Capital China,-,1.195,-1.5,1.19,1.205,1.215,1.17,-3.16,1.875,.755,
AYK,.686,.020,.052,.064,85.17,.76,293.00,22.1,283.00,1.04,4.38,f,Aust Masters YF4,-,64.62,-1,64.62,-,64.63,64.59,-1.94,85.03,64.48,
AYD,.720,.014,.035,.056,61.46,1.01,369.00,16.8,344.00,1.07,5.56,f,Aust Masters YF1,-,61.82,-22,61.82,-,62.04,61.78,-2.28,79.918,61.62,
AYJ,.590,.013,.039,.073,74.35,1.01,379.00,19.8,442.00,.86,5.89,f,Aust Masters YF3,-,75.10,+10,75.10,-,75.10,75.00,-1.79,76.347,73.563,
AYH,.615,.010,.017,.034,80.02,1.01,378.00,21.3,352.00,1.07,4.36,f,Aust Masters YF2,-,80.65,-12,80.68,80.65,80.77,80.62,-2.07,90.726,79.745,
ANQ,3180.03,432.428,1194.39,.005,-,-,-.30,-,-,-,-,,AnaeCo,-,.002,-,.002,.003,.003,.002,-1.92,.007,.001,
ALT,1933.71,264.381,319.443,.008,-,-,-.59,-,-,-,-,,Analytica,-,.006,-.1,.006,.007,.007,.006,-16.21,.039,.005,
ALTO,1307.23,11.343,-,-,-,-,-,-,-,-,-,,  opt feb16,-,.001,-,.001,.002,.001,.001,-1.92,.001,.001,
ALTOA,1568.90,10.618,-,-,-,-,-,-,-,-,-,,  opt feb18,-,.002,-,.002,.003,.002,.002,-1.92,.002,.002,
ANR,324.318,10.055,-,.029,.15,5.20,-5.32,-,-,-,-,,Anatara Lifesciences,-,.78,-,.76,.78,.88,.76,-1.92,1.00,.28,
AB1,14.519,10.289,59.088,.011,.03,6.17,-12.45,-,-,-,-,,Animoca Brands,X,.185,-,.18,.19,.19,.185,-1.92,.28,.013,
ANN,4541.95,134.642,93.985,3.051,.30,66.13,159.51,12.4,56.86,2.81,2.87,,Ansell,-,19.84,-98,19.80,20.00,21.35,19.84,-6.63,30.40,18.11,
ANO,-,73.828,185.122,.018,.01,3.10,.03,103.3,-,-,-,,Antaria,-,.031,-,.031,.033,.031,.031,-1.92,.044,.017,
ADO,5288.83,239.718,595.047,.085,.01,9.90,-.50,-,-,-,-,,Anteo Diagnostics,-,.099,+.3,.098,.10,.105,.097,+1.20,.165,.069,
ANP,151.321,35.301,59.420,.015,.04,2.15,.45,19.1,-,-,-,,Antisense Therapeut,-,.086,+1,.086,.088,.088,.08,+11.24,.17,.075,
ANPO,18.334,3.556,13.164,-,-,-,-,-,-,-,-,,  opt jan17,-,.02,-.1,.02,.025,.021,.02,-6.68,.06,.02,
ANZ,36474.4,1157.49,898.970,82.437,15.75,1.80,270.70,10.5,181.00,1.50,6.37,f,ANZ Banking Grp,-,28.40,+88,28.38,28.45,28.60,27.11,+1.27,37.25,26.41,
ZYAU,4.585,.084,-,-,-,-,-,-,-,-,-,,ANZ ETFS ASX300 Yld,-,9.41,-7,9.25,9.54,9.41,9.30,-2.66,10.30,9.24,
ZGOL,1.000,.011,-,-,-,-,-,-,-,-,-,,ANZ ETFS Physical Gold,-,15.49,-25,13.50,15.69,15.49,15.49,-3.51,16.13,14.74,
ZCNH,-,.026,-,.001,-,-,-,-,-,-,-,,ANZ ETFS Renminbi,-,10.61,-,10.06,11.48,10.61,10.61,-1.92,10.61,9.88,
ZYUS,9.124,.437,-,.003,-,-,-,-,-,-,-,,ANZ ETFS S&P 500 Yld,-,10.78,+6,10.70,10.90,10.78,10.63,-1.36,11.02,9.92,
ZUSD,-,.046,-,.001,-,-,-,-,-,-,-,,ANZ ETFS USD,-,10.85,-,10.61,10.64,10.85,10.85,-1.92,11.06,9.95,
ZOZI,.100,.031,-,.002,-,-,-,-,-,-,-,,ANZ ETFS ASX 100,-,9.47,-20,9.57,9.66,9.67,9.47,-3.99,10.26,9.45,
APE,432.867,12.417,8.410,1.901,2.61,3.96,48.80,21.2,30.00,1.63,2.90,f,AP Eagers,-,10.33,-29,10.08,10.33,10.57,9.90,-4.65,10.89,5.20,
APA,10851.1,467.681,358.433,9.394,-.28,-,56.30,15.0,38.00,1.48,4.51,,APA Grp,-,8.43,+29,8.40,8.46,8.49,8.18,+1.64,9.88,6.834,
APN,8038.31,821.386,398.524,.556,-.29,-,-.53,-,-,-,-,,APN News & Media,-,.54,+3.5,.53,.55,.555,.49,+5.01,1.08,.47,
APO,1787.30,56.890,-,.601,.09,40.11,7.73,46.7,4.50,1.72,1.25,f,APN Outdoor Grp,-,3.61,-5,3.55,3.69,3.72,3.54,-3.29,3.80,2.42,
APD,352.000,30.292,21.113,.109,.29,1.24,5.71,6.3,1.50,3.81,4.17,f,APN Prop Grp,-,.36,+.5,.36,.365,.36,.35,-.51,.43,.306,
APX,493.191,26.762,-,.096,.13,7.69,2.81,35.6,1.20,2.34,1.20,f,Appen,-,1.00,+3,.99,1.00,1.065,.97,+1.17,1.065,.48,
ALA,51.728,26.028,91.239,.004,-,-,-6.95,-,-,-,-,,Applabs Tech,-,.09,-,.081,.09,.09,.09,-1.92,.225,.088,
ALAO,60.000,20.052,16.011,-,-,-,-,-,-,-,-,,  opt may16,-,.009,+.1,.008,.01,.009,.008,+10.58,.06,.007,
AQU,-,.622,.555,.009,-,-,1.58,6.3,-,-,-,,Aquaint Capital,-,.10,-,-,-,.10,.10,-1.92,.485,.08,
ARB,638.131,30.969,25.122,1.080,2.61,5.23,57.80,23.6,29.00,1.99,2.13,f,ARB Corp,-,13.64,+38,13.30,13.95,13.86,13.14,+.94,14.49,10.49,
AAD,8879.49,449.753,255.727,1.179,.76,3.46,7.38,35.6,12.50,.59,4.75,,Ardent Leisure Grp,-,2.63,+22,2.62,2.64,2.67,2.40,+7.21,3.49,1.75,
ARF,3417.50,88.157,28.236,.373,1.33,1.23,28.14,5.8,10.23,2.75,6.28,,Arena REIT,X,1.63,+4.5,1.57,1.635,1.63,1.55,+.92,1.90,1.315,
ALI,305.009,7.834,-,.279,-,-,-,-,-,-,-,,Argo Global,-,1.95,-4,1.95,1.985,1.995,1.95,-3.93,2.03,1.85,
ALIO,170.750,7.579,-,.009,-,-,-,-,-,-,-,,  opt mar17,-,.06,-.2,.06,.068,.063,.059,-5.15,.083,.027,
ARG,499.175,29.120,29.369,5.226,7.13,1.10,34.30,22.8,29.50,1.16,3.78,f,Argo Invest,-,7.81,+13,7.78,7.84,7.85,7.59,-.23,8.50,7.35,
ARA,2.600,2.617,5.797,.077,-,-,-1.77,-,1.00,-,2.63,p,Ariadne Aust,-,.38,+1,.35,.38,.38,.37,+.78,.415,.35,
ALL,9080.13,487.412,358.946,5.343,1.62,5.20,-1.01,-,16.00,-,1.90,,Aristocrat Leisure,-,8.43,+19,8.40,8.60,8.57,8.13,+.38,9.00,5.69,
AIK,479.639,44.131,29.048,.042,.14,.75,2.73,3.8,-,-,-,,Armidale Invest,-,.105,-1.5,.105,.115,.125,.105,-14.42,.13,.089,
AWQ,22.000,1.185,-,.048,-,-,-,-,-,-,-,,Arowana Aust Fund,-,1.00,-1,1.00,1.03,1.03,.99,-2.91,1.03,.90,
AWQO,18.000,.351,-,.001,-,-,-,-,-,-,-,,  opt jun16,-,.03,-,.03,.05,.03,.03,-1.92,.055,.015,
AWN,34.100,4.644,11.078,.093,.77,.77,-4.04,-,3.00,-,5.08,,Arowana Internat,-,.59,-2,.40,.59,.61,.58,-5.20,1.02,.58,
ARI,61227.9,2887.23,2104.43,.250,.27,.31,-75.31,-,3.00,-,35.29,,Arrium,-,.085,-1.3,.085,.088,.098,.085,-15.19,.405,.085,
AJR,17682.3,342.361,139.153,.001,-,-,-.09,-,-,-,-,,Arunta Resources,-,.001,-,.001,.002,.001,.001,-1.92,.003,.001,
AJRO,-,26.744,-,-,-,-,-,-,-,-,-,,  opt jul19,-,.001,-,-,.001,.001,.001,-1.92,.001,.001,
AHY,12949.4,289.086,219.633,1.056,.31,5.65,5.40,32.4,9.40,.57,5.37,,Asaleo Care,-,1.75,-1.5,1.74,1.77,1.80,1.745,-2.77,2.08,1.45,
AIO,23065.0,766.583,690.613,8.242,.93,9.09,26.10,32.4,16.75,1.56,1.98,f,Asciano,-,8.45,+22,8.44,8.50,8.53,8.16,+.75,8.75,5.48,
AFA,50.000,6.091,2.694,.205,.02,17.00,-2.50,-,-,-,-,,ASF Grp,-,.34,+5,.215,.33,.34,.265,+15.32,.355,.15,
ASZ,1281.11,73.761,76.797,.201,-,-,4.61,21.0,-,-,-,f,ASG Grp,-,.97,+10.5,.93,.97,.975,.865,+10.22,1.10,.60,
ASH,134.913,70.167,12.949,.075,.19,2.63,9.66,5.2,6.40,1.51,12.80,f,Ashley Services Grp,-,.50,-,.495,.54,.51,.485,-1.92,1.85,.45,
DIG,-,2.159,71.827,.032,-.01,-,-9.22,-,-,-,-,,Asia Pac Digital,X,.34,-,.325,.38,.34,.34,-1.92,.45,.25,
AJD,102.538,18.259,42.389,.147,1.24,1.03,22.75,5.6,4.60,4.95,3.61,,Asia Pacific Data,-,1.275,+.5,1.265,1.27,1.28,1.265,-1.53,1.32,1.06,
AJJ,-,6.469,4.667,.020,.02,4.25,-.25,-,-,-,-,,Asian American Med,-,.085,-,.085,.125,.085,.085,-1.92,.125,.075,
AUF,59.176,4.416,8.269,.164,1.33,.99,.24,550.0,2.10,.11,1.59,,Asian Masters Fund,-,1.32,+1,1.32,1.40,1.32,1.31,-1.16,1.53,1.02,
AKF,-,16.042,15.503,.005,-,-,-.77,-,-,-,-,f,ASK Funding,-,.079,-,.051,.075,.079,.079,-1.92,.115,.066,
APZ,3368.09,24.021,24.530,.158,-,-,-20.40,-,9.00,-,6.43,,Aspen Grp,-,1.40,+17.5,1.38,1.40,1.40,1.35,+12.36,1.40,1.17,
ASP,-,.816,.493,.007,-.03,-,-1.98,-,-,-,-,,Aspermont,-,.01,-,.01,.02,.01,.01,-1.92,.03,.01,
AIR,-,.590,.972,.004,.12,1.00,-5.12,-,-,-,-,,Astivita,-,.12,-,.105,.11,.12,.12,-1.92,.135,.071,
AJA,289.116,20.818,17.941,.311,6.44,.80,64.68,7.9,28.50,2.27,5.57,,Astro Japan Prop,-,5.12,+8,5.08,5.21,5.21,5.02,-.34,5.34,4.18,
ATR,85.000,.489,1.182,.022,.39,.46,6.52,2.8,-,-,-,,Astron Corp,-,.18,-,.16,.18,.18,.18,-1.92,.32,.15,
ASX,2114.80,105.134,89.599,7.496,6.97,5.56,205.70,18.8,187.40,1.10,4.84,f,ASX,-,38.72,+62,38.60,38.99,39.01,37.68,-.30,45.37,34.07,
ACG,1276.72,80.662,57.304,.051,.02,12.75,-.90,-,-,-,-,,Atcor Medical,-,.255,+1,.25,.255,.27,.245,+2.16,.274,.081,
ATP,690.074,15.490,40.588,.014,5.60,.01,-2.40,-,-,-,-,,Atlas Pearls,-,.034,-.3,.031,.034,.035,.03,-10.03,.125,.03,
AIA,868.458,20.148,12.864,5.262,2.27,1.95,16.63,26.6,13.53,1.23,3.06,,Auckland Airport,-,4.42,+16,4.42,4.45,4.46,4.25,+1.83,4.97,3.34,
AKP,15.985,1.347,1.834,.208,-.01,-,-2.94,-,-,-,-,,Audio Pixels,-,8.10,+30,8.10,8.40,8.12,7.80,+1.92,14.30,6.65,
AZJ,22355.0,1346.88,1042.71,10.971,3.00,1.72,28.40,18.2,24.00,1.18,4.64,p,Aurizon Hldgs,-,5.17,+18,5.06,5.21,5.215,4.98,+1.68,5.605,4.15,
AUP,6.300,.284,.192,.011,5.40,.99,-,-,43.51,-,8.13,,Aurora Prop,-,5.35,-3,5.37,5.48,5.42,5.35,-2.48,5.62,5.09,
ABW,118.320,12.430,15.320,.029,.99,.99,-1.55,-,5.72,-,5.81,,Aurora Absolute Ret,-,.985,+.5,.98,.985,.985,.98,-1.41,1.045,.95,
AOD,222.381,10.514,8.114,.025,.82,.98,-7.66,-,5.03,-,6.25,,Aurora Div Inc Tr,-,.805,+1,.78,.81,.805,.795,-.66,.975,.785,
AIB,20.000,.892,1.609,.006,.86,1.00,5.02,17.1,6.51,.77,7.57,,Aurora Global Inc Tr,-,.86,+2,.86,1.43,.86,.85,+.46,.89,.803,
AHF,806.664,46.196,6.151,.026,.16,1.03,-3.02,-,-,-,-,,Aust Dairy Farms,X,.165,+1,.165,.17,.175,.155,+4.53,.38,.04,
AQF,3.393,1.900,2.544,.056,1.74,1.02,8.10,22.0,6.00,1.35,3.37,f,Aust Gov Index Fund,-,1.78,-1,1.76,1.80,1.79,1.78,-2.48,2.10,1.70,
ANB,144.161,1.242,.391,.008,.11,.36,-2.86,-,-,-,-,,Aust New Agri,-,.04,+.5,.05,.07,.045,.04,+12.36,.18,.035,
ASL,4746.19,142.036,276.190,.097,1.77,.18,-56.24,-,3.00,-,9.68,f,Ausdrill,-,.31,+7,.28,.315,.315,.235,+27.24,1.035,.18,
AAX,264.606,29.189,63.334,.059,.13,2.42,-26.10,-,-,-,-,,Ausenco,-,.315,+.5,.315,.33,.34,.315,-.31,.58,.17,
AST,22282.1,891.434,873.127,4.754,.82,1.65,.66,205.3,8.36,.08,6.17,p,AusNet Services,X,1.355,+9.5,1.35,1.365,1.37,1.28,+5.62,1.545,1.222,
AAP,-,29.436,12.138,.002,.03,.47,.37,3.8,-,-,-,,Aust Agricultural,-,.014,-,.012,.014,.014,.014,-1.92,.015,.007,
AAC,3837.74,256.923,72.260,.679,1.43,.89,1.80,70.8,-,-,-,,Aust Agriculture,-,1.275,-1,1.255,1.285,1.32,1.26,-2.70,1.69,1.20,
ACO,1427.66,24.868,-,.221,.35,7.54,23.61,11.2,13.00,1.82,4.92,f,Aust Careers Network,-,2.64,-16,2.62,2.64,2.90,2.53,-7.64,3.20,1.235,
AAK,-,42.850,197.236,.004,.02,.05,-,-,-,-,-,,Aust China Hldgs,-,.001,-,.001,.001,.001,.001,-1.92,.002,.001,
AYF,-,.518,.283,.017,6.20,.96,-7.12,-,40.00,-,6.72,p,Aust Enhanced,-,5.95,-,6.05,6.10,5.95,5.95,-1.92,6.60,5.80,
AEF,2.106,.072,.057,.066,9.80,6.17,190.00,31.8,200.00,.95,3.31,f,Aust Ethical,-,60.50,+449,60.50,65.00,60.51,56.50,+6.09,65.00,36.90,
AFG,2407.54,27.696,-,.213,-,-,-,-,-,-,-,,Aust Finance Grp,-,.99,-3.5,.99,1.02,1.04,.97,-5.34,1.21,.97,
AFI,1478.73,59.561,47.863,6.419,5.48,1.07,27.23,21.5,23.00,1.18,3.93,f,Aust Foundation,-,5.85,-2,5.85,5.93,5.96,5.80,-2.26,6.45,5.72,
ANI,264.940,25.400,32.433,.218,2.13,1.06,37.73,6.0,18.20,2.07,8.05,,Australian Ind Reit,-,2.26,-1,2.25,2.28,2.31,2.23,-2.36,2.55,2.00,
ALF,1011.19,59.637,65.560,.367,1.36,1.05,-2.45,-,10.00,-,6.99,f,Aust Leaders Fund,-,1.43,+3,1.43,1.435,1.43,1.39,+.22,1.695,1.075,
API,2270.32,172.691,73.452,.781,.64,2.50,6.80,23.5,4.00,1.70,2.50,f,Aust Pharmaceutical,-,1.60,-.5,1.60,1.62,1.62,1.465,-2.23,1.905,.655,
AYB,-,9.767,2.261,.003,-,-,-1.89,-,-,-,-,,Aust Proteins,-,.02,-,.005,.022,.02,.02,-1.92,.034,.004,
ARC,-,.474,1.143,.005,.43,1.29,-8.60,-,-,-,-,,Aust Rural Capital,-,.555,-,.485,.495,.555,.555,-1.92,.575,.49,
