Advance Defensive Multi-Blend W,1.0981,1.0959,6.10,6.00,***,,
BT Investor Choice Mod Gr,1.0732,1.0707,7.37,6.55,**,,
CFS FC W Inv-FirstChoice W Conservative,1.0598,1.0566,7.91,7.11,****,,
IOOF MultiMix Conservative Trust,1.0186,1.0160,8.45,7.64,****,,
ipac Pathways 30,0.9643,0.9607,8.48,7.92,****,,
North Index Defensive,0.9715,0.9694,8.38,7.85,****,,
Perpetual Wholesale Conservative Growth,1.1471,1.1441,8.67,8.89,*****,,
Russell Conservative A,0.9404,0.9371,8.44,7.81,****,,
Hedge Funds - Australia,,
BT Australian Long Short WS,0.8876,0.8814,16.73,11.21,***,,
K2 Australian Absolute Return,191.2700,189.7500,12.49,8.80,***,,
Hedge Funds - Global,,
K2 Select International Absolute Return,149.4300,148.2300,7.72,7.43,***,,
UBS Dynamic Alpha Strategies Fund A,1.1515,1.1469,9.04,10.94,***,,
Winton Global Alpha,1.1474,1.1460,8.82,7.51,***,,
Commodities & Precious Metals,,
Credit Suisse Enhanced Commodity,0.2617,0.2617,12.38,2.19,NAv,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.3852,2.3591,5.75,10.12,****,,
Platinum Asia,2.8756,2.8612,17.43,12.17,****,,
Equity Australia Derivative Income,,
BT Balanced Equity Income,1.0071,1.0019,8.58,NAv,NAv,,
CFS FC W Inv-CFS W Equity Income,0.8028,0.7996,12.48,8.88,***,,
CFS FC W Inv-CFS W Equity Income,0.8028,0.7996,12.48,8.88,***,,
Merlon WS Australian Share Income,1.1307,1.1261,10.11,9.16,***,,
Zurich Investments Equity Income,0.7398,0.7376,12.68,7.76,***,,
Equity Australia Large Blend,,
Antares Prof High Growth Shares,1.1352,1.1318,13.89,9.24,****,,
BlackRock Australian Share,1.7938,1.7840,14.19,7.64,**,,
BlackRock Australian Share,1.7938,1.7840,14.19,7.64,**,,
BT Aus Share Retail,3.8295,3.8103,16.59,9.39,***,,
BT Core Aus Shr WS,2.2506,2.2394,17.63,10.40,****,,
BT Imputation Shr WS,2.0474,2.0372,15.31,9.21,****,,
BT Investor Choice Aus Tax Eff,1.9682,1.9582,15.69,9.73,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6465,1.6399,15.14,10.04,****,,
CFS FC W Inv-CFS W Imputation,2.5960,2.5856,16.58,10.50,****,,
CFS MIF-Imputation,3.7405,3.7256,15.57,9.56,***,,
CFS Wholesale Australian Share,2.1147,2.1063,18.60,11.32,****,,
Fiducian Australian Shares,1.5396,1.5304,17.63,8.24,**,,
IOOF MultiMix Australian Shares Trust,1.0381,1.0329,18.88,9.05,***,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.4424,2.4399,15.72,8.86,**,,
Pengana Australian Equities Class A,1.5902,1.5823,9.16,13.58,*****,,
Russell Australian Share A,1.5269,1.5193,17.87,9.83,***,,
UBS Australian Share,1.8213,1.8122,16.68,10.74,****,,
UCA Australian Equities Portfolio,13.0813,13.0031,13.53,7.70,**,,
UCA Growth Portfolio,4.4802,4.4533,15.21,8.23,***,,
Vanguard Index Australian Shares,2.0410,2.0358,16.42,9.20,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,4.0822,4.0478,32.26,14.99,****,,
CFS MIF-Geared Share,2.0063,1.9893,31.02,13.94,***,,
Perpetual Wholesale Geared Australian,3.9175,3.8882,38.47,22.38,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7566,1.7461,16.52,11.39,****,,
Ausbil Australian Active Equity,3.3944,3.3774,20.67,11.26,****,,
Greencape Wholesale High Conviction,1.3920,1.3836,18.41,11.23,****,,
Hyperion Australian Growth Companies,3.1176,3.0990,22.65,15.02,*****,,
Russell Aust Opportunities Class A,1.3774,1.3678,18.95,10.31,***,,
Equity Australia Large Value,,
Maple-Brown Abbott Imputation,1.2504,1.2504,15.11,10.02,**,,
Maple-Brown Abbott Imputation Wholesale,1.2601,1.2539,16.50,11.40,***,,
MLC UT/MKey InvSer Income Builder,2.7029,2.6948,14.94,14.01,***,,
Perennial Value Shares Wholesale Trust,1.2725,1.2649,19.38,9.71,***,,
Perpetual W Share Plus L/S,2.7051,2.6943,22.19,17.95,*****,,
Perpetual WFIA-Perpetual Indl Shr,2.4854,2.4780,17.70,16.19,****,,
Perpetual WFI-Perpetual Indl Shr,1.8675,1.8619,17.64,16.15,****,,
Perpetual Wholesale Australian,1.8074,1.8020,18.33,12.88,****,,
Perpetual Wholesale Concentrated Equity,1.8908,1.8851,19.19,14.54,****,,
Perpetual Wholesale Ethical SRI,1.9762,1.9702,18.46,19.19,*****,,
Perpetual Wholesale Industrial,1.6051,1.6003,18.80,17.31,****,,
Sandhurst BMF-Sandhurst Ind Share,1.9017,1.8923,13.31,15.48,****,,
Equity Australia Mid/Small Blend,,
BT Smaller Companies Retail,1.8130,1.8040,15.90,8.75,***,,
BT Smaller Companies W,2.4204,2.4083,16.60,9.43,****,,
Invesco W Aust Smaller Companies,2.6352,2.6168,13.75,4.33,***,,
Ironbark Karara Australian Small Comp,2.9106,2.8960,18.72,8.79,****,,
Pengana Emerging Companies,2.3902,2.3759,18.89,12.74,****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.0811,3.0627,27.44,7.49,***,,
Australian Ethical Smaller Companies,2.0417,2.0413,16.53,10.98,****,,
CFS Developing Companies,2.0083,2.0003,21.62,10.67,****,,
CFS Future Leaders,4.0686,4.0523,23.36,7.14,***,,
Eley Griffiths Group Small Companies,1.9737,1.9635,18.45,6.52,***,,
Fairview Equity Partners Emerging Co,1.9972,1.9854,17.72,6.63,****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.4066,1.3968,24.33,12.27,**,,
Perpetual WFIA-Perpetual Small Coms,2.6326,2.6248,24.68,9.42,**,,
Perpetual Wholesale Smaller Companies,1.2449,1.2412,25.59,10.21,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1823,1.1765,17.60,9.77,NAv,,
The Montgomery,1.3294,1.3227,11.60,NAv,NAv,,
The Montgomery,1.3294,1.3227,11.60,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4485,1.4412,13.10,15.48,*****,,
APN Property for Income,1.9230,1.9134,11.89,12.58,****,,
BT Property Securities W,0.6606,0.6573,10.07,14.62,****,,
CFS FC W Inv-CFS W Property Securities,0.7641,0.7611,10.13,14.35,***,,
Ironbark Paladin Property Securities,0.7094,0.7058,10.34,14.82,***,,
UBS Property Securities,0.8549,0.8489,11.52,16.53,***,,
UBS Property Securities,0.8549,0.8489,11.52,16.53,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.1661,2.1424,6.18,7.65,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7142,1.7023,12.67,14.77,*****,,
CFS Wholesale Global Emerging Market,1.5851,1.5740,9.57,12.17,****,,
Realindex Emerging Markets-Class A,0.9952,0.9912,12.57,2.54,**,,
Russell Emerging Markets Fund Class A,1.1238,1.1138,13.44,5.87,***,,
Russell Emerging Markets Fund Class A,1.1238,1.1138,13.44,5.87,***,,
Walter Scott Emerging Markets,1.1701,1.1636,4.55,5.64,****,,
Equity Europe,,
Platinum European,2.5376,2.5249,18.54,14.90,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8165,0.8107,15.31,13.73,***,,
BT Global Property Secs WS,1.0068,1.0042,15.10,11.98,****,,
Invesco WS Global Property Secs Hgd A,1.0752,1.0677,14.20,12.38,**,,
Ironbark Global (ex-Aus) Property Secs,0.7312,0.7268,14.83,11.10,***,,
Russell Intl Property Secs Hedged A,0.9458,0.9402,15.78,12.30,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.7355,1.7251,26.27,-6.51,NAv,,
Equity Greater China,,
Premium China,1.8234,1.8144,10.92,1.33,***,,
Premium China,1.8234,1.8144,10.92,1.33,***,,
Equity Japan,,
Platinum Japan,3.0206,3.0055,14.49,20.88,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1241,1.1195,30.37,17.13,*****,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8876,0.8840,21.86,16.00,*****,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8876,0.8840,21.86,16.00,*****,,
Russell International Shares Hedged A,0.7083,0.7045,22.06,14.00,**,,
Walter Scott Global Equity Hedged,1.0957,1.0910,18.00,13.72,**,,
Zurich Investments Hgd Gbl Thematic Shr,1.0882,1.0864,21.20,12.75,*,,
Equity World Large Blend,,
Arrowstreet Global Equity,0.9068,0.9040,25.94,18.75,*****,,
CFS Wholesale Indexed Global Share,1.9290,1.9232,20.10,16.48,***,,
Dexia Sustainable Global Equity,1.0510,1.0426,21.76,17.53,****,,
IFP Global Franchise,1.7795,1.7714,16.24,19.10,*****,,
Ironbark GTP Global Equity Thematic,1.5903,1.5839,21.08,12.53,***,,
Magellan Global,1.6274,1.6242,11.75,22.66,*****,,
MLC UT/MKey InvSer Platinum Global,2.0250,2.0250,20.93,14.65,****,,
Platinum International,1.9606,1.9508,17.35,14.67,****,,
Platinum International Brands,2.4806,2.4682,11.14,11.91,****,,
PM Capital Absolute Performance,1.7355,1.7269,12.51,19.38,**,,
Russell Global Opportunities A,1.1715,1.1645,16.35,13.40,**,,
Russell International Shares A,1.0673,1.0619,18.11,15.13,***,,
UBS International Share,1.1165,1.1110,21.04,16.91,***,,
Vanguard Index International Shares,1.1183,1.1154,19.68,16.20,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.6407,2.6275,16.48,14.92,****,,
Capital International Global Equity,1.1722,1.1698,17.69,15.77,***,,
Walter Scott Global Equity,1.5842,1.5790,14.20,15.04,***,,
Zurich Investments Gbl Thematic Shr,1.4701,1.4677,16.27,13.60,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5159,1.5135,17.38,14.71,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4077,1.4055,16.37,13.44,**,,
Equity World Large Value,,
Aberdeen International Equity,1.0979,1.0924,16.42,14.71,****,,
AMP Capital W Global Equity Value,0.9320,0.9282,23.61,14.79,***,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.1828,1.1780,19.47,17.56,****,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.1828,1.1780,19.47,17.56,****,,
Platinum Unhedged,1.4036,1.3965,22.23,16.03,****,,
Realindex Global Share-Class A,1.2681,1.2643,20.69,13.63,***,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,11.1621,21.37,16.54,***,,
Hunter Hall Value Growth Trust,2.7150,2.6988,19.54,8.45,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,0.9931,0.9881,23.99,16.11,****,,
CFS Wholesale Infrastructure Income,NAv,1.1198,10.35,7.94,*,,
Macquarie International Infra Ses,1.1273,1.1217,23.60,15.90,***,,
Magellan Infrastructure,1.0170,1.0140,22.02,15.61,****,,
RARE Infrastructure Value,1.2173,1.2118,18.50,13.03,***,,
RARE Infrastructure Value Unhedged,1.2637,1.2580,16.00,13.45,**,,
Australian Short Term Fixed Interest,,
BT Wholesale Enhanced Cash,1.0638,1.0630,3.54,4.65,****,,
IOOF MultiMix Cash Enhanced Trust,1.0043,1.0043,3.72,4.70,***,,
IOOF/Perennial Flex Cash & Income,1.0000,1.0000,1.87,2.83,*,,
Russell Aus Cash Enhanced Fund Class A,1.0365,1.0355,4.12,4.60,***,,
Russell Australian Cash A,1.0310,1.0310,2.31,3.17,**,,
TPS Cash Management,NAv,NAv,2.39,3.40,**,,
UCA Cash Portfolio,1.0000,1.0000,4.14,5.05,****,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1559,1.1547,6.18,6.76,****,,
Aberdeen Income Focused Bond,1.0663,1.0658,5.98,6.98,****,,
Aberdeen Income Focused Bond,1.0663,1.0658,5.98,6.98,****,,
BT Fixed Interest WS,1.1786,1.1771,5.94,6.80,***,,
Perennial Fixed Interest Wholesale,1.0538,1.0538,6.49,7.46,****,,
Perennial Tactical Income Trust,1.0743,1.0743,5.75,6.02,****,,
PIMCO EQT Wholesale Australian Bond,1.0024,1.0013,5.72,7.02,*****,,
PIMCO EQT Wholesale Australian Focus,1.0285,1.0274,4.05,5.40,**,,
Russell Australian Bond A,1.0542,1.0512,6.20,7.00,****,,
The Trust Company Bond,1.0336,1.0336,4.60,5.86,**,,
UBS Australian Bond,1.1012,1.1004,6.20,6.96,***,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0567,1.0545,7.71,7.92,*****,,
CFS Wholesale Global Corporate Bond,1.0359,1.0297,11.86,10.47,*****,,
PIMCO EQT Wholesale Global Bond,0.9925,0.9915,8.63,7.96,*****,,
Russell Global Bond B,1.0622,1.0570,18.50,NAv,NAv,,
Russell International Bond $A Hedged A,1.0411,1.0359,7.82,9.69,****,,
Bonds - Global / Australia,,
Macquarie Diversified Fixed Interest,1.0533,1.0517,5.02,6.14,***,,
PIMCO EQT WS Diversified Fixed Interest,0.9900,0.9890,7.16,7.46,****,,
UBS Diversified Fixed Income,0.8945,0.8927,7.79,7.09,****,,
Diversified Credit,,
CFS FC W Inv-CFS W Global Credit Income,1.0138,1.0087,8.18,6.72,***,,
Macquarie Income Opportunities,1.0225,1.0195,4.95,5.62,***,,
Perpetual Wholesale Diversified Income,0.9733,0.9713,5.66,6.23,***,,
PIMCO EQT Wholesale Global Credit,0.9811,0.9791,8.10,7.92,*****,,
PM Capital Enhanced Yield,1.1165,1.1143,5.52,5.31,***,,
UBS Diversified Credit,0.9719,0.9680,7.23,7.12,***,,
High Yield Credit,,
Bentham Wholesale Syndicated Loan,1.0172,1.0080,9.12,9.45,****,,
Mortgages,,
AUI Mortgage Income Trust R,1.0000,1.0000,0.00,1.93,NAv,,
AUI Mortgage Income Trust R,1.0000,1.0000,0.00,1.93,NAv,,
Sandhurst Select Mortgage,NAv,NAv,3.47,4.25,NAv,,
Tasmanian Perpetual Fixed Term,NAv,NAv,3.91,4.84,NAv,,
Tasmanian Perpetual Long Term,NAv,NAv,3.90,5.04,NAv,,
Mortgages Aggressive,,
La Trobe Aust Mortgage Pooled Mortgage,1.0000,1.0000,6.35,7.10,NAv,,
Multi-Strategy Income,,
Advance Defensive Yield Multi-Blend,1.0272,1.0256,5.01,NAv,NAv,,
Advance Defensive Yield Multi-Blend,1.0272,1.0256,5.01,NAv,NAv,,
Bentham Wholesale Global Income,1.0845,1.0747,10.69,10.27,*****,,
Kapstream Wholesale Absolute Ret Inc Fd,1.2082,1.2082,5.16,5.68,**,,
Miscellaneous,,
Aurora Fortitude Absolute Return,0.8991,0.8987,4.55,5.39,NAv,,
Aurora Fortitude Absolute Return,0.8991,0.8987,4.55,5.39,NAv,,
Plato Australian Shares Income,1.3389,1.3336,18.71,NAv,NAv,,
Russell Global Opportunities $NZ Hdg B,1.4199,1.4109,31.71,18.58,NAv,,
Russell Global Opportunities $NZ Hgd A,0.9953,0.9889,33.48,19.16,NAv,,
Australian Cash,,
Adelaide Cash Management Trust,1.0000,1.0000,2.02,2.87,NAv,,
AET Cash Deposit,NAv,NAv,2.13,2.94,NAv,,
AUI Wholesale Cash Fund,1.0000,1.0000,3.41,4.40,NAv,,
AUI Wholesale Cash Fund,1.0000,1.0000,3.41,4.40,NAv,,
BT Wholesale Managed Cash,NAv,NAv,2.61,3.46,NAv,,
BWA Cash Management Trust,NAv,NAv,2.02,2.88,NAv,,
BWA Cash Management Trust,NAv,NAv,2.02,2.88,NAv,,
CFS FC W Inv-CFS W Cash,1.0100,1.0100,2.68,3.58,NAv,,
CFS Wholesale Premium Cash,1.0000,1.0000,2.45,3.36,NAv,,
CFS Wholesale Premium Cash Enhanced,1.0000,1.0000,2.61,3.45,NAv,,
Ord Minnett Cash Management,NAv,NAv,1.98,2.83,NAv,,
Sandhurst Cash Common Fund,NAv,NAv,1.92,2.77,NAv,,
The Trust Company Cash,NAv,NAv,2.14,3.06,NAv,,
The Trust Company Cash,NAv,NAv,2.14,3.06,NAv,,
UBS Cash,1.0444,1.0444,2.58,3.49,NAv,,
UBS Cash Management Trust,NAv,NAv,1.64,NAv,NAv,,
Unlisted and Direct Property,,
AMP Capital W Australian Property,1.2219,1.2219,15.02,9.34,NAv,,
SUPERANNUATION,,
Multisector Aggressive,,
AMP FLS&CS-AMP All Growth,3.0449,3.0449,15.56,9.73,***,,
AMP FLS&CS-AMP High Growth,1.8122,1.8122,13.42,8.90,***,,
AMP FLS&CS-FD Growth,1.7229,1.7229,13.11,9.31,***,,
AMP FLS&CS-FD High Growth,2.0155,2.0155,14.34,9.80,**,,
AMP SD PSP - Growth,18.3786,18.2813,14.10,10.07,***,,
AMP SD PSP - High Growth,17.6843,17.5995,16.47,11.11,***,,
Aon MT Growth Active,NAv,NAv,14.46,10.56,NAv,,
Asgard SMAF SMA Growth,NAv,NAv,11.29,8.70,NAv,,
Asgard SMAF SMA High Growth,NAv,NAv,13.07,9.70,NAv,,
AustralianSuper Balanced,NAv,NAv,13.88,9.96,****,,
AustralianSuper High Growth,NAv,NAv,16.23,10.63,****,,
AustralianSuper Sustainable Balanced,NAv,NAv,14.93,11.08,*****,,
Care Super Growth,NAv,NAv,15.29,11.39,NAv,,
CBUS Super Growth (Core Strategy),NAv,NAv,13.53,10.24,NAv,,
CBUS Super High Growth,NAv,NAv,16.53,11.22,NAv,,
Energy Super Growth,2.6374,2.6374,15.45,10.58,*****,,
HESTA Super Shares Plus,NAv,NAv,15.33,10.83,NAv,,
MLC MKey Super GS Horizon 5-Growth,29.2475,29.2475,13.28,9.26,***,,
MLC MKey Super GS Horizon 6-Share,58.3038,58.3038,15.42,10.21,***,,
REST Super High Growth,3.8087,3.8038,15.17,11.70,*****,,
Multisector Balanced,,
AMP FLS&CS-AMP Moderate Growth,2.8437,2.8437,9.63,7.53,***,,
AMP FLS&CS-FD Moderately Conservative,1.7370,1.7370,8.85,6.88,**,,
ANZ ASA-ING Balanced,1.9888,1.9868,9.40,6.29,**,,
AustralianSuper Stable,NAv,NAv,8.31,7.46,****,,
MLC MKey Super GS Horizon 3-Cons Gr,18.0264,18.0264,8.88,6.96,***,,
REST Super Balanced,3.0152,3.0125,10.01,8.85,*****,,
Multisector Conservative,,
Suncorp WSmart Bus-Suncorp Trad Cap Gtd,NAv,NAv,NAv,NAv,NAv,,
Multisector Growth,,
AMP FLS&CS-AMP Balanced Growth,3.2767,3.2767,11.73,8.56,***,,
AMP FLS&CS-Future Directions Balanced,1.7144,1.7144,11.48,8.31,**,,
AMP SD PSP - Balanced,18.8859,18.7990,12.18,9.05,***,,
AMP SuperLeader Growth,1.0779,1.0779,NAv,NAv,NAv,,
ANZ ASA-ING Managed Growth,8.6180,8.6068,11.53,7.33,*,,
Aon MT Balanced Growth Active,NAv,NAv,12.79,9.82,NAv,,
Asgard SMAF SMA Balanced,NAv,NAv,9.77,8.00,NAv,,
AustralianSuper Conservative Balanced,NAv,NAv,11.25,8.98,****,,
BT Superannuation Investment,16.3274,16.2735,10.21,8.53,***,,
Care Super Balanced,NAv,NAv,12.84,10.19,NAv,,
Col SPS - Multi Manager Growth,NAv,20.4340,14.77,10.12,****,,
C'wealth Life RO - Managed,NAv,5.0766,11.67,8.60,***,,
C'wealth Pers Sup&RO - Growth,3.8031,3.7917,13.24,9.54,****,,
C'wealth Pers Sup&RO - Managed,NAv,5.0766,11.67,8.60,***,,
C'wealth SupSel - Growth,NAv,3.7917,13.24,9.54,****,,
Energy Super Balanced,2.4534,2.4534,13.55,9.51,*****,,
HESTA Super Core Pool,NAv,NAv,13.21,9.59,NAv,,
MLC MKey Super FS Horizon 4 - Balanced,25.3120,25.3120,10.93,7.84,**,,
MLC MKey Super GS Horizon 4-Balanced,58.9887,58.9887,11.47,8.35,***,,
REST Super Core Strategy,NAv,NAv,13.29,10.60,*****,,
REST Super Diversified,3.5456,3.5417,13.08,10.63,*****,,
Suncorp WSmart Bus-Suncorp Trad Growth,1.5947,1.5947,14.10,10.98,*****,,
Suncorp WSmart Per-Suncorp Trad Growth,1.5947,1.5947,14.10,10.98,*****,,
Westpac Lifetime Sup-Westpac Bal Gr,2.9847,2.9755,9.54,7.77,***,,
Zurich Retire Policy - Managed Growth,4.3396,4.1226,12.64,9.02,***,,
Zurich Sup - Managed Growth Fund,3.0232,3.0232,12.33,8.74,***,,
Multisector Moderate,,
AMP FLS&CS-AMP Conservative,2.5747,2.5747,6.85,5.95,***,,
AMP FLS&CS-FD Conservative,1.6219,1.6219,6.53,5.56,***,,
Care Super Capital Stable,NAv,NAv,8.03,7.86,NAv,,
CBUS Super Conservative,NAv,NAv,7.61,7.20,NAv,,
HESTA Super Conservative Pool,NAv,NAv,8.16,7.29,NAv,,
REST Super Capital Stable,2.6573,2.6557,7.58,7.41,*****,,
Equity Australia Large Blend,,
AMP FLS&CS-CFS Australian Share,2.6741,2.6741,16.79,10.24,***,,
AMP FLS&CS-Schroder Australian Equity,2.6261,2.6261,14.22,9.93,****,,
AustralianSuper Australian Shares,NAv,NAv,17.43,10.88,****,,
AustralianSuper Australian Sust Shr,NAv,NAv,18.22,11.78,*****,,
