Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 28/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0335,1.0295,NAv,NAv,NAv,,
ipac Classic Portfolio 1,0.9463,0.9428,6.45,8.78,***,,
ipac Pathways 30,0.9741,0.9705,6.72,9.17,****,,
Mercer Conservative,0.9821,0.9796,6.14,7.35,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1154,1.1143,5.09,7.62,**,,
North Index Defensive,0.9828,0.9807,6.67,8.59,****,,
North Multi Manager Active Moderately De,0.9529,0.9497,8.35,11.95,*****,,
Perpetual Wholesale Conservative Growth,1.1473,1.1443,6.87,9.56,*****,,
Russell Conservative A,0.9464,0.9431,6.81,8.95,****,,
UBS Defensive Investment,1.1814,1.1779,9.51,11.13,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.1154,1.1109,5.25,NAv,NAv,,
K2 Australian Absolute Return,194.1200,192.5800,5.33,12.99,***,,
Perpetual Pure Equity Alpha,1.0818,1.0775,10.52,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.5270,1.5178,5.73,14.59,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1544,1.1494,8.02,9.79,****,,
K2 Select International Absolute Return,154.0100,152.7900,9.49,13.65,****,,
UBS Dynamic Alpha Strategies Fund A,1.1794,1.1747,9.83,11.65,****,,
van Eyk Blueprint Alternatives,0.7864,0.7842,0.18,1.52,**,,
Winton Global Alpha,1.2076,1.2062,13.15,5.72,****,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.4531,2.4263,14.51,15.10,****,,
BT Asian Share Retail,6.7653,6.7315,10.10,11.54,**,,
Macquarie Asia New Stars No.1,1.5090,1.4940,33.76,24.35,*****,,
Platinum Asia,2.9290,2.9143,21.90,17.72,****,,
Equity Australia Derivative Income,,
CFS FC W Inv-CFS W Equity Income,0.7834,0.7803,4.01,11.68,****,,
Merlon WS Australian Share Income,1.1319,1.1273,4.37,12.30,***,,
Zurich Investments Equity Income,0.7196,0.7174,3.32,10.81,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.6197,2.6093,5.82,16.99,****,,
AMP Gen-BlackRock Aust Equity Index,1.3074,1.3043,4.44,12.83,**,,
Antares Prof High Growth Shares,1.1210,1.1176,5.13,13.50,****,,
BlackRock Australian Share,1.7469,1.7374,1.88,11.84,**,,
BT Aus Share Retail,3.8270,3.8078,4.06,13.65,****,,
BT Class Inv Core Aus Shr,3.6820,3.6660,3.82,13.41,***,,
BT Imp Shr Retail,1.7330,1.7250,3.85,12.61,***,,
BT Investor Choice Aus Tax Eff,1.9707,1.9607,3.54,14.15,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6550,1.6483,5.15,13.86,****,,
CFS FC W Inv-CFS W Imputation,2.5848,2.5745,6.00,15.23,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0564,1.0543,5.64,14.39,***,,
CFS FC WS Inv-Schroder Australian Equity,1.4390,1.4333,4.66,15.59,*****,,
CFS MIF-Australian Share,2.2787,2.2696,6.41,15.31,***,,
CFS MIF-Imputation,3.7283,3.7134,5.08,14.27,***,,
CFS Wholesale Australian Share,2.1097,2.1013,7.37,16.29,****,,
EQT Flagship Common No 2,1.8095,1.7975,4.44,14.15,****,,
Fidelity Australian Equities,27.8771,27.7381,8.31,17.62,*****,,
Fiducian Australian Shares,1.5237,1.5146,5.62,13.35,***,,
IOOF MultiMix Australian Shares Trust,1.0246,1.0194,5.36,14.09,**,,
Macquarie Aus Pure Indexed Equities,1.6911,1.6827,5.56,14.15,***,,
MLC UT/MKey InvSer Australian Share,1.7400,1.7348,1.92,11.78,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.4128,2.4104,4.46,13.16,**,,
Pengana Australian Equities Class A,1.5996,1.5916,4.21,15.54,*****,,
Russell Australian Share A,1.4952,1.4878,5.54,14.64,***,,
The Trust Company Share Imputation,2.8295,2.8210,5.11,15.22,****,,
UBS Australian Share,1.7817,1.7728,4.38,15.53,****,,
UCA Australian Equities Portfolio,12.5296,12.4546,1.05,12.04,**,,
UCA Growth Portfolio,4.3857,4.3595,5.16,13.49,***,,
Vanguard High Yield Australian Shares,1.4675,1.4638,3.84,17.21,*****,,
Vanguard Index Australian Shares,2.0155,2.0103,5.02,13.58,***,,
Westpac Aus Tax Eff Retail,0.9301,0.9254,2.97,13.51,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,4.0472,4.0118,9.96,29.47,***,,
CFS MIF-Geared Share,1.9849,1.9675,8.94,28.23,***,,
Perpetual Wholesale Geared Australian,3.6429,3.6156,5.40,31.39,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7522,1.7417,2.85,15.24,****,,
Ausbil Australian Active Equity,3.3599,3.3431,7.03,16.05,****,,
Greencape Wholesale Broadcap,1.3564,1.3510,7.91,16.98,*****,,
Greencape Wholesale High Conviction,1.3974,1.3918,7.24,15.55,****,,
Hyperion Australian Growth Companies,3.2057,3.1865,7.11,20.82,*****,,
Perennial Growth Shares Wholesale Trust,1.7530,1.7426,6.38,13.49,**,,
Platypus Australian Equities - Wholesale,1.2523,1.2474,9.29,16.47,****,,
Russell Aust Opportunities Class A,1.3615,1.3521,6.85,14.58,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.4124,1.4068,6.78,19.10,****,,
Maple-Brown Abbott Aus Shr Retail,1.2400,1.2400,4.88,14.54,**,,
Maple-Brown Abbott Aus Shr Wholesale,1.2487,1.2435,6.17,15.97,***,,
Maple-Brown Abbott Sharemarket,1.0065,1.0065,5.15,14.97,**,,
MLC UT/MKey InvSer Income Builder,2.7204,2.7122,6.63,17.34,***,,
Perennial Value Shares Wholesale Trust,1.2792,1.2716,8.07,14.57,***,,
Perpetual W Share Plus L/S,2.7050,2.6942,13.13,21.78,*****,,
Perpetual WFIA-Perpetual Aus Shr,3.0849,3.0757,3.90,15.01,****,,
Perpetual WFIA-Perpetual Indl Shr,2.4606,2.4532,6.82,19.17,****,,
Perpetual WFI-Perpetual Indl Shr,1.8537,1.8482,7.07,19.27,****,,
Perpetual Wholesale Australian,1.7640,1.7588,5.06,16.18,****,,
Perpetual Wholesale Concentrated Equity,1.8656,1.8600,8.06,17.81,*****,,
Perpetual Wholesale Ethical SRI,1.9739,1.9679,5.91,23.21,*****,,
Perpetual Wholesale Industrial,1.5929,1.5881,7.99,20.39,****,,
Realindex Australian Share-Class A,1.2359,1.2335,5.06,15.64,***,,
Sandhurst BMF-Sandhurst Ind Share,1.9489,1.9392,7.30,18.12,****,,
The Trust Company Australian Share,2.3992,2.3920,4.61,14.95,***,,
Equity Australia Mid/Small Blend,,
Aberdeen Australian Small Companies,2.3235,2.3119,10.91,14.53,****,,
Ausbil MicroCap,2.9168,2.8994,21.77,26.21,*****,,
BT Smaller Companies Retail,1.8220,1.8140,3.94,13.59,***,,
Celeste Australian Small Companies,2.8654,2.8481,-7.54,6.95,***,,
CFS FC W Inv-CFS W Small Companies Core,1.6342,1.6261,12.74,16.36,****,,
Invesco W Aust Smaller Companies,2.5839,2.5658,-4.01,7.90,***,,
Ironbark Karara Australian Small Comp,2.9642,2.9494,7.31,14.40,****,,
NovaPort WS Smaller Companies,2.5251,2.5099,7.03,19.92,****,,
Pengana Emerging Companies,2.4686,2.4539,12.37,18.74,****,,
Smallco Investment,4.0983,4.0616,12.33,36.44,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.0646,3.0463,8.50,14.58,***,,
Australian Ethical Smaller Companies,2.1943,2.1939,11.88,19.08,****,,
CFS Developing Companies,1.9427,1.9350,8.34,14.82,****,,
CFS Future Leaders,3.9108,3.8952,4.50,11.96,***,,
Eley Griffiths Group Small Companies,1.9563,1.9462,3.45,11.50,***,,
Fairview Equity Partners Emerging Co,1.9499,1.9383,2.05,13.10,****,,
Hyperion Small Growth Companies,3.7553,3.7329,4.14,21.75,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.3797,1.3741,14.36,16.93,**,,
Perpetual WFIA-Perpetual Small Coms,2.5777,2.5700,5.11,14.90,***,,
Perpetual Wholesale Smaller Companies,1.2211,1.2174,5.90,15.75,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1625,1.1567,5.34,14.61,NAv,,
The Montgomery,1.3735,1.3667,6.14,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4428,1.4355,13.11,18.72,****,,
APN Property for Income,1.9228,1.9131,11.95,15.00,****,,
CFS FC W Inv-CFS W Property Securities,0.7769,0.7738,11.90,18.93,***,,
Cromwell Phoenix Property Securities,1.0815,1.0772,16.20,24.70,*****,,
Ironbark Paladin Property Securities,0.7143,0.7107,12.33,18.78,***,,
SG Hiscock Premier Property Securities,0.7462,0.7432,12.92,19.97,*****,,
SG Hiscock WS Property Securities,0.7182,0.7154,12.18,19.06,****,,
UBS Property Securities,0.8673,0.8613,11.88,21.24,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.1549,2.1313,9.63,12.23,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7368,1.7247,18.25,19.97,*****,,
CFS Wholesale Global Emerging Market,1.5960,1.5848,13.93,15.86,****,,
Realindex Emerging Markets-Class A,0.9559,0.9521,8.51,9.15,**,,
Russell Emerging Markets Fund Class A,1.1034,1.0936,12.01,11.62,***,,
Walter Scott Emerging Markets,1.1666,1.1602,4.90,10.97,***,,
Equity Europe,,
Platinum European,2.5243,2.5117,6.32,20.04,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8278,0.8220,11.88,20.48,***,,
EQT SGH LaSalle Global Listed Prop Secs,1.1997,1.1937,14.13,17.53,***,,
Invesco WS Global Property Secs Hgd A,1.0896,1.0820,11.25,18.84,**,,
Ironbark Global (ex-Aus) Property Secs,0.7519,0.7474,13.74,17.61,***,,
Resolution Capital Global Prp Secs (WS),1.6167,1.6071,14.15,19.77,*****,,
Russell Intl Property Secs Hedged A,0.9516,0.9460,12.62,19.19,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.5219,1.5128,7.38,-0.52,NAv,,
Equity Greater China,,
Premium China,1.8695,1.8601,14.45,13.85,***,,
Equity Japan,,
Platinum Japan,2.9940,2.9790,15.52,23.47,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1437,1.1390,22.69,24.78,*****,,
Capital International Global Equity Hgd,1.0433,1.0413,13.84,21.22,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8932,0.8896,16.82,19.01,****,,
Russell International Shares Hedged A,0.7147,0.7109,16.76,22.02,**,,
Vanguard Index Hedged International Shrs,0.8306,0.8280,17.62,21.99,****,,
Walter Scott Global Equity Hedged,1.1040,1.0993,11.95,18.92,***,,
Zurich Investments Hgd Gbl Thematic Shr,1.0701,1.0683,14.99,17.61,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.3959,1.3876,14.03,NAv,NAv,,
Arrowstreet Global Equity,0.9545,0.9516,25.31,24.83,*****,,
BT International Share Retail,2.8163,2.8133,20.26,22.37,***,,
Candriam Sustainable Global Equity,1.0806,1.0720,20.54,22.67,****,,
CFS FC Inv-Platinum International,1.6117,1.6020,13.82,17.18,***,,
CFS FC WS Inv-Magellan W Global,1.7176,1.7107,16.54,23.66,****,,
CFS FC WS Inv-Platinum International,1.7011,1.6910,14.57,17.96,***,,
CFS Wholesale Indexed Global Share,1.9965,1.9906,20.05,21.92,***,,
Fiducian International Shares,1.2434,1.2347,17.81,18.68,***,,
IFP Global Franchise,1.8780,1.8694,18.60,20.74,****,,
IOOF MultiMix International Shares Trust,1.1120,1.1046,18.52,19.52,**,,
Ironbark GTP Global Equity Thematic,1.6195,1.6130,16.76,19.18,***,,
Magellan Global,1.6864,1.6830,16.69,24.12,*****,,
MLC UT/MKey InvSer Platinum Global,1.9917,1.9917,15.60,19.75,****,,
Platinum International,1.9261,1.9164,14.66,18.41,***,,
Platinum International Brands,2.4573,2.4450,3.37,14.90,****,,
PM Capital Global Companies,1.9012,1.8918,18.32,32.27,**,,
Russell Global Opportunities A,1.2142,1.2070,16.38,19.38,**,,
Russell International Shares A,1.1131,1.1075,17.20,21.33,***,,
UBS International Share,1.1526,1.1469,17.80,23.81,***,,
Vanguard Index International Shares,1.1617,1.1587,19.70,21.67,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.6747,2.6613,15.97,18.66,***,,
Aberdeen Select Inv Act Hgd Intl Share,0.9585,0.9537,15.70,18.40,***,,
Capital International Global Equity,1.2038,1.2014,16.06,21.60,***,,
EQT Dundas Global Equity,13.7148,13.6463,16.98,19.63,***,,
Walter Scott Global Equity,1.6520,1.6466,14.48,18.47,***,,
Zurich Investments Gbl Thematic Shr,1.5016,1.4992,18.02,17.46,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5454,1.5430,19.12,18.57,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4380,1.4358,18.03,17.28,**,,
Zurich Investments Unhedged Global Gr,1.6692,1.6666,17.53,22.34,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1131,1.1076,15.99,18.33,***,,
AMP Capital W Global Equity Value,0.9500,0.9462,19.33,22.62,**,,
AUI Wingate Global Equity Fund,0.9352,0.9306,16.08,18.83,***,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.2335,1.2285,19.57,19.64,****,,
Perpetual Wholesale International Share,1.3649,1.3581,16.77,19.13,***,,
Platinum Unhedged,1.3640,1.3571,16.21,18.94,***,,
Realindex Global Share-Class A,1.2802,1.2764,17.53,19.93,***,,
Templeton Global Equity,1.1563,1.1517,16.03,23.69,****,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,11.3947,11.13,23.30,***,,
Hunter Hall Value Growth Trust,2.8094,2.7954,18.02,15.03,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,1.0343,1.0291,19.11,18.83,****,,
CFS Wholesale Infrastructure Income,NAv,1.1318,9.56,7.48,*,,
Macquarie International Infra Ses,1.1477,1.1419,19.24,20.20,***,,
Magellan Infrastructure,1.0583,1.0551,19.10,17.36,***,,
RARE Emerging Markets,2.1618,2.1489,21.09,19.06,**,,
RARE Infrastructure Value,1.2276,1.2221,16.64,16.82,***,,
RARE Infrastructure Value Unhedged,1.3071,1.3012,18.14,17.94,***,,
Russell Global Listed Infr $A Hedged,1.3225,1.3145,21.55,20.14,****,,
Australian Short Term Fixed Interest,,
IOOF MultiMix Cash Enhanced Trust,1.0100,1.0100,3.44,4.62,***,,
IOOF/Perennial Flex Cash & Income,1.0000,1.0000,1.67,2.57,NAv,,
Russell Aus Cash Enhanced Fund Class A,1.0392,1.0382,3.96,4.70,***,,
Russell Australian Cash A,1.0324,1.0324,2.27,2.98,**,,
TPS Cash Management,NAv,NAv,2.35,3.18,**,,
UBS Cash Plus,1.0274,1.0258,3.28,4.00,***,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1600,1.1588,5.99,5.57,****,,
Altius Bond,1.0132,1.0132,5.13,5.60,***,,
CFS FC W Inv-CFS W Australian Bond,1.1057,1.1034,5.33,5.01,***,,
CFS Wholesale Sovereign Australian Bond,0.9294,0.9275,2.62,3.81,**,,
Nikko AM Australian Bond,1.0677,1.0671,6.14,5.82,****,,
Perennial Fixed Interest Wholesale,1.0566,1.0566,6.04,6.71,*****,,
Perennial Tactical Income Trust,1.0719,1.0719,4.68,5.93,***,,
PIMCO EQT Wholesale Australian Bond,1.0146,1.0135,5.99,6.18,*****,,
PIMCO EQT Wholesale Australian Focus,1.0361,1.0350,4.13,5.07,**,,
Russell Australian Bond A,1.0613,1.0583,6.04,6.03,****,,
Russell Australian Bond Income,1.0741,1.0731,5.66,5.71,***,,
Schroder Fixed Income Wholesale,1.1153,1.1127,5.56,6.01,****,,
The Trust Company Bond,1.0122,1.0106,3.88,5.50,**,,
UBS Australian Bond,1.1074,1.1066,6.10,5.96,****,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0695,1.0673,8.45,7.88,*****,,
CFS Wholesale Global Corporate Bond,1.0412,1.0350,10.55,10.04,*****,,
PIMCO EQT Wholesale Global Bond,1.0056,1.0045,8.97,8.48,*****,,
Russell Global Bond B,1.0649,1.0595,9.74,NAv,NAv,,
Russell International Bond $A Hedged A,1.0647,1.0593,9.60,9.31,****,,
Bonds - Global / Australia,,
BT WE BT Macquarie Diversified Fixed Int,1.0334,1.0317,3.91,4.27,*,,
CFS FC W Inv-CFS W Diversified Fixed Int,1.0404,1.0362,5.15,4.95,***,,
CFS FC W Inv-FC W Fixed Interest,1.0345,1.0304,7.16,6.52,****,,
IOOF MultiMix Diversified Fixed Interest,1.0032,1.0032,6.97,7.19,****,,
Macquarie Diversified Fixed Interest,1.0607,1.0591,4.75,5.29,***,,
PIMCO EQT WS Diversified Fixed Interest,1.0024,1.0013,7.45,7.29,*****,,
UBS Diversified Fixed Income,0.8981,0.8963,7.89,6.69,****,,
Diversified Credit,,
Antares Income Fund,1.0068,1.0068,NAv,NAv,NAv,,
CFS FC W Inv-CFS W Global Credit Income,1.0047,0.9997,6.83,7.99,***,,
Macquarie Income Opportunities,1.0188,1.0158,4.41,5.87,***,,
Omega Global Corporate Bond,1.0289,1.0258,7.62,8.04,***,,
Perpetual Wholesale Diversified Income,0.9691,0.9672,5.37,6.39,***,,
PIMCO EQT Wholesale Global Credit,0.9940,0.9920,7.65,7.62,****,,
PM Capital Enhanced Yield,1.1135,1.1113,4.73,5.69,***,,
Schroder Credit Securities Wholesale,1.0925,1.0881,4.97,6.88,***,,
UBS Diversified Credit,0.9648,0.9610,5.82,7.69,***,,
