Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 24/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/8/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-27T14:00:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0440,1.0400,NAv,NAv,NAv,,
North Multi Manager Active Moderately De,0.9474,0.9442,10.81,11.72,*****,,
Perpetual Wholesale Conservative Growth,1.1513,1.1483,8.57,9.57,*****,,
Russell Conservative A,0.9485,0.9452,7.90,8.67,****,,
UBS Defensive Investment,1.1863,1.1828,10.74,11.25,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.1087,1.1043,6.50,NAv,NAv,,
K2 Australian Absolute Return,194.3400,192.8000,12.41,11.93,***,,
Perpetual Pure Equity Alpha,1.0779,1.0736,9.29,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.5086,1.4996,12.08,13.69,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1735,1.1684,8.02,9.41,****,,
K2 Select International Absolute Return,158.1700,156.9100,5.86,10.51,***,,
UBS Dynamic Alpha Strategies Fund A,1.1768,1.1721,10.25,11.71,****,,
van Eyk Blueprint Alternatives,0.7912,0.7890,-0.45,1.65,***,,
Winton Global Alpha,1.1710,1.1696,14.96,5.84,****,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.5195,2.4919,12.96,13.82,****,,
BT Asian Share Retail,6.9818,6.9468,7.71,9.27,**,,
Macquarie Asia New Stars No.1,1.5342,1.5190,24.83,18.52,*****,,
Platinum Asia,3.0133,2.9982,23.05,15.70,****,,
Equity Australia Derivative Income,,
CFS FC W Inv-CFS W Equity Income,0.7918,0.7886,10.09,11.98,***,,
Merlon WS Australian Share Income,1.1396,1.1350,10.75,12.55,***,,
Zurich Investments Equity Income,0.7199,0.7177,9.52,10.79,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.6123,2.5967,14.54,16.59,****,,
AMP Gen-BlackRock Aust Equity Index,1.2872,1.2841,12.59,12.47,**,,
Antares Prof High Growth Shares,1.1386,1.1352,12.53,13.28,****,,
BlackRock Australian Share,1.7560,1.7464,9.76,11.45,**,,
BT Aus Share Retail,3.8466,3.8274,12.30,13.22,****,,
BT Class Inv Core Aus Shr,3.6990,3.6830,12.03,12.99,***,,
BT Imp Shr Retail,1.7320,1.7240,11.40,12.17,***,,
BT Investor Choice Aus Tax Eff,1.9554,1.9456,11.52,13.78,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6305,1.6240,12.16,13.86,****,,
CFS FC W Inv-CFS W Imputation,2.5704,2.5602,13.62,14.93,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0481,1.0460,14.01,14.08,***,,
CFS FC W Inv-FC W Australian Share,1.2236,1.2187,13.71,13.96,****,,
CFS FC WS Inv-Schroder Australian Equity,1.4386,1.4328,12.80,15.61,*****,,
CFS MIF-Australian Share,2.2659,2.2568,14.69,14.79,***,,
CFS MIF-Imputation,3.7010,3.6862,12.66,13.97,***,,
CFS Wholesale Australian Share,2.1001,2.0917,15.72,15.74,****,,
EQT Flagship Common No 2,1.7936,1.7818,13.07,13.55,****,,
Fidelity Australian Equities,27.7194,27.5812,17.03,16.82,*****,,
Fiducian Australian Shares,1.5233,1.5142,13.75,12.54,***,,
IOOF MultiMix Australian Shares Trust,1.0243,1.0191,13.69,13.39,**,,
Macquarie Aus Pure Indexed Equities,1.6969,1.6885,13.97,13.79,***,,
MLC UT/MKey InvSer Australian Share,1.7466,1.7414,9.90,11.72,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.4158,2.4134,12.83,12.88,**,,
Pengana Australian Equities Class A,1.6011,1.5931,8.25,15.54,*****,,
Russell Australian Share A,1.5017,1.4943,14.02,14.21,***,,
The Trust Company Share Imputation,2.8413,2.8328,14.04,15.75,****,,
UBS Australian Share,1.8002,1.7912,12.86,15.04,****,,
UCA Australian Equities Portfolio,13.1853,13.1064,9.65,11.55,**,,
UCA Growth Portfolio,4.5341,4.5069,11.68,12.08,***,,
Vanguard High Yield Australian Shares,1.4681,1.4644,14.03,18.94,*****,,
Vanguard Index Australian Shares,1.9997,1.9947,13.39,13.24,***,,
Westpac Aus Tax Eff Retail,0.9233,0.9187,10.91,13.13,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,3.9708,3.9358,29.55,28.66,***,,
CFS MIF-Geared Share,1.9491,1.9320,28.31,27.43,***,,
Perpetual Wholesale Geared Australian,3.6255,3.5984,27.85,32.97,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7372,1.7268,11.30,15.52,****,,
Ausbil Australian Active Equity,3.3554,3.3387,15.85,15.42,****,,
Greencape Wholesale Broadcap,1.3586,1.3504,16.45,16.80,*****,,
Greencape Wholesale High Conviction,1.3901,1.3817,15.23,15.26,****,,
Hyperion Australian Growth Companies,3.2248,3.2056,17.10,19.05,*****,,
Perennial Growth Shares Wholesale Trust,1.7601,1.7495,16.09,13.01,***,,
Platypus Australian Equities - Wholesale,1.2445,1.2395,16.25,14.06,****,,
Russell Aust Opportunities Class A,1.3518,1.3424,15.28,14.40,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.4020,1.3964,15.61,20.27,****,,
Maple-Brown Abbott Imputation,1.2489,1.2489,13.52,14.95,**,,
Maple-Brown Abbott Imputation Wholesale,1.2606,1.2543,14.91,16.40,***,,
Maple-Brown Abbott Sharemarket,1.0125,1.0125,13.51,15.29,**,,
MLC UT/MKey InvSer Income Builder,2.7035,2.6954,14.75,18.33,***,,
Perennial Value Shares Wholesale Trust,1.2764,1.2688,17.08,14.46,***,,
Perpetual W Share Plus L/S,2.6801,2.6694,19.02,21.49,*****,,
Perpetual WFIA-Perpetual Aus Shr,3.0690,3.0598,12.92,15.57,****,,
Perpetual WFIA-Perpetual Indl Shr,2.4497,2.4423,15.71,20.34,****,,
Perpetual WFI-Perpetual Indl Shr,1.8465,1.8410,15.92,20.45,****,,
Perpetual Wholesale Australian,1.7532,1.7479,14.15,16.72,****,,
Perpetual Wholesale Concentrated Equity,1.8535,1.8480,16.23,18.43,****,,
Perpetual Wholesale Ethical SRI,1.9816,1.9757,16.82,23.34,*****,,
Perpetual Wholesale Industrial,1.5893,1.5845,16.90,21.57,****,,
Realindex Australian Share-Class A,1.2314,1.2290,14.06,16.02,***,,
Sandhurst BMF-Sandhurst Ind Share,1.8968,1.8873,13.24,19.03,****,,
The Trust Company Australian Share,2.4101,2.4029,12.83,15.40,***,,
Equity Australia Mid/Small Blend,,
Aberdeen Australian Small Companies,2.3494,2.3376,19.71,15.13,****,,
Ausbil MicroCap,3.0052,2.9873,33.32,23.59,*****,,
BT Smaller Companies Retail,1.8550,1.8470,12.00,11.41,***,,
Celeste Australian Small Companies,2.9522,2.9344,0.80,6.38,***,,
CFS FC W Inv-CFS W Small Companies Core,1.6506,1.6424,20.21,13.97,****,,
Invesco W Aust Smaller Companies,2.6818,2.6631,6.89,7.19,***,,
Ironbark Karara Australian Small Comp,3.0078,2.9927,14.60,12.19,****,,
NovaPort WS Smaller Companies,2.5490,2.5286,16.21,20.47,****,,
Pengana Emerging Companies,2.4984,2.4835,21.98,17.50,****,,
Smallco Investment,4.0878,4.0512,17.93,35.49,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.0986,3.0801,20.43,11.30,***,,
Australian Ethical Smaller Companies,2.1712,2.1707,18.13,16.13,****,,
CFS Developing Companies,2.0566,2.0484,18.27,13.87,****,,
CFS Future Leaders,4.0481,4.0319,15.40,10.56,***,,
Eley Griffiths Group Small Companies,1.9863,1.9760,14.21,9.50,***,,
Fairview Equity Partners Emerging Co,2.0013,1.9895,11.42,10.56,****,,
Goldman Sachs Emerging Leaders Fund,NAv,2.5989,24.33,14.48,***,,
Hyperion Small Growth Companies,3.7365,3.7141,13.70,21.84,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.4058,1.4002,21.22,17.51,***,,
Perpetual WFIA-Perpetual Small Coms,2.6822,2.6742,15.26,13.12,**,,
Perpetual Wholesale Smaller Companies,1.2696,1.2658,16.14,13.93,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1627,1.1569,13.84,14.35,NAv,,
The Montgomery,1.3670,1.3602,11.59,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4292,1.4220,19.38,18.91,*****,,
APN Property for Income,1.9006,1.8911,17.28,15.40,****,,
CFS FC W Inv-CFS W Property Securities,0.7575,0.7545,18.88,18.75,***,,
Cromwell Phoenix Property Securities,1.0651,1.0609,21.51,24.53,*****,,
Ironbark Paladin Property Securities,0.7048,0.7012,19.56,19.01,***,,
SG Hiscock Premier Property Securities,0.7849,0.7817,20.74,20.20,*****,,
SG Hiscock WS Property Securities,0.6961,0.6933,19.91,19.29,****,,
UBS Property Securities,0.8529,0.8469,19.85,20.95,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.2490,2.2244,13.67,11.32,****,,
CFS Wholesale Glb Emerging Markets Sust,1.8041,1.7915,16.20,18.38,*****,,
CFS Wholesale Global Emerging Market,1.6693,1.6577,12.60,14.99,****,,
Realindex Emerging Markets-Class A,1.0180,1.0139,13.43,7.88,***,,
Russell Emerging Markets Fund Class A,1.1686,1.1582,15.81,10.82,***,,
Walter Scott Emerging Markets,1.2045,1.1979,6.86,9.68,***,,
Equity Europe,,
Platinum European,2.6240,2.6109,3.23,18.02,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8095,0.8037,22.04,17.76,***,,
EQT SGH LaSalle Global Listed Prop Secs,1.1588,1.1530,23.94,15.42,***,,
Invesco WS Global Property Secs Hgd A,1.0667,1.0592,21.66,16.21,**,,
Ironbark Global (ex-Aus) Property Secs,0.7263,0.7219,24.66,15.10,***,,
Resolution Capital Global Prp Secs (WS),1.5503,1.5411,23.58,17.37,****,,
Russell Intl Property Secs Hedged A,0.9395,0.9339,22.97,16.29,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.6276,1.6178,11.55,-3.86,NAv,,
Equity Greater China,,
Premium China,1.8882,1.8788,11.90,7.12,***,,
Equity Japan,,
Platinum Japan,3.1495,3.1337,13.15,23.25,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1809,1.1761,30.05,22.11,*****,,
Capital International Global Equity Hgd,1.0826,1.0804,20.97,18.65,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.9215,0.9179,20.64,18.32,****,,
Russell International Shares Hedged A,0.7388,0.7348,21.55,19.46,**,,
Vanguard Index Hedged International Shrs,0.8550,0.8522,23.02,19.76,***,,
Walter Scott Global Equity Hedged,1.1374,1.1325,18.39,17.22,***,,
Zurich Investments Hgd Gbl Thematic Shr,1.1109,1.1091,20.86,15.35,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.4454,1.4368,9.42,NAv,NAv,,
Arrowstreet Global Equity,0.9823,0.9792,21.30,23.47,*****,,
BT International Share Retail,2.9040,2.9010,14.86,20.97,***,,
Candriam Sustainable Global Equity,1.1171,1.1082,16.62,21.47,****,,
CFS FC Inv-Platinum International,1.6978,1.6877,11.40,15.81,***,,
CFS FC WS Inv-Magellan W Global,1.7639,1.7569,8.84,23.06,*****,,
CFS FC WS Inv-Platinum International,1.7912,1.7805,12.13,16.57,***,,
CFS Wholesale Indexed Global Share,2.0582,2.0520,15.06,20.63,***,,
Fiducian International Shares,1.2769,1.2680,15.58,17.29,***,,
IFP Global Franchise,1.9237,1.9148,12.13,20.51,****,,
IOOF MultiMix International Shares Trust,1.1432,1.1356,15.72,18.03,***,,
Ironbark GTP Global Equity Thematic,1.6797,1.6729,15.87,17.23,***,,
Magellan Global,1.7322,1.7288,9.05,23.67,*****,,
MLC UT/MKey InvSer Platinum Global,2.0905,2.0905,13.19,18.19,****,,
Platinum International,2.0214,2.0113,12.42,17.45,****,,
Platinum International Brands,2.5384,2.5257,3.63,13.01,****,,
PM Capital Absolute Performance,1.9151,1.9055,8.04,30.64,**,,
Russell Global Opportunities A,1.2513,1.2439,12.18,17.67,**,,
Russell International Shares A,1.1461,1.1403,12.01,19.63,***,,
UBS International Share,1.1884,1.1825,14.37,21.65,***,,
Vanguard Index International Shares,1.1931,1.1901,14.67,20.39,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.7823,2.7685,14.00,18.29,***,,
Aberdeen Select Inv Act Hgd Intl Share,0.9968,0.9918,13.77,18.04,***,,
Capital International Global Equity,1.2444,1.2420,13.36,19.82,***,,
Walter Scott Global Equity,1.6945,1.6889,10.37,17.93,***,,
Zurich Investments Gbl Thematic Shr,1.5524,1.5500,12.98,16.08,***,,
Zurich Investments Gbl Thematic Shr Pool,1.6031,1.6005,14.05,17.19,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4864,1.4840,13.01,15.93,**,,
Zurich Investments Unhedged Global Gr,1.6853,1.6827,15.11,20.64,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1573,1.1515,13.97,17.94,****,,
AMP Capital W Global Equity Value,0.9900,0.9860,16.06,20.95,***,,
AUI Wingate Global Equity Fund,0.9856,0.9807,9.47,18.18,***,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.2635,1.2585,14.06,19.64,*****,,
Perpetual Wholesale International Share,1.4092,1.4022,10.79,17.74,***,,
Platinum Unhedged,1.4402,1.4330,16.27,18.32,****,,
Realindex Global Share-Class A,1.3363,1.3323,15.33,18.78,***,,
Templeton Global Equity,1.2221,1.2173,14.05,22.80,****,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,11.6084,11.41,21.11,***,,
Hunter Hall Global Equities Trust,1.4991,1.4901,15.16,10.83,**,,
Hunter Hall Value Growth Trust,2.9182,2.9008,19.08,12.38,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,1.0284,1.0233,26.05,19.12,****,,
CFS Wholesale Infrastructure Income,NAv,1.1199,9.85,7.64,*,,
Macquarie International Infra Ses,1.1657,1.1599,25.43,19.88,***,,
Magellan Infrastructure,1.0453,1.0421,23.52,17.67,****,,
RARE Emerging Markets,2.1965,2.1834,14.94,15.33,**,,
RARE Infrastructure Value,1.2434,1.2378,21.89,16.23,***,,
RARE Infrastructure Value Unhedged,1.3182,1.3122,16.31,17.08,**,,
Russell Global Listed Infr $A Hedged,1.3350,1.3270,27.98,19.63,****,,
Australian Short Term Fixed Interest,,
IOOF MultiMix Cash Enhanced Trust,1.0091,1.0091,3.53,4.66,***,,
Russell Aus Cash Enhanced Fund Class A,1.0418,1.0408,4.21,4.72,***,,
Russell Australian Cash A,1.0343,1.0343,2.27,3.05,**,,
TPS Cash Management,NAv,NAv,2.34,3.25,**,,
UBS Cash Plus,1.0324,1.0308,3.32,4.03,***,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1592,1.1580,6.72,6.06,****,,
Aberdeen Income Focused Bond,1.0440,1.0435,6.82,6.16,****,,
Altius Bond,1.0126,1.0126,5.42,5.82,***,,
CFS FC W Inv-CFS W Australian Bond,1.1082,1.1060,5.95,5.27,***,,
CFS Wholesale Sovereign Australian Bond,0.9315,0.9296,2.70,4.01,**,,
Nikko AM Australian Bond,1.0671,1.0665,6.84,6.14,****,,
Perennial Fixed Interest Wholesale,1.0560,1.0560,6.94,7.06,*****,,
Perennial Tactical Income Trust,1.0769,1.0769,5.36,6.04,****,,
PIMCO EQT Wholesale Australian Bond,1.0044,1.0033,6.68,6.41,*****,,
PIMCO EQT Wholesale Australian Focus,1.0313,1.0302,4.51,5.16,**,,
Russell Australian Bond A,1.0550,1.0520,6.89,6.39,****,,
Russell Australian Bond Income,1.0669,1.0659,6.59,6.12,***,,
Schroder Fixed Income Wholesale,1.1151,1.1125,6.14,6.33,****,,
The Trust Company Bond,1.0339,1.0322,4.36,5.56,**,,
UBS Australian Bond,1.1022,1.1014,6.82,6.34,***,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0673,1.0651,9.28,7.60,*****,,
CFS Wholesale Global Corporate Bond,1.0421,1.0359,12.53,10.26,*****,,
PIMCO EQT Wholesale Global Bond,1.0061,1.0050,11.37,8.25,*****,,
Russell Global Bond B,1.0809,1.0755,13.76,NAv,NAv,,
Russell International Bond $A Hedged A,1.0585,1.0533,10.31,9.48,****,,
Bonds - Global / Australia,,
BT WE BT Macquarie Diversified Fixed Int,1.0231,1.0214,4.64,4.57,*,,
CFS FC W Inv-CFS W Diversified Fixed Int,1.0448,1.0407,5.47,4.89,***,,
CFS FC W Inv-FC W Fixed Interest,1.0301,1.0260,7.60,6.73,***,,
IOOF MultiMix Diversified Fixed Interest,1.0049,1.0049,8.15,7.31,****,,
Macquarie Diversified Fixed Interest,1.0495,1.0479,5.71,5.60,***,,
PIMCO EQT WS Diversified Fixed Interest,0.9978,0.9968,8.97,7.30,*****,,
UBS Diversified Fixed Income,0.9017,0.8999,8.45,6.99,****,,
Diversified Credit,,
Antares Income Fund,1.0115,1.0115,NAv,NAv,NAv,,
CFS FC W Inv-CFS W Global Credit Income,1.0161,1.0110,7.45,7.53,***,,
Macquarie Income Opportunities,1.0225,1.0195,4.56,5.92,***,,
Omega Global Corporate Bond,1.0184,1.0154,8.83,7.49,***,,
Perpetual Wholesale Diversified Income,0.9787,0.9767,5.72,6.42,***,,
PIMCO EQT Wholesale Global Credit,0.9907,0.9887,9.25,7.69,****,,
