Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 14/10/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 30/9/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-18T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0154,1.0114,NAv,NAv,NAv,,
UBS Balanced Investment,1.2584,1.2534,10.86,15.13,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.0929,1.0907,4.78,6.98,***,,
BT Investor Choice Mod Gr,1.0750,1.0725,5.55,7.65,**,,
CFS FC Inv-FirstChoice Conservative,1.0397,1.0366,5.90,7.35,**,,
CFS FC W Inv-CFS W Conservative,1.1392,1.1370,6.02,7.85,***,,
CFS FC W Inv-FC W Multi-Index Cons,0.9498,0.9479,6.33,8.37,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0573,1.0541,6.73,8.19,***,,
IOOF MultiMix Conservative Trust,1.0156,1.0130,6.97,8.83,****,,
ipac Classic Portfolio 1,0.9361,0.9326,6.45,8.78,***,,
ipac Pathways 30,0.9633,0.9598,6.72,9.17,****,,
Mercer Conservative,0.9749,0.9725,6.14,7.35,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1039,1.1028,5.09,7.62,**,,
North Index Defensive,0.9718,0.9696,6.67,8.59,****,,
North Multi Manager Active Moderately De,0.9356,0.9324,8.35,11.95,*****,,
Perpetual Wholesale Conservative Growth,1.1425,1.1395,6.86,9.56,*****,,
Russell Conservative A,0.9385,0.9352,6.81,8.95,****,,
UBS Defensive Investment,1.1680,1.1645,9.51,11.13,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.0928,1.0884,5.25,NAv,NAv,,
K2 Australian Absolute Return,190.7700,189.2500,5.33,12.99,***,,
Perpetual Pure Equity Alpha,1.0804,1.0761,10.52,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.4636,1.4548,5.73,14.59,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1732,1.1681,8.02,9.79,****,,
K2 Select International Absolute Return,150.8000,149.6000,9.49,13.65,****,,
UBS Dynamic Alpha Strategies Fund A,1.1657,1.1610,9.83,11.65,****,,
van Eyk Blueprint Alternatives,0.7853,0.7831,0.18,1.52,**,,
Winton Global Alpha,1.1977,1.1963,13.15,5.72,****,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.4652,2.4383,14.51,15.10,****,,
BT Asian Share Retail,6.8541,6.8199,10.10,11.54,**,,
Macquarie Asia New Stars No.1,1.5265,1.5113,33.76,24.35,*****,,
Platinum Asia,2.9361,2.9214,21.90,17.72,****,,
Equity Australia Derivative Income,,
CFS FC W Inv-CFS W Equity Income,0.7508,0.7478,4.01,11.68,****,,
Merlon WS Australian Share Income,1.1052,1.1008,4.36,12.29,***,,
Zurich Investments Equity Income,0.6943,0.6923,3.32,10.81,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.4732,2.4634,5.82,16.99,****,,
AMP Gen-BlackRock Aust Equity Index,1.2454,1.2424,4.44,12.83,**,,
Antares Prof High Growth Shares,1.0628,1.0596,5.13,13.50,****,,
BlackRock Australian Share,1.7108,1.7014,1.88,11.84,**,,
BT Aus Share Retail,3.6236,3.6054,4.06,13.65,****,,
BT Class Inv Core Aus Shr,3.4860,3.4710,3.82,13.41,***,,
BT Imp Shr Retail,1.6360,1.6280,3.85,12.61,***,,
BT Investor Choice Aus Tax Eff,1.8575,1.8481,3.54,14.15,****,,
CFS FC W Inv-CFS W Aus Share Core,1.5750,1.5687,5.15,13.86,****,,
CFS FC W Inv-CFS W Imputation,2.4637,2.4539,6.00,15.23,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0043,1.0023,5.64,14.39,***,,
CFS FC W Inv-FC W Australian Share,1.1675,1.1628,5.63,14.23,****,,
CFS FC WS Inv-Schroder Australian Equity,1.3723,1.3668,4.66,15.59,*****,,
CFS MIF-Australian Share,2.1718,2.1632,6.41,15.31,***,,
CFS MIF-Imputation,3.5548,3.5406,5.08,14.27,***,,
CFS Wholesale Australian Share,2.0096,2.0016,7.37,16.29,****,,
EQT Flagship Common No 2,1.7376,1.7261,4.44,14.15,****,,
Fidelity Australian Equities,26.3067,26.1755,7.88,17.46,*****,,
Fiducian Australian Shares,1.4978,1.4889,5.62,13.35,***,,
IOOF MultiMix Australian Shares Trust,1.0079,1.0029,5.36,14.09,**,,
Macquarie Aus Pure Indexed Equities,1.6223,1.6143,5.56,14.15,***,,
MLC UT/MKey InvSer Australian Share,1.6597,1.6548,1.92,11.78,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.2996,2.2973,4.46,13.16,**,,
Pengana Australian Equities Class A,1.5713,1.5634,4.21,15.54,*****,,
Russell Australian Share A,1.4375,1.4303,5.54,14.64,***,,
The Trust Company Share Imputation,2.7972,2.7888,5.11,15.22,****,,
UBS Australian Share,1.7149,1.7064,4.38,15.53,****,,
UCA Australian Equities Portfolio,12.5296,12.4546,1.05,12.04,**,,
UCA Growth Portfolio,4.3857,4.3595,5.16,13.49,***,,
Vanguard High Yield Australian Shares,1.4073,1.4036,3.84,17.21,*****,,
Vanguard Index Australian Shares,1.9338,1.9289,5.02,13.58,***,,
Westpac Aus Tax Eff Retail,0.8768,0.8724,2.97,13.51,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,3.6343,3.6006,9.96,29.47,***,,
CFS MIF-Geared Share,1.7835,1.7670,8.94,28.23,***,,
Perpetual Wholesale Geared Australian,3.3124,3.2876,5.40,31.39,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.6526,1.6427,2.85,15.24,****,,
Ausbil Australian Active Equity,3.2194,3.2033,7.03,16.05,****,,
Greencape Wholesale Broadcap,1.2997,1.2945,7.91,16.98,*****,,
Greencape Wholesale High Conviction,1.3320,1.3266,7.24,15.55,****,,
Hyperion Australian Growth Companies,3.0103,2.9923,7.11,20.82,*****,,
Macquarie Core Equities,1.2424,1.2362,5.48,13.46,***,,
Perennial Growth Shares Wholesale Trust,1.6631,1.6531,6.38,13.49,**,,
Platypus Australian Equities - Wholesale,1.1910,1.1863,9.29,16.47,****,,
Russell Aust Opportunities Class A,1.3088,1.2996,6.85,14.58,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.3584,1.3530,6.78,19.10,****,,
Maple-Brown Abbott Aus Shr Retail,1.1781,1.1781,4.88,14.54,**,,
Maple-Brown Abbott Aus Shr Wholesale,1.1859,1.1809,6.17,15.97,***,,
Maple-Brown Abbott Sharemarket,0.9556,0.9556,5.15,14.97,**,,
MLC UT/MKey InvSer Income Builder,2.5893,2.5816,6.63,17.34,***,,
Perennial Value Shares Wholesale Trust,1.2109,1.2037,8.07,14.57,***,,
Perpetual W Share Plus L/S,2.6149,2.6044,13.13,21.78,*****,,
Perpetual WFIA-Perpetual Aus Shr,2.9564,2.9475,3.90,15.01,****,,
Perpetual WFIA-Perpetual Indl Shr,2.3659,2.3589,6.81,19.17,****,,
Perpetual WFI-Perpetual Indl Shr,1.7823,1.7770,7.07,19.27,****,,
Perpetual Wholesale Australian,1.6908,1.6857,5.06,16.18,****,,
Perpetual Wholesale Concentrated Equity,1.7877,1.7823,8.06,17.81,*****,,
Perpetual Wholesale Ethical SRI,1.9133,1.9076,5.91,23.21,*****,,
Perpetual Wholesale Industrial,1.5308,1.5262,7.97,20.39,****,,
Realindex Australian Share-Class A,1.1752,1.1729,5.06,15.64,***,,
Sandhurst BMF-Sandhurst Ind Share,1.8527,1.8435,7.30,18.12,****,,
The Trust Company Australian Share,2.3727,2.3656,4.61,14.95,***,,
Equity Australia Mid/Small Blend,,
Aberdeen Australian Small Companies,2.2401,2.2289,10.91,14.53,****,,
Ausbil MicroCap,2.8773,2.8601,21.77,26.21,*****,,
BT Smaller Companies Retail,1.7580,1.7500,3.94,13.59,***,,
Celeste Australian Small Companies,2.8037,2.7868,-7.54,6.95,***,,
CFS FC W Inv-CFS W Small Companies Core,1.5854,1.5775,12.74,16.36,****,,
Invesco W Aust Smaller Companies,2.5091,2.4916,-4.01,7.90,***,,
Ironbark Karara Australian Small Comp,2.8824,2.8680,7.31,14.40,****,,
NovaPort WS Smaller Companies,2.4204,2.4060,7.03,19.92,****,,
Pengana Emerging Companies,2.3948,2.3805,12.37,18.74,****,,
Smallco Investment,3.9589,3.9234,12.33,36.44,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,2.9561,2.9384,8.50,14.58,***,,
Australian Ethical Smaller Companies,2.1261,2.1257,11.88,19.08,****,,
CFS Developing Companies,1.9743,1.9664,8.34,14.82,****,,
CFS Future Leaders,3.8402,3.8249,4.50,11.96,***,,
Eley Griffiths Group Small Companies,1.8808,1.8711,3.45,11.50,***,,
Fairview Equity Partners Emerging Co,1.8867,1.8755,2.05,13.10,****,,
Goldman Sachs Emerging Leaders Fund,NAv,2.4794,10.80,15.87,**,,
Hyperion Small Growth Companies,3.5247,3.5037,4.14,21.75,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.3266,1.3214,14.36,16.93,**,,
Perennial Value Smaller Companies Trust,0.8481,0.8431,7.69,6.74,**,,
Perpetual WFIA-Perpetual Small Coms,2.5639,2.5562,5.11,14.90,***,,
Perpetual Wholesale Smaller Companies,1.2141,1.2104,5.90,15.75,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1165,1.1109,5.34,14.61,NAv,,
The Montgomery,1.3163,1.3097,6.14,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4324,1.4251,13.11,18.72,****,,
APN Property for Income,1.9071,1.8975,11.95,15.00,****,,
CFS FC W Inv-CFS W Property Securities,0.7477,0.7447,11.90,18.93,***,,
Cromwell Phoenix Property Securities,1.0454,1.0413,16.20,24.70,*****,,
Ironbark Paladin Property Securities,0.6977,0.6942,12.33,18.78,***,,
SG Hiscock Premier Property Securities,0.7462,0.7432,12.92,19.97,*****,,
SG Hiscock WS Property Securities,0.6850,0.6822,12.18,19.06,****,,
UBS Property Securities,0.8478,0.8419,11.88,21.24,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.1762,2.1524,9.63,12.23,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7785,1.7661,18.25,19.97,*****,,
CFS Wholesale Global Emerging Market,1.6281,1.6168,13.93,15.86,****,,
Realindex Emerging Markets-Class A,0.9836,0.9797,8.51,9.15,**,,
Russell Emerging Markets Fund Class A,1.1398,1.1296,12.01,11.62,***,,
Walter Scott Emerging Markets,1.1720,1.1655,4.90,10.97,***,,
Equity Europe,,
Platinum European,2.4847,2.4723,6.32,20.04,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.7997,0.7941,11.88,20.48,***,,
EQT SGH LaSalle Global Listed Prop Secs,1.1602,1.1544,14.13,17.53,***,,
Invesco WS Global Property Secs Hgd A,1.0524,1.0450,11.25,18.84,**,,
Ironbark Global (ex-Aus) Property Secs,0.7247,0.7203,13.74,17.61,***,,
Resolution Capital Global Prp Secs (WS),1.5382,1.5290,14.15,19.77,*****,,
Russell Intl Property Secs Hedged A,0.9203,0.9147,12.62,19.19,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.5232,1.5141,7.38,-0.52,NAv,,
Equity Greater China,,
Premium China,1.8961,1.8867,14.45,13.85,***,,
Equity Japan,,
Platinum Japan,3.0370,3.0218,15.52,23.47,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1131,1.1086,22.69,24.78,*****,,
Capital International Global Equity Hgd,1.0193,1.0173,13.84,21.22,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8727,0.8693,16.82,19.01,****,,
Russell International Shares Hedged A,0.6954,0.6916,16.76,22.02,**,,
Vanguard Index Hedged International Shrs,0.8102,0.8076,17.62,21.99,****,,
Walter Scott Global Equity Hedged,1.0813,1.0767,11.95,18.92,***,,
Zurich Investments Hgd Gbl Thematic Shr,1.0532,1.0516,14.99,17.61,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.3933,1.3850,14.03,NAv,NAv,,
Arrowstreet Global Equity,0.9380,0.9351,25.31,24.83,*****,,
BT International Share Retail,2.7704,2.7676,20.26,22.37,***,,
Candriam Sustainable Global Equity,1.0627,1.0542,20.54,22.67,****,,
CFS FC Inv-Platinum International,1.6131,1.6034,13.82,17.18,***,,
CFS FC WS Inv-Magellan W Global,1.7246,1.7177,16.54,23.66,****,,
CFS FC WS Inv-Platinum International,1.7022,1.6920,14.57,17.96,***,,
CFS Wholesale Indexed Global Share,1.9685,1.9626,20.05,21.92,***,,
Fiducian International Shares,1.2658,1.2570,17.81,18.68,***,,
IFP Global Franchise,1.8623,1.8537,18.60,20.74,****,,
IOOF MultiMix International Shares Trust,1.0958,1.0886,18.52,19.52,**,,
Ironbark GTP Global Equity Thematic,1.5901,1.5837,16.76,19.18,***,,
Magellan Global,1.6906,1.6872,16.69,24.12,*****,,
MLC UT/MKey InvSer Platinum Global,1.9766,1.9766,15.60,19.75,****,,
Platinum International,1.9233,1.9137,14.66,18.41,***,,
Platinum International Brands,2.4694,2.4570,3.37,14.90,****,,
PM Capital Absolute Performance,1.8781,1.8687,18.32,32.27,**,,
Russell Global Opportunities A,1.1932,1.1860,16.38,19.38,**,,
Russell International Shares A,1.0928,1.0874,17.20,21.33,***,,
UBS International Share,1.1288,1.1231,17.80,23.81,***,,
Vanguard Index International Shares,1.1442,1.1412,19.70,21.67,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.6589,2.6457,15.97,18.66,***,,
Aberdeen Select Inv Act Hgd Intl Share,0.9530,0.9482,15.70,18.40,***,,
Capital International Global Equity,1.1854,1.1830,16.06,21.60,***,,
Walter Scott Global Equity,1.6336,1.6282,14.48,18.47,***,,
Zurich Investments Gbl Thematic Shr,1.4913,1.4889,18.02,17.46,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5341,1.5317,19.13,18.57,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4279,1.4257,18.03,17.28,**,,
Zurich Investments Unhedged Global Gr,1.6143,1.6117,17.53,22.34,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1032,1.0976,15.99,18.33,***,,
AMP Capital W Global Equity Value,0.9375,0.9337,19.33,22.62,**,,
AUI Wingate Global Equity Fund,0.9317,0.9271,16.08,18.83,***,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.2157,1.2109,19.57,19.64,****,,
Perpetual Wholesale International Share,1.3445,1.3378,16.77,19.13,***,,
Platinum Unhedged,1.3615,1.3547,16.21,18.94,***,,
Realindex Global Share-Class A,1.2784,1.2746,17.53,19.93,***,,
Templeton Global Equity,1.1487,1.1441,16.03,23.69,****,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,10.9107,11.13,23.30,***,,
Hunter Hall Value Growth Trust,2.7831,2.7693,18.02,15.03,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,1.0018,0.9968,19.11,18.83,****,,
CFS Wholesale Infrastructure Income,NAv,1.1318,9.56,7.48,*,,
Macquarie International Infra Ses,1.1139,1.1083,19.24,20.20,***,,
Magellan Infrastructure,1.0277,1.0247,19.10,17.36,***,,
RARE Emerging Markets,2.1832,2.1701,21.09,19.06,**,,
RARE Infrastructure Value,1.1909,1.1855,16.64,16.82,***,,
RARE Infrastructure Value Unhedged,1.2780,1.2723,18.14,17.94,***,,
Russell Global Listed Infr $A Hedged,1.2786,1.2710,21.55,20.14,****,,
Australian Short Term Fixed Interest,,
IOOF MultiMix Cash Enhanced Trust,1.0092,1.0092,3.44,4.62,***,,
Russell Aus Cash Enhanced Fund Class A,1.0382,1.0372,3.95,4.70,***,,
Russell Australian Cash A,1.0315,1.0315,2.27,2.98,**,,
TPS Cash Management,NAv,NAv,2.35,3.18,**,,
UBS Cash Plus,1.0263,1.0248,3.28,4.00,***,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1588,1.1576,5.99,5.57,****,,
Aberdeen Income Focused Bond,1.0526,1.0521,5.93,5.67,****,,
Altius Bond,1.0127,1.0127,5.13,5.60,***,,
CFS FC W Inv-CFS W Australian Bond,1.1042,1.1020,5.33,5.01,***,,
CFS Wholesale Sovereign Australian Bond,0.9284,0.9266,2.62,3.81,**,,
Nikko AM Australian Bond,1.0674,1.0668,6.14,5.82,****,,
Perennial Fixed Interest Wholesale,1.0560,1.0560,6.04,6.71,*****,,
Perennial Tactical Income Trust,1.0709,1.0709,4.68,5.93,***,,
PIMCO EQT Wholesale Australian Bond,1.0137,1.0126,5.99,6.18,*****,,
PIMCO EQT Wholesale Australian Focus,1.0348,1.0337,4.13,5.07,**,,
Russell Australian Bond A,1.0591,1.0561,6.04,6.03,****,,
Russell Australian Bond Income,1.0714,1.0704,5.66,5.71,***,,
Schroder Fixed Income Wholesale,1.1149,1.1123,5.56,6.01,****,,
The Trust Company Bond,1.0384,1.0367,3.88,5.50,**,,
UBS Australian Bond,1.1049,1.1040,6.10,5.96,****,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0694,1.0672,8.45,7.88,*****,,
CFS Wholesale Global Corporate Bond,1.0392,1.0330,10.55,10.04,*****,,
PIMCO EQT Wholesale Global Bond,1.0073,1.0062,8.97,8.48,*****,,
Russell Global Bond B,1.0714,1.0660,9.74,NAv,NAv,,
Russell International Bond $A Hedged A,1.0652,1.0598,9.60,9.31,****,,
Bonds - Global / Australia,,
BT WE BT Macquarie Diversified Fixed Int,1.0313,1.0296,3.91,4.27,*,,
CFS FC W Inv-CFS W Diversified Fixed Int,1.0421,1.0380,5.15,4.95,***,,
CFS FC W Inv-FC W Fixed Interest,1.0347,1.0306,7.16,6.52,****,,
IOOF MultiMix Diversified Fixed Interest,1.0024,1.0024,6.97,7.19,****,,
Macquarie Diversified Fixed Interest,1.0573,1.0557,4.75,5.29,***,,
PIMCO EQT WS Diversified Fixed Interest,1.0029,1.0018,7.45,7.29,*****,,
UBS Diversified Fixed Income,0.8977,0.8960,7.89,6.69,****,,
Diversified Credit,,
Antares Income Fund,1.0061,1.0061,NAv,NAv,NAv,,
CFS FC W Inv-CFS W Global Credit Income,1.0081,1.0030,6.83,7.99,***,,
Macquarie Income Opportunities,1.0194,1.0164,4.41,5.87,***,,
Omega Global Corporate Bond,1.0278,1.0247,7.62,8.04,***,,
Perpetual Wholesale Diversified Income,0.9681,0.9662,5.35,6.38,***,,
