Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 3/9/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-06T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0470,1.0430,NAv,NAv,NAv,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,1.0085,1.0075,8.08,8.52,**,,
North Index Moderately Defensive,0.9531,0.9506,9.64,10.40,****,,
Pre Select Balanced,1.1778,1.1750,10.77,10.62,*****,,
Russell Diversified 50 A,1.0527,1.0484,8.69,9.83,****,,
Schroder Real Return CPI+5% Wholesale,1.1422,1.1376,7.04,8.49,**,,
SUMMIT Select - Active Mod Defensive,1.0745,1.0702,9.63,10.81,****,,
Summit Select Income Generator,1.1468,1.1423,9.80,11.50,*****,,
The Trust Company Philanthropy,0.8651,0.8621,10.12,9.49,**,,
Multisector Conservative,,
North Multi Manager Active Defensive,0.9920,0.9896,7.62,8.59,*****,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8639,0.8639,7.33,8.09,**,,
Advance Balanced Multi-Blend W,1.1349,1.1303,8.61,9.36,***,,
AMP FLI-AMP Balanced Growth,1.1008,1.0958,9.61,10.53,**,,
AMP Gen-Balanced,1.0274,1.0225,10.94,11.50,****,,
BT Active Bal WS,1.7017,1.6967,10.56,10.54,***,,
BT Investor Choice Bal Gr,1.2442,1.2399,9.24,10.17,***,,
BT Multi-Manager Bal Retail,1.0485,1.0443,7.52,8.26,*,,
CBA Balanced,NAv,1.5197,9.31,8.89,**,,
CBA Growth,NAv,1.6791,9.28,10.89,***,,
CFS FC Inv-FirstChoice Growth,1.1230,1.1185,11.44,10.69,**,,
CFS FC W Inv-CFS W Diversified,1.6084,1.6020,11.23,11.58,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0826,1.0793,12.76,12.03,*****,,
CFS FC W Inv-FirstChoice W Growth,1.1299,1.1254,12.47,11.73,***,,
CFS MIF-Diversified,1.8706,1.8631,10.31,10.66,**,,
DMG Diversified Portfolio,1.0593,1.0540,6.24,NAv,NAv,,
EQT Growth,1.4782,1.4678,12.56,12.38,NAv,,
Fiducian Balanced,1.1737,1.1679,11.41,10.93,***,,
IOOF MultiMix Balanced Growth Trust,1.0785,1.0725,11.04,11.17,***,,
IOOF Profile 75,0.9919,0.9905,11.98,11.21,***,,
ipac Classic Portfolio 2,0.9024,0.8978,11.08,11.59,***,,
ipac Pathways 70,0.9631,0.9582,11.50,12.19,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0785,1.0730,10.47,11.17,***,,
Macquarie Balanced Growth,1.0500,1.0464,10.62,10.42,NAv,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.4057,1.4029,10.38,10.46,***,,
North Index Balanced,0.8416,0.8393,11.62,12.33,****,,
North Multi Manager Active Growth,0.8801,0.8757,13.45,14.60,*****,,
North Multi Manager Balanced,0.9642,0.9601,11.89,13.02,*****,,
North Select Active Balanced,1.1831,1.1771,12.11,12.60,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6553,1.6553,10.08,10.41,**,,
Perpetual Wholesale Balanced Growth,1.5348,1.5296,11.91,13.41,*****,,
Pre Select Growth,1.2839,1.2801,13.43,12.70,*****,,
Russell Balanced A,0.9562,0.9517,10.17,11.30,****,,
Russell Balanced Class C,1.0269,1.0220,9.95,11.09,***,,
SUMMIT Select - Active Balanced,1.0421,1.0371,12.10,12.66,****,,
UBS Balanced Investment,1.3028,1.2976,12.39,12.99,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.1044,1.1020,5.72,6.19,***,,
BT Investor Choice Mod Gr,1.0871,1.0846,6.53,7.23,***,,
CFS FC Inv-FirstChoice Conservative,1.0539,1.0507,6.30,6.73,**,,
CFS FC W Inv-CFS W Conservative,1.1578,1.1555,6.83,7.05,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0728,1.0696,7.11,7.56,***,,
IOOF MultiMix Conservative Trust,1.0270,1.0244,7.98,8.21,****,,
ipac Classic Portfolio 1,0.9482,0.9447,7.15,7.97,***,,
ipac Pathways 30,0.9756,0.9720,7.36,8.34,****,,
Mercer Conservative,0.9842,0.9818,6.29,6.77,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1206,1.1194,6.47,7.57,***,,
North Index Defensive,0.9838,0.9816,7.45,8.37,****,,
North Multi Manager Active Moderately De,0.9565,0.9533,9.86,10.97,*****,,
Perpetual Wholesale Conservative Growth,1.1564,1.1534,8.11,9.38,*****,,
Russell Conservative A,0.9509,0.9476,7.10,8.20,****,,
UBS Defensive Investment,1.1941,1.1905,10.02,10.86,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.1108,1.1064,6.88,NAv,NAv,,
BT Australian Long Short WS,0.9248,0.9182,15.01,13.82,***,,
K2 Australian Absolute Return,197.0400,195.4700,12.09,11.12,***,,
Perpetual Pure Equity Alpha,1.0656,1.0613,9.20,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.5422,1.5330,13.18,13.04,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1627,1.1576,7.61,9.28,NAv,,
K2 Select International Absolute Return,151.7800,150.5800,4.38,8.46,***,,
UBS Dynamic Alpha Strategies Fund A,1.1751,1.1704,7.76,11.20,****,,
van Eyk Blueprint Alternatives,0.7931,0.7909,1.16,1.76,***,,
Winton Global Alpha,1.1788,1.1744,7.94,5.21,***,,
Commodities & Precious Metals,,
Credit Suisse Enhanced Commodity,0.0002,0.0002,2.06,-0.38,NAv,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.4485,2.4217,7.38,11.94,****,,
BT Asian Share Retail,6.7398,6.7060,6.58,7.08,**,,
BT Asian Share WS,1.5160,1.5084,7.54,8.03,***,,
Platinum Asia,2.9174,2.9028,21.18,13.59,****,,
Equity Australia Derivative Income,,
BT Balanced Equity Income,1.0004,0.9954,7.03,NAv,NAv,,
CFS FC W Inv-CFS W Equity Income,0.8177,0.8145,11.73,11.22,***,,
Merlon WS Australian Share Income,1.1621,1.1575,9.97,11.68,***,,
Zurich Investments Equity Income,0.7437,0.7415,11.72,10.38,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.7161,2.6999,17.25,15.56,****,,
AMP Gen-BlackRock Aust Equity Index,1.3443,1.3410,14.62,11.51,***,,
Antares Prof High Growth Shares,1.1736,1.1700,14.33,12.05,****,,
BlackRock Australian Share,1.8104,1.8005,12.87,10.84,**,,
BT Aus Share Retail,3.9829,3.9629,14.49,11.92,***,,
BT Aus Share WS,1.6309,1.6227,15.61,12.99,****,,
BT Class Inv Core Aus Shr,3.8310,3.8140,14.24,11.69,***,,
BT Core Aus Shr WS,2.3435,2.3318,15.56,12.98,****,,
BT Ethical Shr WS,1.6335,1.6253,15.01,11.79,***,,
BT Imp Shr Retail,1.7950,1.7870,12.70,10.95,***,,
BT Imputation Shr WS,2.1231,2.1125,13.73,11.98,****,,
BT Investor Choice Aus Tax Eff,2.0328,2.0226,13.71,12.58,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6894,1.6826,14.05,13.08,*****,,
CFS FC W Inv-CFS W Imputation,2.6617,2.6511,15.37,13.69,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0944,1.0922,16.12,13.11,***,,
CFS FC WS Inv-Schroder Australian Equity,1.4947,1.4887,15.60,14.58,*****,,
CFS MIF-Australian Share,2.3480,2.3387,16.41,13.36,***,,
CFS MIF-Imputation,3.8344,3.8191,14.33,12.70,***,,
CFS Wholesale Australian Share,2.1747,2.1660,17.45,14.31,****,,
EQT Flagship Common No 2,1.8755,1.8631,14.87,12.56,****,,
Fidelity Australian Equities,28.5513,28.4089,18.67,15.71,*****,,
Fiducian Australian Shares,1.5768,1.5674,15.90,10.99,***,,
IOOF MultiMix Australian Shares Trust,1.0567,1.0515,16.62,12.11,***,,
MLC UT/MKey InvSer Australian Share,1.7998,1.7944,11.82,10.43,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.5007,2.4982,14.85,11.92,***,,
Pengana Australian Equities Class A,1.6298,1.6217,9.02,15.49,*****,,
Russell Australian Share A,1.5569,1.5491,16.36,13.00,***,,
The Trust Company Share Imputation,2.9543,2.9454,16.60,14.90,****,,
UBS Australian Share,1.8696,1.8602,14.81,13.75,****,,
UCA Australian Equities Portfolio,13.0813,13.0031,13.07,10.53,**,,
UCA Growth Portfolio,4.4802,4.4533,14.37,10.70,***,,
Vanguard High Yield Australian Shares,1.5602,1.5562,16.16,18.67,*****,,
Vanguard Index Australian Shares,2.0895,2.0842,15.48,12.24,***,,
Westpac Aus Tax Eff Retail,0.9602,0.9554,13.09,11.92,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,4.2645,4.2292,33.53,23.79,****,,
CFS MIF-Geared Share,2.0941,2.0767,32.27,22.62,***,,
Perpetual Wholesale Geared Australian,3.9824,3.9526,39.35,30.53,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7992,1.7885,14.83,14.64,****,,
Ausbil Australian Active Equity,3.4660,3.4487,18.35,14.48,****,,
Greencape Wholesale Broadcap,1.4007,1.3923,18.15,15.15,*****,,
Greencape Wholesale High Conviction,1.4356,1.4270,17.32,13.86,****,,
Hyperion Australian Growth Companies,3.2895,3.2699,17.83,17.33,*****,,
Perennial Growth Shares Wholesale Trust,1.8183,1.8075,20.07,11.97,***,,
Russell Aust Opportunities Class A,1.4011,1.3913,17.96,13.35,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.4541,1.4483,17.36,19.19,****,,
Maple-Brown Abbott Imputation,1.2945,1.2945,15.52,13.83,**,,
Maple-Brown Abbott Imputation Wholesale,1.3057,1.2992,16.92,15.25,***,,
Maple-Brown Abbott Sharemarket,1.0473,1.0473,15.63,14.16,**,,
MLC UT/MKey InvSer Income Builder,2.7760,2.7676,15.22,17.52,***,,
Perennial Value Shares Wholesale Trust,1.3177,1.3099,18.63,13.07,***,,
Perpetual W Share Plus L/S,2.7321,2.7212,21.74,20.71,*****,,
Perpetual WFIA-Perpetual Aus Shr,3.1911,3.1816,17.37,14.97,****,,
Perpetual WFIA-Perpetual Indl Shr,2.5413,2.5337,17.49,19.28,****,,
Perpetual WFI-Perpetual Indl Shr,1.9152,1.9094,17.32,19.23,****,,
Perpetual Wholesale Australian,1.8215,1.8160,18.74,16.12,****,,
Perpetual Wholesale Concentrated Equity,1.9091,1.9034,20.31,18.17,****,,
Perpetual Wholesale Ethical SRI,2.0453,2.0391,16.76,21.80,*****,,
Perpetual Wholesale Industrial,1.6474,1.6425,18.30,20.36,****,,
Realindex Australian Share-Class A,1.2846,1.2820,16.66,15.22,***,,
Sandhurst BMF-Sandhurst Ind Share,1.9568,1.9471,13.43,18.04,****,,
The Trust Company Australian Share,2.5057,2.4982,15.56,14.60,***,,
Equity Australia Mid/Small Blend,,
Ausbil MicroCap,3.0685,3.0502,34.53,19.76,****,,
BT MicroCap Opportunities WS,2.4733,2.4559,29.23,16.94,*****,,
BT Smaller Companies Retail,1.8900,1.8820,12.15,9.80,***,,
BT Smaller Companies W,2.5247,2.5121,12.79,10.48,****,,
Celeste Australian Small Companies,3.0453,3.0269,3.23,4.47,***,,
CFS FC W Inv-CFS W Small Companies Core,1.6724,1.6641,19.51,10.71,****,,
Invesco W Aust Smaller Companies,2.7611,2.7419,8.30,5.76,***,,
Ironbark Karara Australian Small Comp,3.0590,3.0437,14.45,10.11,****,,
Pengana Emerging Companies,2.5439,2.5287,18.39,14.30,****,,
Smallco Investment,4.1128,4.0759,17.37,31.76,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.1642,3.1452,25.12,9.11,***,,
Australian Ethical Smaller Companies,2.1812,2.1808,13.51,13.05,****,,
CFS Developing Companies,2.1067,2.0983,17.04,12.00,****,,
CFS Future Leaders,4.1856,4.1689,18.28,9.32,***,,
Eley Griffiths Group Small Companies,2.0476,2.0369,13.94,8.46,***,,
Fairview Equity Partners Emerging Co,2.0627,2.0505,14.80,8.47,****,,
Hyperion Small Growth Companies,3.8042,3.7814,10.35,21.77,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.4609,1.4551,25.61,15.62,***,,
Perpetual WFIA-Perpetual Small Coms,2.7295,2.7213,19.14,10.73,**,,
Perpetual Wholesale Smaller Companies,1.2914,1.2876,20.01,11.56,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.2062,1.2002,16.15,13.22,NAv,,
The Montgomery,1.3950,1.3880,13.68,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4974,1.4898,17.64,19.26,*****,,
APN Property for Income,1.9639,1.9540,15.75,15.44,***,,
BT Property Securities W,0.6907,0.6872,16.74,18.81,****,,
CFS FC W Inv-CFS W Property Securities,0.7937,0.7906,16.62,18.96,***,,
Cromwell Phoenix Property Securities,1.1028,1.0984,20.34,25.28,*****,,
Ironbark Paladin Property Securities,0.7401,0.7364,16.94,19.22,***,,
SG Hiscock Premier Property Securities,0.7729,0.7699,19.77,20.49,*****,,
SG Hiscock WS Property Securities,0.7291,0.7261,18.93,19.59,****,,
UBS Property Securities,0.8937,0.8874,17.09,20.37,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.2313,2.2068,7.33,9.05,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7558,1.7436,10.19,15.95,*****,,
CFS Wholesale Global Emerging Market,1.6287,1.6173,7.71,13.44,****,,
Realindex Emerging Markets-Class A,1.0138,1.0097,11.38,4.94,***,,
Russell Emerging Markets Fund Class A,1.1415,1.1313,12.82,7.67,***,,
Walter Scott Emerging Markets,1.1911,1.1846,1.43,7.21,***,,
Equity Europe,,
Platinum European,2.5324,2.5197,5.66,15.11,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8378,0.8318,15.19,14.46,***,,
BT Global Property Secs WS,1.0378,1.0352,14.84,12.01,****,,
EQT SGH LaSalle Global Listed Prop Secs,1.2030,1.1970,15.23,12.32,***,,
Invesco WS Global Property Secs Hgd A,1.1035,1.0958,14.40,12.68,**,,
Ironbark Global (ex-Aus) Property Secs,0.7541,0.7495,14.47,11.31,***,,
Resolution Capital Global Prp Secs (WS),1.6085,1.5989,15.98,13.78,****,,
Russell Intl Property Secs Hedged A,0.9714,0.9656,16.08,12.81,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.7017,1.6915,19.02,-5.17,NAv,,
Equity Greater China,,
Premium China,1.8405,1.8313,13.49,3.64,***,,
Equity Japan,,
Platinum Japan,3.0167,3.0016,13.59,22.25,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1721,1.1673,21.99,17.58,*****,,
Capital International Global Equity Hgd,1.0862,1.0840,15.53,14.58,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.9209,0.9173,14.18,16.21,*****,,
Russell International Shares Hedged A,0.7346,0.7306,15.48,14.82,***,,
Walter Scott Global Equity Hedged,1.1328,1.1280,13.64,13.80,**,,
Zurich Investments Hgd Gbl Thematic Shr,1.1179,1.1161,16.48,12.74,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.3823,1.3741,6.50,NAv,NAv,,
Arrowstreet Global Equity,0.9372,0.9343,15.98,20.39,*****,,
BT Core Gbl Share WS,1.1423,1.1411,11.53,19.19,****,,
BT International Share Retail,2.7872,2.7844,10.72,18.13,***,,
Candriam Sustainable Global Equity,1.0733,1.0648,13.24,19.49,****,,
CFS FC WS Inv-Platinum International,1.7351,1.7247,13.10,15.42,***,,
CFS Wholesale Indexed Global Share,1.9725,1.9666,11.56,18.08,***,,
Fiducian International Shares,1.2406,1.2319,10.62,13.62,***,,
IFP Global Franchise,1.8281,1.8197,8.24,19.47,*****,,
IOOF MultiMix International Shares Trust,1.1116,1.1042,11.76,14.86,**,,
Ironbark GTP Global Equity Thematic,1.6370,1.6304,14.23,14.10,***,,
Magellan Global,1.6519,1.6485,5.69,23.49,*****,,
MLC UT/MKey InvSer Platinum Global,2.0209,2.0209,16.59,16.40,****,,
Platinum International,1.9626,1.9528,13.79,16.43,****,,
Platinum International Brands,2.4891,2.4766,1.87,12.02,****,,
PM Capital Absolute Performance,1.7868,1.7778,7.02,24.26,**,,
Russell Global Opportunities A,1.2011,1.1939,8.24,14.76,**,,
Russell International Shares A,1.0959,1.0905,8.23,16.41,**,,
UBS International Share,1.1400,1.1343,11.57,18.22,***,,
Vanguard Index International Shares,1.1434,1.1404,11.15,17.81,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.7098,2.6962,11.27,16.38,****,,
Capital International Global Equity,1.2017,1.1993,10.06,17.08,***,,
Walter Scott Global Equity,1.6203,1.6149,8.20,16.06,***,,
Zurich Investments Gbl Thematic Shr,1.4977,1.4953,10.71,14.57,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5456,1.5432,11.77,15.67,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4343,1.4321,10.78,14.41,**,,
Zurich Investments Unhedged Global Gr,1.6306,1.6280,11.92,17.64,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1252,1.1196,11.10,16.05,****,,
AMP Capital W Global Equity Value,0.9528,0.9490,13.36,16.96,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.2148,1.2100,10.22,18.77,****,,
Perpetual Wholesale International Share,1.3485,1.3418,6.80,15.65,***,,
Platinum Unhedged,1.4185,1.4114,16.85,16.82,****,,
Realindex Global Share-Class A,1.2901,1.2862,12.92,15.88,***,,
Templeton Global Equity,1.1808,1.1760,12.79,19.83,****,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,11.4539,8.76,17.33,***,,
Hunter Hall Value Growth Trust,2.8887,2.8715,14.18,9.59,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,1.0393,1.0341,19.81,16.51,****,,
CFS Wholesale Infrastructure Income,NAv,1.1199,10.21,7.90,*,,
Macquarie International Infra Ses,1.1778,1.1720,19.52,17.05,***,,
Magellan Infrastructure,1.0601,1.0569,17.07,16.39,****,,
RARE Emerging Markets,2.0912,2.0787,10.33,13.72,**,,
RARE Infrastructure Value,1.2548,1.2491,16.37,14.26,***,,
RARE Infrastructure Value Unhedged,1.2885,1.2827,12.36,15.89,***,,
Australian Short Term Fixed Interest,,
BT Wholesale Enhanced Cash,1.0664,1.0656,3.56,4.60,****,,
IOOF MultiMix Cash Enhanced Trust,1.0069,1.0069,3.65,4.67,***,,
IOOF/Perennial Flex Cash & Income,1.0000,1.0000,1.85,2.77,*,,
Russell Aus Cash Enhanced Fund Class A,1.0402,1.0392,4.18,4.57,***,,
Russell Australian Cash A,1.0330,1.0330,2.28,3.11,**,,
TPS Cash Management,NAv,NAv,2.34,3.32,**,,
UCA Cash Portfolio,1.0000,1.0000,4.12,4.98,****,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1639,1.1627,5.56,6.38,****,,
Aberdeen Income Focused Bond,1.0722,1.0717,5.37,6.53,****,,
Altius Bond,1.0147,1.0147,5.18,6.17,***,,
BT Fixed Interest WS,1.1878,1.1863,5.38,6.29,***,,
CFS FC W Inv-CFS W Australian Bond,1.1139,1.1117,5.05,5.47,***,,
CFS Wholesale Sovereign Australian Bond,0.9311,0.9292,2.45,4.45,**,,
Perennial Fixed Interest Wholesale,1.0602,1.0602,5.90,7.15,*****,,
Perennial Tactical Income Trust,1.0768,1.0768,5.49,6.00,****,,
PIMCO EQT Wholesale Australian Bond,1.0111,1.0100,5.29,6.63,*****,,
PIMCO EQT Wholesale Australian Focus,1.0336,1.0325,3.83,5.17,**,,
Russell Australian Bond A,1.0635,1.0605,5.59,6.61,****,,
Russell Australian Bond Income,1.0773,1.0763,5.27,6.39,***,,
Schroder Fixed Income Wholesale,1.1196,1.1170,5.30,6.53,****,,
The Trust Company Bond,1.0398,1.0381,4.10,5.67,**,,
Tyndall Australian Bond,1.0702,1.0696,5.68,6.41,****,,
UBS Australian Bond,1.1106,1.1097,5.66,6.61,***,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0691,1.0669,7.73,7.53,*****,,
CFS Wholesale Global Corporate Bond,1.0510,1.0447,10.46,9.74,*****,,
PIMCO EQT Wholesale Global Bond,1.0100,1.0089,8.90,7.89,*****,,
Russell Global Bond B,1.0619,1.0567,11.10,NAv,NAv,,
Russell International Bond $A Hedged A,1.0605,1.0553,7.83,9.35,****,,
Bonds - Global / Australia,,
BT WE BT Macquarie Diversified Fixed Int,1.0338,1.0321,4.12,4.78,**,,
CFS FC W Inv-CFS W Diversified Fixed Int,1.0461,1.0419,5.05,4.79,***,,
CFS FC W Inv-FC W Fixed Interest,1.0348,1.0306,6.12,6.86,***,,
IOOF MultiMix Diversified Fixed Interest,1.0083,1.0083,6.75,7.22,****,,
Macquarie Diversified Fixed Interest,1.0620,1.0604,4.63,5.64,***,,
PIMCO EQT WS Diversified Fixed Interest,1.0031,1.0020,7.05,7.23,****,,
UBS Diversified Fixed Income,0.9046,0.9028,7.24,6.73,****,,
Diversified Credit,,
CFS FC W Inv-CFS W Global Credit Income,1.0154,1.0103,6.89,6.62,***,,
Macquarie Income Opportunities,1.0225,1.0195,4.77,5.62,***,,
Omega Global Corporate Bond,1.0224,1.0193,6.80,7.09,***,,
Perpetual Wholesale Diversified Income,0.9769,0.9750,5.86,6.26,***,,
PIMCO EQT Wholesale Global Credit,0.9933,0.9913,7.51,7.42,*****,,
PM Capital Enhanced Yield,1.1193,1.1171,5.29,5.38,***,,
Schroder Credit Securities Wholesale,1.1048,1.1004,5.45,5.93,***,,
UBS Diversified Credit,0.9774,0.9735,6.95,7.01,***,,
UBS Global Credit,1.0464,1.0433,9.08,8.17,****,,
High Yield Credit,,
Bentham Wholesale Syndicated Loan,1.0232,1.0140,8.10,9.44,***,,
Mortgages,,
