Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 20/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-23T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0369,1.0329,NAv,NAv,NAv,,
CFS MIF-Diversified,1.8598,1.8523,10.31,10.66,**,,
DMG Diversified Portfolio,1.0515,1.0462,6.24,NAv,NAv,,
EQT Growth,1.4612,1.4510,12.56,12.38,NAv,,
Fiducian Balanced,1.1606,1.1548,11.41,10.93,***,,
IOOF MultiMix Balanced Growth Trust,1.0670,1.0610,11.04,11.17,***,,
IOOF Profile 75,0.9800,0.9786,11.98,11.21,***,,
ipac Classic Portfolio 2,0.8938,0.8892,11.08,11.59,***,,
ipac Pathways 70,0.9537,0.9489,11.50,12.19,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0684,1.0630,10.47,11.17,***,,
Macquarie Balanced Growth,1.0315,1.0280,10.62,10.42,NAv,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3940,1.3912,10.38,10.46,***,,
North Index Balanced,0.8337,0.8313,11.62,12.33,****,,
North Multi Manager Active Growth,0.8695,0.8652,13.45,14.60,*****,,
North Multi Manager Balanced,0.9543,0.9502,11.89,13.02,*****,,
North Select Active Balanced,1.1716,1.1656,12.11,12.60,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6310,1.6310,10.08,10.41,**,,
Perpetual Wholesale Balanced Growth,1.5229,1.5177,11.91,13.41,*****,,
Pre Select Growth,1.2707,1.2669,13.43,12.70,*****,,
Russell Balanced A,0.9463,0.9418,10.17,11.30,****,,
Russell Balanced Class C,1.0163,1.0116,9.95,11.09,***,,
SUMMIT Select - Active Balanced,1.0318,1.0268,12.10,12.66,****,,
UBS Balanced Investment,1.2863,1.2812,12.39,12.99,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.1014,1.0991,5.72,6.19,***,,
BT Investor Choice Mod Gr,1.0795,1.0770,6.53,7.23,***,,
CFS FC Inv-FirstChoice Conservative,1.0495,1.0463,6.30,6.73,**,,
CFS FC W Inv-CFS W Conservative,1.1546,1.1523,6.83,7.05,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0680,1.0648,7.11,7.56,***,,
IOOF MultiMix Conservative Trust,1.0207,1.0181,7.98,8.21,****,,
ipac Classic Portfolio 1,0.9436,0.9401,7.15,7.97,***,,
ipac Pathways 30,0.9706,0.9671,7.36,8.34,****,,
Mercer Conservative,0.9781,0.9757,6.29,6.77,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1177,1.1166,6.47,7.57,***,,
North Index Defensive,0.9786,0.9765,7.45,8.37,****,,
North Multi Manager Active Moderately De,0.9490,0.9458,9.86,10.97,*****,,
Perpetual Wholesale Conservative Growth,1.1514,1.1485,8.11,9.38,*****,,
Russell Conservative A,0.9451,0.9418,7.10,8.20,****,,
UBS Defensive Investment,1.1843,1.1807,10.02,10.86,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.1018,1.0974,6.88,NAv,NAv,,
BT Australian Long Short WS,0.9106,0.9042,15.01,13.82,***,,
K2 Australian Absolute Return,194.2500,192.7100,12.09,11.12,***,,
Perpetual Pure Equity Alpha,1.0620,1.0578,9.20,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.5148,1.5058,13.18,13.04,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1402,1.1352,7.61,9.28,NAv,,
K2 Select International Absolute Return,151.6500,150.4500,4.38,8.46,***,,
UBS Dynamic Alpha Strategies Fund A,1.1625,1.1579,7.76,11.20,****,,
van Eyk Blueprint Alternatives,0.7990,0.7968,1.16,1.76,***,,
Winton Global Alpha,1.1382,1.1340,7.94,5.21,***,,
Commodities & Precious Metals,,
Credit Suisse Enhanced Commodity,0.2548,0.2548,2.06,-0.38,NAv,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.4292,2.4027,7.38,11.94,****,,
BT Asian Share Retail,6.7638,6.7300,6.58,7.08,**,,
BT Asian Share WS,1.5207,1.5131,7.54,8.03,***,,
Platinum Asia,2.9210,2.9064,21.18,13.59,****,,
Equity Australia Derivative Income,,
BT Balanced Equity Income,0.9990,0.9940,7.03,NAv,NAv,,
CFS FC W Inv-CFS W Equity Income,0.8093,0.8061,11.73,11.22,***,,
Merlon WS Australian Share Income,1.1388,1.1342,9.97,11.68,***,,
Zurich Investments Equity Income,0.7427,0.7405,11.72,10.38,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.6839,2.6679,17.25,15.56,****,,
AMP Gen-BlackRock Aust Equity Index,1.3252,1.3220,14.62,11.51,***,,
Antares Prof High Growth Shares,1.1596,1.1562,14.33,12.05,****,,
BlackRock Australian Share,1.8001,1.7902,12.87,10.84,**,,
BT Aus Share Retail,3.9213,3.9017,14.49,11.92,***,,
BT Aus Share WS,1.6049,1.5969,15.61,12.99,****,,
BT Class Inv Core Aus Shr,3.7730,3.7570,14.24,11.69,***,,
BT Core Aus Shr WS,2.3062,2.2947,15.56,12.98,****,,
BT Ethical Shr WS,1.6047,1.5967,15.01,11.79,***,,
BT Imp Shr Retail,1.7690,1.7610,12.70,10.95,***,,
BT Imputation Shr WS,2.0917,2.0812,13.73,11.98,****,,
BT Investor Choice Aus Tax Eff,2.0111,2.0009,13.71,12.58,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6786,1.6719,14.05,13.08,*****,,
CFS FC W Inv-CFS W Imputation,2.6442,2.6336,15.37,13.69,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0880,1.0859,16.12,13.11,***,,
CFS MIF-Australian Share,2.3281,2.3188,16.41,13.36,***,,
CFS MIF-Imputation,3.8089,3.7937,14.33,12.70,***,,
CFS Wholesale Australian Share,2.1559,2.1473,17.45,14.31,****,,
EQT Flagship Common No 2,1.8687,1.8564,14.87,12.56,****,,
Fidelity Australian Equities,28.4209,28.2791,18.67,15.71,*****,,
Fiducian Australian Shares,1.5510,1.5417,15.90,10.99,***,,
IOOF MultiMix Australian Shares Trust,1.0400,1.0348,16.62,12.11,***,,
MLC UT/MKey InvSer Australian Share,1.7702,1.7649,11.82,10.43,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.4725,2.4700,14.85,11.92,***,,
Pengana Australian Equities Class A,1.6085,1.6004,9.02,15.49,*****,,
Russell Australian Share A,1.5339,1.5263,16.36,13.00,***,,
The Trust Company Share Imputation,2.9279,2.9192,16.60,14.90,****,,
UBS Australian Share,1.8251,1.8160,14.81,13.75,****,,
UCA Australian Equities Portfolio,13.0813,13.0031,13.07,10.53,**,,
UCA Growth Portfolio,4.4802,4.4533,14.37,10.70,***,,
Vanguard High Yield Australian Shares,1.5328,1.5289,16.16,18.67,*****,,
Vanguard Index Australian Shares,2.0588,2.0536,15.48,12.24,***,,
Westpac Aus Tax Eff Retail,0.9501,0.9453,13.09,11.92,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,4.1451,4.1103,33.53,23.79,****,,
CFS MIF-Geared Share,2.0363,2.0192,32.27,22.62,***,,
Perpetual Wholesale Geared Australian,3.9176,3.8883,39.35,30.53,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7834,1.7727,14.83,14.64,****,,
Ausbil Australian Active Equity,3.4220,3.4049,18.35,14.48,****,,
Greencape Wholesale Broadcap,1.3759,1.3677,18.15,15.15,*****,,
Greencape Wholesale High Conviction,1.4103,1.4019,17.32,13.86,****,,
Hyperion Australian Growth Companies,3.1862,3.1672,17.83,17.33,*****,,
Perennial Growth Shares Wholesale Trust,1.7962,1.7854,20.07,11.97,***,,
Platypus Australian Equities - Wholesale,1.2515,1.2465,16.74,13.00,***,,
Russell Aust Opportunities Class A,1.3798,1.3702,17.96,13.35,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.4294,1.4237,17.36,19.19,****,,
Maple-Brown Abbott Imputation,1.2772,1.2772,15.52,13.83,**,,
Maple-Brown Abbott Imputation Wholesale,1.2877,1.2813,16.92,15.25,***,,
Maple-Brown Abbott Sharemarket,1.0333,1.0333,15.63,14.16,**,,
MLC UT/MKey InvSer Income Builder,2.7355,2.7273,15.22,17.52,***,,
Perennial Value Shares Wholesale Trust,1.2957,1.2879,18.63,13.07,***,,
Perpetual W Share Plus L/S,2.7031,2.6923,21.74,20.71,*****,,
Perpetual WFIA-Perpetual Aus Shr,3.1668,3.1573,17.37,14.97,****,,
Perpetual WFIA-Perpetual Indl Shr,2.4839,2.4765,17.49,19.28,****,,
Perpetual WFI-Perpetual Indl Shr,1.8666,1.8610,17.32,19.23,****,,
Perpetual Wholesale Australian,1.8069,1.8015,18.74,16.12,****,,
Perpetual Wholesale Concentrated Equity,1.8895,1.8839,20.31,18.17,****,,
Perpetual Wholesale Ethical SRI,1.9781,1.9722,16.76,21.80,*****,,
Perpetual Wholesale Industrial,1.6051,1.6003,18.30,20.36,****,,
Realindex Australian Share-Class A,1.2678,1.2652,16.66,15.22,***,,
Sandhurst BMF-Sandhurst Ind Share,1.9151,1.9055,13.43,18.04,****,,
The Trust Company Australian Share,2.4835,2.4760,15.56,14.60,***,,
Equity Australia Mid/Small Blend,,
Ausbil MicroCap,2.9423,2.9247,34.53,19.76,****,,
BT MicroCap Opportunities WS,2.3988,2.3820,29.23,16.94,*****,,
BT Smaller Companies Retail,1.8570,1.8490,12.15,9.80,***,,
BT Smaller Companies W,2.4802,2.4678,12.79,10.48,****,,
Celeste Australian Small Companies,3.0199,3.0018,3.23,4.47,***,,
CFS FC W Inv-CFS W Small Companies Core,1.6199,1.6118,19.51,10.71,****,,
Invesco W Aust Smaller Companies,2.7120,2.6931,8.30,5.76,***,,
Ironbark Karara Australian Small Comp,2.9702,2.9553,14.45,10.11,****,,
Pengana Emerging Companies,2.4574,2.4427,18.39,14.30,****,,
Smallco Investment,3.9403,3.9050,17.37,31.76,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.1019,3.0833,25.12,9.11,***,,
Australian Ethical Smaller Companies,2.1296,2.1292,13.51,13.05,****,,
CFS Developing Companies,2.0529,2.0447,17.04,12.00,****,,
CFS Future Leaders,4.1368,4.1203,18.28,9.32,***,,
Eley Griffiths Group Small Companies,2.0299,2.0193,13.94,8.46,***,,
Fairview Equity Partners Emerging Co,2.0306,2.0186,14.80,8.47,****,,
Hyperion Small Growth Companies,3.6293,3.6075,10.35,21.77,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.4175,1.4119,25.61,15.62,***,,
Perpetual WFIA-Perpetual Small Coms,2.6511,2.6432,19.14,10.73,**,,
Perpetual Wholesale Smaller Companies,1.2541,1.2503,20.01,11.56,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1872,1.1812,16.15,13.22,NAv,,
The Montgomery,1.3555,1.3488,13.68,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4934,1.4859,17.64,19.26,*****,,
APN Property for Income,1.9768,1.9669,15.75,15.44,***,,
BT Property Securities W,0.6855,0.6820,16.74,18.81,****,,
CFS FC W Inv-CFS W Property Securities,0.7902,0.7870,16.62,18.96,***,,
Cromwell Phoenix Property Securities,1.0964,1.0920,20.34,25.28,*****,,
Ironbark Paladin Property Securities,0.7320,0.7283,16.94,19.22,***,,
SG Hiscock Premier Property Securities,0.7729,0.7699,19.77,20.49,*****,,
SG Hiscock WS Property Securities,0.7218,0.7190,18.93,19.59,****,,
UBS Property Securities,0.8813,0.8752,17.09,20.37,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.2057,2.1815,7.33,9.05,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7324,1.7204,10.19,15.95,*****,,
CFS Wholesale Global Emerging Market,1.6234,1.6121,7.71,13.44,****,,
Realindex Emerging Markets-Class A,1.0040,1.0000,11.38,4.94,***,,
Russell Emerging Markets Fund Class A,1.1267,1.1167,12.82,7.67,***,,
Walter Scott Emerging Markets,1.1937,1.1872,1.43,7.21,***,,
Equity Europe,,
Platinum European,2.5368,2.5241,5.66,15.11,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8315,0.8256,15.19,14.46,***,,
BT Global Property Secs WS,1.0314,1.0288,14.84,12.01,****,,
EQT SGH LaSalle Global Listed Prop Secs,1.1965,1.1905,15.23,12.32,***,,
Invesco WS Global Property Secs Hgd A,1.0970,1.0893,14.40,12.68,**,,
Ironbark Global (ex-Aus) Property Secs,0.7489,0.7444,14.47,11.31,***,,
Resolution Capital Global Prp Secs (WS),1.6030,1.5934,15.98,13.78,****,,
Russell Intl Property Secs Hedged A,0.9634,0.9576,16.08,12.81,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.7383,1.7279,19.02,-5.17,NAv,,
Equity Greater China,,
Premium China,1.8428,1.8336,13.49,3.64,***,,
Equity Japan,,
Platinum Japan,3.0074,2.9924,13.59,22.25,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1401,1.1354,21.99,17.58,*****,,
Capital International Global Equity Hgd,1.0674,1.0652,15.53,14.58,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.9029,0.8993,14.18,16.21,*****,,
Russell International Shares Hedged A,0.7203,0.7165,15.48,14.82,***,,
Walter Scott Global Equity Hedged,1.1137,1.1089,13.64,13.80,**,,
Zurich Investments Hgd Gbl Thematic Shr,1.1005,1.0987,16.48,12.74,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.3730,1.3648,6.50,NAv,NAv,,
Arrowstreet Global Equity,0.9179,0.9150,15.98,20.39,*****,,
BT Core Gbl Share WS,1.1294,1.1282,11.53,19.19,****,,
BT International Share Retail,2.7563,2.7535,10.72,18.13,***,,
Candriam Sustainable Global Equity,1.0615,1.0531,13.24,19.49,****,,
CFS FC Inv-Platinum International,1.6555,1.6456,12.38,14.67,***,,
CFS FC WS Inv-Platinum International,1.7454,1.7349,13.10,15.42,***,,
CFS Wholesale Indexed Global Share,1.9624,1.9565,11.56,18.08,***,,
Fiducian International Shares,1.2237,1.2151,10.62,13.62,***,,
IFP Global Franchise,1.8062,1.7979,8.24,19.47,*****,,
IOOF MultiMix International Shares Trust,1.0957,1.0885,11.76,14.86,**,,
Ironbark GTP Global Equity Thematic,1.6275,1.6210,14.23,14.10,***,,
Magellan Global,1.6407,1.6375,5.69,23.49,*****,,
MLC UT/MKey InvSer Platinum Global,2.0223,2.0223,16.59,16.40,****,,
Platinum International,1.9623,1.9525,13.79,16.43,****,,
Platinum International Brands,2.4894,2.4769,1.87,12.02,****,,
PM Capital Absolute Performance,1.7576,1.7488,7.02,24.26,**,,
Russell Global Opportunities A,1.1874,1.1802,8.24,14.76,**,,
Russell International Shares A,1.0829,1.0775,8.23,16.41,**,,
UBS International Share,1.1271,1.1215,11.57,18.22,***,,
Vanguard Index International Shares,1.1317,1.1288,11.15,17.81,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.6753,2.6619,11.27,16.38,****,,
Capital International Global Equity,1.1895,1.1871,10.06,17.08,***,,
Walter Scott Global Equity,1.6060,1.6008,8.20,16.06,***,,
Zurich Investments Gbl Thematic Shr,1.4840,1.4816,10.71,14.57,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5309,1.5285,11.77,15.67,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4210,1.4188,10.78,14.41,**,,
Zurich Investments Unhedged Global Gr,1.6223,1.6197,11.92,17.64,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1120,1.1064,11.10,16.05,****,,
AMP Capital W Global Equity Value,0.9406,0.9368,13.36,16.96,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.2003,1.1955,10.22,18.77,****,,
Perpetual Wholesale International Share,1.3316,1.3249,6.80,15.65,***,,
Platinum Unhedged,1.4113,1.4042,16.85,16.82,****,,
Realindex Global Share-Class A,1.2783,1.2745,12.92,15.88,***,,
Templeton Global Equity,1.1657,1.1611,12.79,19.83,****,,
Equity World Mid/Small,,
Fidelity Select Global Small Cap,NAv,11.4193,8.76,17.33,***,,
Hunter Hall Value Growth Trust,2.7920,2.7752,14.18,9.59,***,,
Infrastructure - Global,,
CFS FC W Inv-CFS W Glbl Listed Infra Sec,1.0108,1.0057,19.81,16.51,****,,
CFS Wholesale Infrastructure Income,NAv,1.1198,10.21,7.90,*,,
Macquarie International Infra Ses,1.1532,1.1474,19.52,17.05,***,,
Magellan Infrastructure,1.0333,1.0303,17.07,16.39,****,,
RARE Emerging Markets,2.1289,2.1162,10.33,13.72,**,,
RARE Infrastructure Value,1.2392,1.2336,16.37,14.26,***,,
RARE Infrastructure Value Unhedged,1.2837,1.2780,12.36,15.89,***,,
Australian Short Term Fixed Interest,,
BT Wholesale Enhanced Cash,1.0647,1.0639,3.56,4.60,****,,
IOOF MultiMix Cash Enhanced Trust,1.0056,1.0056,3.65,4.67,***,,
IOOF/Perennial Flex Cash & Income,1.0000,1.0000,1.85,2.77,*,,
Russell Aus Cash Enhanced Fund Class A,1.0385,1.0375,4.18,4.57,***,,
Russell Australian Cash A,1.0321,1.0321,2.28,3.11,**,,
TPS Cash Management,NAv,NAv,2.34,3.32,**,,
UCA Cash Portfolio,1.0000,1.0000,4.12,4.98,****,,
Bonds - Australia,,
Aberdeen Australian Fixed Income,1.1620,1.1608,5.56,6.38,****,,
Aberdeen Income Focused Bond,1.0733,1.0728,5.37,6.53,****,,
Altius Bond,1.0133,1.0133,5.18,6.17,***,,
BT Fixed Interest WS,1.1831,1.1816,5.38,6.29,***,,
CFS FC W Inv-CFS W Australian Bond,1.1108,1.1085,5.05,5.47,***,,
CFS Wholesale Sovereign Australian Bond,0.9303,0.9284,2.45,4.45,**,,
Perennial Fixed Interest Wholesale,1.0574,1.0574,5.90,7.15,*****,,
Perennial Tactical Income Trust,1.0755,1.0755,5.49,6.00,****,,
PIMCO EQT Wholesale Australian Bond,1.0095,1.0084,5.29,6.63,*****,,
PIMCO EQT Wholesale Australian Focus,1.0325,1.0314,3.83,5.17,**,,
Russell Australian Bond A,1.0611,1.0581,5.59,6.61,****,,
Russell Australian Bond Income,1.0755,1.0745,5.27,6.39,***,,
Schroder Fixed Income Wholesale,1.1170,1.1144,5.30,6.53,****,,
The Trust Company Bond,1.0377,1.0361,4.10,5.67,**,,
Tyndall Australian Bond,1.0685,1.0679,5.68,6.41,****,,
UBS Australian Bond,1.1078,1.1070,5.66,6.61,***,,
Bonds - Global,,
Advance Int Fix Intr Multi-Blend W,1.0631,1.0609,7.73,7.53,*****,,
CFS Wholesale Global Corporate Bond,1.0432,1.0369,10.46,9.74,*****,,
PIMCO EQT Wholesale Global Bond,1.0010,0.9999,8.90,7.89,*****,,
Russell Global Bond B,1.0670,1.0616,11.10,NAv,NAv,,
Russell International Bond $A Hedged A,1.0522,1.0470,7.83,9.35,****,,
Bonds - Global / Australia,,
BT WE BT Macquarie Diversified Fixed Int,1.0294,1.0277,4.12,4.78,**,,
CFS FC W Inv-CFS W Diversified Fixed Int,1.0432,1.0390,5.05,4.79,***,,
CFS FC W Inv-FC W Fixed Interest,1.0297,1.0255,6.12,6.86,***,,
IOOF MultiMix Diversified Fixed Interest,1.0036,1.0036,6.75,7.22,****,,
Macquarie Diversified Fixed Interest,1.0557,1.0541,4.63,5.64,***,,
PIMCO EQT WS Diversified Fixed Interest,0.9978,0.9968,7.05,7.23,****,,
UBS Diversified Fixed Income,0.8992,0.8974,7.24,6.73,****,,
Diversified Credit,,
CFS FC W Inv-CFS W Global Credit Income,1.0153,1.0102,6.89,6.62,***,,
Macquarie Income Opportunities,1.0196,1.0166,4.77,5.62,***,,
Omega Global Corporate Bond,1.0197,1.0166,6.80,7.09,***,,
Perpetual Wholesale Diversified Income,0.9753,0.9733,5.86,6.26,***,,
PIMCO EQT Wholesale Global Credit,0.9878,0.9858,7.51,7.42,*****,,
PM Capital Enhanced Yield,1.1177,1.1155,5.29,5.38,***,,
Schroder Credit Securities Wholesale,1.1019,1.0975,5.45,5.93,***,,
UBS Diversified Credit,0.9751,0.9712,6.95,7.01,***,,
UBS Global Credit,1.0381,1.0349,9.08,8.17,****,,
High Yield Credit,,
Bentham Wholesale Syndicated Loan,1.0187,1.0095,8.10,9.44,***,,
