Managed Funds Performance - Rankings & Ratings,,,,,,,,,,,,,,,,,,,,
Latest available data as at: 13/8/2014,,,,,,,,,,,,,,,,,,,,
Performance as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
Product Star Ratings as at: 31/7/2014,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-16T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"HOW TO READ THE MANAGED FUNDS TABLES:  Tables show unit trusts. Funds are then grouped together by the assets they invest in, showing latest-available entry and exit prices, one- and three-year returns, and Morningstar Rating from one to five stars. Funds are ranked by alphabetical order within categories. The Morningstar Rating is an assessment of a fund's past performance - based on both return and risk - which shows how similar investments compare with their competitors. A high rating alone is insufficient basis for an investment decision. Questions/More Information: Phone 1 800 03 44 55 or online help.au@morningstar.com",,,,,,,,,,,,,,,,,,,,,,,
"COPYRIGHT:  Morningstar Australasia Pty Ltd (Morningstar) ABN: 95 090 665 544, AFSL: 240892 (a subsidiary of Morningstar, Inc).",,,,,,,,,,,,,,,,,,,,,,,
"DISCLAIMER:  The data and content contained herein are not guaranteed to be accurate, complete or timely. Neither Morningstar, nor its affiliates nor their content providers will have any liability for use or distribution of any of this information. To the extent that any of this information constitutes advice, it is general advice that has been prepared by Morningstar without reference to your objectives, financial situation or needs. Before acting, you should consider the appropriateness of the advice and obtain financial, legal and taxation advice before making any financial investment decision. Investors should obtain the relevant product disclosure statement and consider it before making any decision to invest. Please refer to our Financial Services Guide (FSG) for more information at www.morningstar.com.au/fsg.asp",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fund Name,Entry Price,Exit Price,1 Yr Perf,3 Yr Perf,Star Rating,,,,,,,,,,,,,,,
,
,
INVESTMENT TRUSTS,,
Multisector Aggressive,,
1970's Lifestage Fund - A,1.0265,1.0225,NAv,NAv,NAv,,
MLC UT/MKey InvSer Horizon 3-Conserv Gr,0.9986,0.9976,8.08,8.52,**,,
North Index Moderately Defensive,0.9354,0.9329,9.64,10.40,****,,
Pre Select Balanced,1.1566,1.1538,10.77,10.62,*****,,
Pre Select Balanced,1.1566,1.1538,10.77,10.62,*****,,
Russell Diversified 50 A,1.0342,1.0299,8.69,9.83,****,,
SUMMIT Select - Active Mod Defensive,1.0561,1.0519,9.63,10.81,****,,
SUMMIT Select - Active Mod Defensive,1.0561,1.0519,9.63,10.81,****,,
Summit Select Income Generator,1.1293,1.1249,9.80,11.50,*****,,
The Trust Company Philanthropy,0.8496,0.8467,10.12,9.49,**,,
The Trust Company Philanthropy,0.8496,0.8467,10.12,9.49,**,,
UBS Tactical Beta Fund - Balanced,1.1333,1.1299,11.59,NAv,NAv,,
Multisector Growth,,
Adv Balanced Multi-Blend ARS,0.8508,0.8508,7.33,8.09,**,,
Adv Balanced Multi-Blend ARS,0.8508,0.8508,7.33,8.09,**,,
Advance Balanced Multi-Blend W,1.1170,1.1124,8.61,9.36,***,,
AMP FLI-AMP Balanced Growth,1.0741,1.0692,9.61,10.53,**,,
AMP Gen-Balanced,1.0053,1.0005,10.94,11.50,****,,
BT Active Bal WS,1.6591,1.6543,10.56,10.54,***,,
BT Investor Choice Bal Gr,1.2142,1.2100,9.24,10.17,***,,
BT Multi-Manager Bal Retail,1.0327,1.0285,7.52,8.26,*,,
BT Multi-Manager Bal Retail,1.0327,1.0285,7.52,8.26,*,,
CBA Balanced,NAv,1.5197,9.31,8.89,**,,
CBA Balanced,NAv,1.5197,9.31,8.89,**,,
CBA Growth,NAv,1.6791,9.28,10.89,***,,
CFS FC Inv-FirstChoice Growth,1.0938,1.0894,11.44,10.69,**,,
CFS FC Inv-FirstChoice Growth,1.0938,1.0894,11.44,10.69,**,,
CFS FC W Inv-CFS W Diversified,1.5746,1.5683,11.23,11.58,***,,
CFS FC W Inv-FC W Multi-Index Balanced,1.0576,1.0545,12.76,12.03,*****,,
CFS FC W Inv-FirstChoice W Growth,1.0999,1.0955,12.47,11.73,***,,
CFS MIF-Diversified,1.8322,1.8249,10.31,10.66,**,,
DMG Diversified Portfolio,1.0403,1.0351,6.24,NAv,NAv,,
Fiducian Balanced,1.1421,1.1364,11.41,10.93,***,,
IOOF MultiMix Balanced Growth Trust,1.0554,1.0496,11.04,11.17,***,,
IOOF Profile 75,0.9670,0.9656,11.98,11.21,***,,
ipac Classic Portfolio 2,0.8831,0.8786,11.08,11.59,***,,
ipac Pathways 70,0.9421,0.9373,11.50,12.19,****,,
ipac Strat Inv Srv Inflation Plus 4,1.0556,1.0502,10.47,11.17,***,,
ipac Strat Inv Srv Inflation Plus 4,1.0556,1.0502,10.47,11.17,***,,
Macquarie Balanced Growth,1.0235,1.0201,10.62,10.42,NAv,,
Macquarie Balanced Growth,1.0235,1.0201,10.62,10.42,NAv,,
MLC UT/MKey InvSer Horizon 4 - Balanced,1.3869,1.3841,10.38,10.46,***,,
North Index Balanced,0.8218,0.8195,11.62,12.33,****,,
North Multi Manager Active Growth,0.8557,0.8514,13.45,14.60,*****,,
North Multi Manager Balanced,0.9409,0.9369,11.89,13.02,*****,,
North Select Active Balanced,1.1576,1.1517,12.11,12.60,****,,
OnePath OA IP-OP Tax Effective Inc NE,1.6092,1.6092,10.08,10.41,**,,
OnePath OA IP-OP Tax Effective Inc NE,1.6092,1.6092,10.08,10.41,**,,
Perpetual Wholesale Balanced Growth,1.5088,1.5037,11.91,13.41,*****,,
Pre Select Growth,1.2555,1.2517,13.43,12.70,*****,,
Russell Balanced A,0.9346,0.9303,10.17,11.30,****,,
Russell Balanced Class C,1.0038,0.9991,9.95,11.09,***,,
SUMMIT Select - Active Balanced,1.0191,1.0142,12.10,12.66,****,,
UBS Balanced Investment,1.2721,1.2671,12.39,12.99,****,,
Multisector Moderate,,
Advance Defensive Multi-Blend W,1.0970,1.0948,5.72,6.19,***,,
BT Investor Choice Mod Gr,1.0722,1.0697,6.53,7.23,***,,
CFS FC Inv-FirstChoice Conservative,1.0411,1.0380,6.30,6.73,**,,
CFS FC Inv-FirstChoice Conservative,1.0411,1.0380,6.30,6.73,**,,
CFS FC W Inv-CFS W Conservative,1.1453,1.1430,6.83,7.05,***,,
CFS FC W Inv-FirstChoice W Conservative,1.0593,1.0561,7.11,7.56,***,,
IOOF MultiMix Conservative Trust,1.0136,1.0110,7.98,8.21,****,,
ipac Classic Portfolio 1,0.9378,0.9343,7.15,7.97,***,,
ipac Classic Portfolio 1,0.9378,0.9343,7.15,7.97,***,,
ipac Pathways 30,0.9645,0.9609,7.36,8.34,****,,
Mercer Conservative,0.9728,0.9704,6.29,6.77,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1120,1.1109,6.47,7.57,***,,
MLC UT/MKey InvSer Horizon 2 - Income,1.1120,1.1109,6.47,7.57,***,,
North Index Defensive,0.9713,0.9691,7.45,8.37,****,,
North Multi Manager Active Moderately De,0.9387,0.9355,9.86,10.97,*****,,
North Multi Manager Active Moderately De,0.9387,0.9355,9.86,10.97,*****,,
Perpetual Wholesale Conservative Growth,1.1460,1.1431,8.11,9.38,*****,,
Russell Conservative A,0.9387,0.9354,7.10,8.20,****,,
UBS Defensive Investment,1.1736,1.1701,10.02,10.86,*****,,
Hedge Funds - Australia,,
Bennelong Kardinia Absolute Return,1.0786,1.0743,6.88,NAv,NAv,,
K2 Australian Absolute Return,190.0300,188.5100,12.09,11.12,***,,
Perpetual Pure Equity Alpha,1.0613,1.0571,9.20,NAv,NAv,,
WaveStone Dynamic Australian Equity,1.5007,1.4917,13.18,13.04,***,,
WaveStone Dynamic Australian Equity,1.5007,1.4917,13.18,13.04,***,,
Hedge Funds - Global,,
Atrium Evolution Series Divers - AEF 7,1.1479,1.1429,7.61,9.28,NAv,,
K2 Select International Absolute Return,150.0500,148.8500,4.38,8.46,***,,
UBS Dynamic Alpha Strategies Fund A,1.1543,1.1497,7.76,11.20,****,,
van Eyk Blueprint Alternatives,0.7978,0.7956,1.16,1.76,***,,
van Eyk Blueprint Alternatives,0.7978,0.7956,1.16,1.76,***,,
Winton Global Alpha,1.1382,1.1340,7.94,5.21,***,,
Commodities & Precious Metals,,
Credit Suisse Enhanced Commodity,0.2612,0.2612,2.06,-0.38,NAv,,
Equity Asia Pacific w/o Japan,,
Aberdeen Asian Opportunities,2.4006,2.3744,7.38,11.94,****,,
BT Asian Share Retail,6.6689,6.6355,6.58,7.08,**,,
BT Asian Share Retail,6.6689,6.6355,6.58,7.08,**,,
BT Asian Share WS,1.4991,1.4916,7.54,8.03,***,,
BT Asian Share WS,1.4991,1.4916,7.54,8.03,***,,
Platinum Asia,2.8858,2.8714,21.18,13.59,****,,
Equity Australia Derivative Income,,
BT Balanced Equity Income,0.9850,0.9800,7.03,NAv,NAv,,
CFS FC W Inv-CFS W Equity Income,0.7928,0.7897,11.73,11.22,***,,
CFS FC W Inv-CFS W Equity Income,0.7928,0.7897,11.73,11.22,***,,
Merlon WS Australian Share Income,1.1248,1.1204,9.97,11.68,***,,
Zurich Investments Equity Income,0.7293,0.7271,11.72,10.38,***,,
Equity Australia Large Blend,,
Alphinity Wholesale Australian Share,2.6658,2.6498,17.25,15.56,****,,
AMP Gen-BlackRock Aust Equity Index,1.2945,1.2914,14.62,11.51,***,,
Antares Prof High Growth Shares,1.1370,1.1336,14.33,12.05,****,,
BlackRock Australian Share,1.7610,1.7514,12.87,10.84,**,,
BlackRock Australian Share,1.7610,1.7514,12.87,10.84,**,,
BT Aus Share Retail,3.8457,3.8265,14.49,11.92,***,,
BT Aus Share WS,1.5737,1.5658,15.61,12.99,****,,
BT Aus Share WS,1.5737,1.5658,15.61,12.99,****,,
BT Class Inv Core Aus Shr,3.7000,3.6840,14.24,11.69,***,,
BT Core Aus Shr WS,2.2611,2.2498,15.56,12.98,****,,
BT Ethical Shr WS,1.5746,1.5667,15.01,11.79,***,,
BT Ethical Shr WS,1.5746,1.5667,15.01,11.79,***,,
BT Imp Shr Retail,1.7350,1.7270,12.70,10.95,***,,
BT Imp Shr Retail,1.7350,1.7270,12.70,10.95,***,,
BT Imputation Shr WS,2.0508,2.0405,13.73,11.98,****,,
BT Investor Choice Aus Tax Eff,1.9750,1.9650,13.71,12.58,****,,
CFS FC W Inv-CFS W Aus Share Core,1.6208,1.6143,14.05,13.08,*****,,
CFS FC W Inv-CFS W Imputation,2.5570,2.5468,15.37,13.69,****,,
CFS FC W Inv-CFS W Index Australian Shr,1.0526,1.0505,16.12,13.11,***,,
CFS FC W Inv-CFS W Index Australian Shr,1.0526,1.0505,16.12,13.11,***,,
CFS MIF-Australian Share,2.2505,2.2415,16.41,13.36,***,,
CFS MIF-Imputation,3.6835,3.6688,14.33,12.70,***,,
CFS Wholesale Australian Share,2.0836,2.0753,17.45,14.31,****,,
EQT Flagship Common No 2,1.8160,1.8040,14.87,12.56,****,,
EQT Flagship Common No 2,1.8160,1.8040,14.87,12.56,****,,
Fidelity Australian Equities,27.3567,27.2203,18.67,15.71,*****,,
Fiducian Australian Shares,1.5143,1.5052,15.90,10.99,***,,
IOOF MultiMix Australian Shares Trust,1.0198,1.0148,16.62,12.11,***,,
MLC UT/MKey InvSer Australian Share,1.7540,1.7488,11.82,10.43,*,,
MLC UT/MKey InvSer MLC - Vanguard Sh Ind,2.4471,2.4446,14.85,11.92,***,,
Pengana Australian Equities Class A,1.5834,1.5755,9.02,15.49,*****,,
Russell Australian Share A,1.4972,1.4898,16.36,13.00,***,,
The Trust Company Share Imputation,2.8715,2.8629,16.60,14.90,****,,
UBS Australian Share,1.7867,1.7778,14.81,13.75,****,,
UCA Australian Equities Portfolio,13.0813,13.0031,13.07,10.53,**,,
UCA Growth Portfolio,4.4802,4.4533,14.37,10.70,***,,
Vanguard Index Australian Shares,2.0102,2.0050,15.48,12.24,***,,
Westpac Aus Tax Eff Retail,0.9331,0.9284,13.09,11.92,***,,
Westpac Aus Tax Eff Retail,0.9331,0.9284,13.09,11.92,***,,
Equity Australia Large Geared,,
CFS FC W Inv-CFS W Geared Share,3.9446,3.9106,33.53,23.79,****,,
CFS MIF-Geared Share,1.9384,1.9217,32.27,22.62,***,,
Perpetual Wholesale Geared Australian,3.7464,3.7184,39.35,30.53,****,,
Equity Australia Large Growth,,
Arnhem Australian Equity,1.7571,1.7466,14.83,14.64,****,,
Ausbil Australian Active Equity,3.3411,3.3245,18.35,14.48,****,,
Greencape Wholesale Broadcap,1.3636,1.3554,18.15,15.15,*****,,
Greencape Wholesale High Conviction,1.3987,1.3903,17.32,13.86,****,,
Hyperion Australian Growth Companies,3.0921,3.0737,17.83,17.33,*****,,
Perennial Growth Shares Wholesale Trust,1.7681,1.7575,20.07,11.97,***,,
Perennial Growth Shares Wholesale Trust,1.7681,1.7575,20.07,11.97,***,,
Platypus Australian Equities - Wholesale,1.2078,1.2029,16.74,13.00,***,,
Russell Aust Opportunities Class A,1.3515,1.3421,17.96,13.35,***,,
Equity Australia Large Value,,
CFS FC Inv-Perpetual Industrial Shr,1.3951,1.3895,17.36,19.19,****,,
Maple-Brown Abbott Imputation,1.2537,1.2537,15.52,13.83,**,,
Maple-Brown Abbott Imputation Wholesale,1.2637,1.2574,16.92,15.25,***,,
Maple-Brown Abbott Sharemarket,1.0143,1.0143,15.63,14.16,**,,
Maple-Brown Abbott Sharemarket,1.0143,1.0143,15.63,14.16,**,,
MLC UT/MKey InvSer Income Builder,2.7089,2.7008,15.22,17.52,***,,
Perennial Value Shares Wholesale Trust,1.2733,1.2657,18.63,13.07,***,,
Perpetual W Share Plus L/S,2.6625,2.6519,21.74,20.71,*****,,
Perpetual WFIA-Perpetual Aus Shr,3.1053,3.0960,17.37,14.97,****,,
Perpetual WFIA-Perpetual Aus Shr,3.1053,3.0960,17.37,14.97,****,,
Perpetual WFIA-Perpetual Indl Shr,2.4380,2.4307,17.49,19.28,****,,
Perpetual WFI-Perpetual Indl Shr,1.8324,1.8269,17.32,19.23,****,,
Perpetual Wholesale Australian,1.7716,1.7663,18.74,16.12,****,,
Perpetual Wholesale Concentrated Equity,1.8506,1.8450,20.31,18.17,****,,
Perpetual Wholesale Ethical SRI,1.9485,1.9427,16.76,21.80,*****,,
Perpetual Wholesale Industrial,1.5754,1.5707,18.30,20.36,****,,
Realindex Australian Share-Class A,1.2399,1.2374,16.66,15.22,***,,
Sandhurst BMF-Sandhurst Ind Share,1.8957,1.8862,13.43,18.04,****,,
The Trust Company Australian Share,2.4357,2.4284,15.56,14.60,***,,
The Trust Company Australian Share,2.4357,2.4284,15.56,14.60,***,,
Equity Australia Mid/Small Blend,,
Ausbil MicroCap,2.8582,2.8411,34.53,19.76,****,,
Ausbil MicroCap,2.8582,2.8411,34.53,19.76,****,,
BT MicroCap Opportunities WS,2.3473,2.3309,29.23,16.94,*****,,
BT MicroCap Opportunities WS,2.3473,2.3309,29.23,16.94,*****,,
BT Smaller Companies Retail,1.8310,1.8220,12.15,9.80,***,,
BT Smaller Companies W,2.4447,2.4325,12.79,10.48,****,,
Celeste Australian Small Companies,2.9508,2.9331,3.23,4.47,***,,
Celeste Australian Small Companies,2.9508,2.9331,3.23,4.47,***,,
CFS FC W Inv-CFS W Small Companies Core,1.5372,1.5295,19.51,10.71,****,,
CFS FC W Inv-CFS W Small Companies Core,1.5372,1.5295,19.51,10.71,****,,
Invesco W Aust Smaller Companies,2.6673,2.6487,8.30,5.76,***,,
Ironbark Karara Australian Small Comp,2.8706,2.8562,14.45,10.11,****,,
Pengana Emerging Companies,2.3687,2.3546,18.39,14.30,****,,
Smallco Investment,3.8131,3.7790,17.37,31.76,*****,,
Smallco Investment,3.8131,3.7790,17.37,31.76,*****,,
Equity Australia Mid/Small Growth,,
Ausbil Australian Emerging Leaders,3.0207,3.0027,25.12,9.11,***,,
Australian Ethical Smaller Companies,2.0754,2.0750,13.51,13.05,****,,
CFS Developing Companies,1.9953,1.9873,17.04,12.00,****,,
CFS Future Leaders,4.0240,4.0079,18.28,9.32,***,,
Eley Griffiths Group Small Companies,1.9818,1.9715,13.94,8.46,***,,
Fairview Equity Partners Emerging Co,1.9997,1.9879,14.80,8.47,****,,
Hyperion Small Growth Companies,3.4629,3.4421,10.35,21.77,*****,,
Hyperion Small Growth Companies,3.4629,3.4421,10.35,21.77,*****,,
Equity Australia Mid/Small Value,,
Allan Gray Australia Equity,1.4012,1.3956,25.61,15.62,***,,
Perennial Value Smaller Companies Trust,0.9032,0.8978,19.51,4.26,**,,
Perpetual WFIA-Perpetual Small Coms,2.5995,2.5917,19.14,10.73,**,,
Perpetual Wholesale Smaller Companies,1.2294,1.2258,20.01,11.56,***,,
Equity Australia Other,,
Russell After-Tax Aus Shr (SuperInvs) A,1.1592,1.1534,16.15,13.22,NAv,,
The Montgomery,1.3261,1.3195,13.68,NAv,NAv,,
The Montgomery,1.3261,1.3195,13.68,NAv,NAv,,
Equity Australia Real Estate,,
APN AREIT,1.4540,1.4467,17.64,19.26,*****,,
APN Property for Income,1.9303,1.9206,15.75,15.44,***,,
BT Property Securities W,0.6637,0.6603,16.74,18.81,****,,
CFS FC W Inv-CFS W Property Securities,0.7570,0.7540,16.62,18.96,***,,
Cromwell Phoenix Property Securities,1.0624,1.0582,20.34,25.28,*****,,
Ironbark Paladin Property Securities,0.7074,0.7038,16.94,19.22,***,,
SG Hiscock Premier Property Securities,0.7729,0.7699,19.77,20.49,*****,,
SG Hiscock WS Property Securities,0.7063,0.7035,18.93,19.59,****,,
UBS Property Securities,0.8505,0.8446,17.09,20.37,***,,
UBS Property Securities,0.8505,0.8446,17.09,20.37,***,,
Equity Emerging Markets,,
Aberdeen Emerging Opportunities,2.1760,2.1522,7.33,9.05,****,,
CFS Wholesale Glb Emerging Markets Sust,1.7283,1.7162,10.19,15.95,*****,,
CFS Wholesale Global Emerging Market,1.5935,1.5824,7.71,13.44,****,,
Realindex Emerging Markets-Class A,0.9945,0.9905,11.38,4.94,***,,
Russell Emerging Markets Fund Class A,1.1078,1.0978,12.82,7.67,***,,
Russell Emerging Markets Fund Class A,1.1078,1.0978,12.82,7.67,***,,
Walter Scott Emerging Markets,1.1856,1.1791,1.43,7.21,***,,
Equity Europe,,
Platinum European,2.5390,2.5263,5.66,15.11,NAv,,
Equity Global Real Estate,,
Advance Global Property W,0.8168,0.8110,15.19,14.46,***,,
BT Global Property Secs WS,1.0114,1.0088,14.84,12.01,****,,
EQT SGH LaSalle Global Listed Prop Secs,1.1729,1.1670,15.23,12.32,***,,
EQT SGH LaSalle Global Listed Prop Secs,1.1729,1.1670,15.23,12.32,***,,
Invesco WS Global Property Secs Hgd A,1.0754,1.0679,14.40,12.68,**,,
Ironbark Global (ex-Aus) Property Secs,0.7342,0.7298,14.47,11.31,***,,
Resolution Capital Global Prp Secs (WS),1.5660,1.5567,15.98,13.78,****,,
Resolution Capital Global Prp Secs (WS),1.5660,1.5567,15.98,13.78,****,,
Russell Intl Property Secs Hedged A,0.9454,0.9398,16.08,12.81,**,,
Equity Global Resources,,
CFS FC W Inv-CFS W Global Resources,1.7489,1.7384,19.02,-5.17,NAv,,
Equity Greater China,,
Premium China,1.8110,1.8020,13.49,3.64,***,,
Premium China,1.8110,1.8020,13.49,3.64,***,,
Equity Japan,,
Platinum Japan,2.9966,2.9816,13.59,22.25,NAv,,
Equity World - Currency Hedged,,
Arrowstreet Global Equity Hedged,1.1211,1.1165,21.99,17.58,*****,,
Capital International Global Equity Hgd,1.0509,1.0489,15.53,14.58,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8894,0.8858,14.18,16.21,*****,,
Grant Samuel Epoch Gbl Eq Shldr Yld Hgd,0.8894,0.8858,14.18,16.21,*****,,
Russell International Shares Hedged A,0.7079,0.7041,15.48,14.82,***,,
Vanguard Index Hedged International Shrs,0.8235,0.8209,17.13,15.87,***,,
Walter Scott Global Equity Hedged,1.0967,1.0920,13.64,13.80,**,,
Zurich Investments Hgd Gbl Thematic Shr,1.0863,1.0845,16.48,12.74,*,,
Equity World Large Blend,,
Altrinsic Global Equities Trust,1.3655,1.3573,6.50,NAv,NAv,,
Altrinsic Global Equities Trust,1.3655,1.3573,6.50,NAv,NAv,,
Arrowstreet Global Equity,0.9088,0.9060,15.98,20.39,*****,,
BT Core Gbl Share WS,1.1188,1.1176,11.53,19.19,****,,
BT Core Gbl Share WS,1.1188,1.1176,11.53,19.19,****,,
BT International Share Retail,2.7301,2.7273,10.72,18.13,***,,
BT International Share Retail,2.7301,2.7273,10.72,18.13,***,,
CFS FC Inv-Platinum International,1.6447,1.6348,12.38,14.67,***,,
CFS FC WS Inv-Platinum International,1.7337,1.7234,13.10,15.42,***,,
CFS FC WS Inv-Platinum International,1.7337,1.7234,13.10,15.42,***,,
CFS Wholesale Indexed Global Share,1.9351,1.9293,11.56,18.08,***,,
Dexia Sustainable Global Equity,1.0451,1.0368,13.24,19.49,****,,
Fiducian International Shares,1.2047,1.1963,10.62,13.62,***,,
IFP Global Franchise,1.7851,1.7769,8.24,19.47,*****,,
IOOF MultiMix International Shares Trust,1.0831,1.0759,11.76,14.86,**,,
IOOF MultiMix International Shares Trust,1.0831,1.0759,11.76,14.86,**,,
Ironbark GTP Global Equity Thematic,1.6082,1.6017,14.23,14.10,***,,
Magellan Global,1.6323,1.6291,5.69,23.49,*****,,
MLC UT/MKey InvSer Platinum Global,2.0232,2.0232,16.59,16.40,****,,
Platinum International,1.9574,1.9476,13.79,16.43,****,,
Platinum International Brands,2.4870,2.4745,1.87,12.02,****,,
PM Capital Absolute Performance,1.7463,1.7375,7.02,24.26,**,,
Russell Global Opportunities A,1.1764,1.1694,8.24,14.76,**,,
Russell International Shares A,1.0720,1.0666,8.23,16.41,**,,
UBS International Share,1.1161,1.1106,11.57,18.22,***,,
Vanguard Index International Shares,1.1219,1.1190,11.15,17.81,***,,
Equity World Large Growth,,
Aberdeen Actively Hedged Intl Equities,2.6630,2.6498,11.27,16.38,****,,
Capital International Global Equity,1.1793,1.1769,10.06,17.08,***,,
Walter Scott Global Equity,1.5940,1.5888,8.20,16.06,***,,
Zurich Investments Gbl Thematic Shr,1.4748,1.4724,10.71,14.57,***,,
Zurich Investments Gbl Thematic Shr Pool,1.5211,1.5187,11.77,15.67,****,,
Zurich Investments Uhgd Gbl Thematic Shr,1.4121,1.4099,10.78,14.41,**,,
Zurich Investments Unhedged Global Gr,1.6034,1.6008,11.92,17.64,****,,
Zurich Investments Unhedged Global Gr,1.6034,1.6008,11.92,17.64,****,,
Equity World Large Value,,
Aberdeen International Equity,1.1068,1.1013,11.10,16.05,****,,
AMP Capital W Global Equity Value,0.9318,0.9281,13.36,16.96,**,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.1904,1.1856,10.22,18.77,****,,
Grant Samuel Epoch Gbl Eq Shldr Yld Uhgd,1.1904,1.1856,10.22,18.77,****,,
Perpetual Wholesale International Share,1.3216,1.3150,6.80,15.65,***,,
Platinum Unhedged,1.4032,1.3962,16.85,16.82,****,,
